barcode	array_row	array_col	B_Cell	Endothelial	Fibroblast_Stroma	Macrophage	T_Cell	Tumor_Core
Spot_0-1	0	0	0.925294	0.000000	0.000000	0.000000	0.000000	0.013841
Spot_1-1	1	0	0.004804	1.019143	0.010901	0.002675	0.000000	0.000000
Spot_2-1	2	0	1.098126	1.951064	0.000000	0.993597	0.021538	0.000000
Spot_3-1	3	0	0.947350	1.036462	0.006985	0.939863	0.982073	0.001144
Spot_4-1	4	0	0.001169	1.950298	0.000000	0.917274	0.000000	0.095259
Spot_5-1	5	0	0.000000	0.966668	0.000000	0.993005	0.000000	0.063368
Spot_6-1	6	0	1.049225	0.000000	0.030271	2.880477	0.001008	0.000000
Spot_7-1	7	0	0.975173	0.000000	0.000000	0.013984	0.000000	0.000000
Spot_8-1	8	0	0.948783	0.964329	0.000000	0.000000	0.000000	0.021977
Spot_9-1	9	0	0.971400	0.027660	0.000000	0.000000	0.000000	0.010036
Spot_10-1	10	0	0.000000	0.000000	0.007290	1.012639	0.000000	0.000000
Spot_11-1	11	0	0.046193	0.930043	0.004657	0.001398	0.023511	0.000000
Spot_12-1	12	0	0.983838	0.000000	0.014205	0.000000	0.000000	0.000000
Spot_13-1	13	0	0.009790	0.968955	0.000000	1.011273	0.025319	0.018697
Spot_14-1	14	0	1.025417	0.048038	0.000000	0.936508	0.000000	0.000052
Spot_15-1	15	0	1.036163	0.974757	0.000000	0.006026	0.003134	0.008080
Spot_16-1	16	0	0.961221	0.000000	0.000000	0.025523	1.012766	0.012246
Spot_17-1	17	0	2.032500	0.016282	0.000000	0.000000	0.000000	0.000000
Spot_18-1	18	0	0.011716	0.000000	1.010132	0.022721	0.881060	0.008041
Spot_19-1	19	0	1.083804	0.000000	0.000000	0.002115	1.026363	0.000000
Spot_20-1	20	0	0.000000	0.000000	0.000000	0.000000	0.975615	0.008500
Spot_21-1	21	0	0.000000	0.000000	0.006533	0.000000	1.030453	0.017779
Spot_22-1	22	0	0.000000	1.966395	0.000000	0.044791	0.000000	0.020944
Spot_23-1	23	0	1.016305	0.000000	0.002808	0.000000	0.011955	0.000000
Spot_24-1	24	0	0.000000	0.952612	0.000000	0.001261	1.989981	0.000000
Spot_25-1	25	0	0.000000	1.014074	0.025924	0.023354	0.000000	0.000000
Spot_26-1	26	0	0.000000	2.883933	0.000000	2.019316	0.000000	0.000000
Spot_27-1	27	0	0.007364	0.000000	0.000000	1.008248	0.000710	0.028042
Spot_28-1	28	0	1.045041	0.000000	0.000000	0.031894	1.011961	0.000000
Spot_29-1	29	0	0.004263	0.000000	0.000000	0.000000	1.051178	0.003173
Spot_30-1	0	1	1.020894	1.040883	0.048302	0.000000	0.927674	0.027361
Spot_31-1	1	1	0.966094	0.003631	0.028164	0.991575	0.009891	0.002615
Spot_32-1	2	1	0.000000	0.000000	0.000000	1.005162	0.000000	0.000000
Spot_33-1	3	1	2.032495	0.000000	0.000972	0.000000	0.019078	0.000000
Spot_34-1	4	1	1.031385	1.989137	0.010142	0.000000	0.019468	0.000000
Spot_35-1	5	1	0.000000	1.073629	0.004960	0.000000	0.003143	0.000000
Spot_36-1	6	1	0.000000	2.120763	0.009340	0.000000	0.011928	0.000000
Spot_37-1	7	1	2.028720	0.000000	0.000000	1.043874	0.000000	0.000000
Spot_38-1	8	1	0.023708	1.996846	0.010646	0.000000	0.000000	0.000000
Spot_39-1	9	1	1.944429	1.007071	0.023266	0.007327	0.013609	0.000000
Spot_40-1	10	1	0.000000	0.000000	0.017455	0.931866	0.036512	0.000000
Spot_41-1	11	1	0.910316	0.021255	0.000000	0.000000	1.984722	0.000000
Spot_42-1	12	1	0.006690	0.956600	1.037495	0.013819	0.984314	0.000000
Spot_43-1	13	1	1.019127	1.014537	0.000000	0.000000	0.015327	0.000000
Spot_44-1	14	1	0.046430	0.010976	0.026161	0.962281	1.943300	0.009387
Spot_45-1	15	1	0.030526	2.956449	0.015298	1.057862	0.000000	0.000000
Spot_46-1	16	1	0.000000	0.955634	0.000000	0.949906	0.043123	0.030912
Spot_47-1	17	1	0.913764	0.027396	0.000000	0.000000	0.000000	0.014688
Spot_48-1	18	1	0.975568	0.000000	0.002780	0.009108	0.000000	0.000000
Spot_49-1	19	1	2.037033	0.985427	0.001226	0.038538	0.000000	0.000000
Spot_50-1	20	1	0.000000	0.992833	0.000000	1.014516	0.000000	0.000000
Spot_51-1	21	1	0.000000	0.969986	0.000000	0.002920	0.024194	0.000000
Spot_52-1	22	1	1.001661	0.000000	1.021602	0.000000	0.003600	0.000000
Spot_53-1	23	1	2.035612	0.000000	0.000000	0.000000	0.008184	0.000000
Spot_54-1	24	1	0.972112	1.021214	0.000000	0.000000	0.000000	0.031285
Spot_55-1	25	1	0.902384	0.000000	0.007249	0.026957	0.000000	0.020292
Spot_56-1	26	1	0.955362	0.974077	0.000000	0.021626	0.030258	0.016895
Spot_57-1	27	1	0.006516	0.000000	0.000000	0.000000	2.048921	0.004347
Spot_58-1	28	1	0.960654	0.000000	0.017343	0.000000	0.004270	0.000000
Spot_59-1	29	1	1.047005	1.967713	0.000000	1.077678	0.040450	0.002650
Spot_60-1	0	2	1.941575	0.007566	0.000000	0.021353	0.003865	0.008323
Spot_61-1	1	2	0.007458	0.932728	0.016527	0.008530	0.019449	0.000000
Spot_62-1	2	2	1.908561	0.006308	0.000000	0.000000	1.048053	0.014954
Spot_63-1	3	2	0.000000	0.000000	0.015473	0.000000	0.991703	0.004526
Spot_64-1	4	2	0.946454	1.074423	0.000000	0.996089	0.000000	0.000000
Spot_65-1	5	2	0.971374	0.902529	0.000000	1.095319	0.047142	0.021188
Spot_66-1	6	2	0.950159	1.014461	0.000000	0.000000	0.026011	0.000000
Spot_67-1	7	2	0.000000	1.031393	0.015778	0.000000	0.008444	0.002211
Spot_68-1	8	2	0.030230	0.000000	0.000000	0.923925	0.995991	0.039666
Spot_69-1	9	2	0.034841	1.938214	1.018242	0.000000	0.000000	0.007586
Spot_70-1	10	2	1.000243	0.034529	0.956641	0.000000	1.036117	0.000000
Spot_71-1	11	2	0.000000	0.016764	0.000000	0.027065	0.952642	0.000000
Spot_72-1	12	2	0.000000	0.000000	0.000000	0.000000	1.013650	0.027381
Spot_73-1	13	2	0.015477	1.066152	0.020744	0.010216	0.896287	0.002819
Spot_74-1	14	2	1.002992	0.000000	0.932671	0.000000	0.022428	0.000000
Spot_75-1	15	2	0.995775	0.985279	1.064734	0.000000	0.000000	0.002971
Spot_76-1	16	2	0.974590	0.028693	0.983902	0.000000	0.027681	0.000000
Spot_77-1	17	2	0.865550	0.004109	1.036144	0.009562	0.000000	0.034685
Spot_78-1	18	2	1.011941	0.000000	0.000000	0.000980	0.000000	0.012516
Spot_79-1	19	2	0.941477	0.000000	0.000000	0.963750	0.000000	0.043986
Spot_80-1	20	2	0.000000	0.000000	0.923593	0.002142	2.087091	0.000000
Spot_81-1	21	2	1.958453	0.994037	0.000000	0.954591	0.000000	0.034301
Spot_82-1	22	2	0.000000	1.016412	0.000000	0.007975	2.007733	0.000000
Spot_83-1	23	2	1.017854	0.000000	0.006768	0.000000	0.995834	0.000000
