group	file_id	file_name	metric	taxon	value	status
Fungi	996662at2759	996662at2759.faa.mafft.clipkit.treefile	long_branch_score	Fungi_Ncra	-29.4826	ok
Fungi	996662at2759	996662at2759.faa.mafft.clipkit.treefile	long_branch_score	Fungi_Scer	-32.1541	ok
Fungi	996662at2759	996662at2759.faa.mafft.clipkit.treefile	long_branch_score	Fungi_Spom	-31.4275	ok
Fungi	996662at2759	996662at2759.faa.mafft.clipkit.treefile	long_branch_score	Fungi_Umay	-6.9357	ok
Fungi	996662at2759	996662at2759.faa	long_branch_score			failed
Fungi	996662at2759	996662at2759.faa.mafft.clipkit.model.gz	long_branch_score			failed
Fungi	996662at2759	996662at2759.faa.mafft	long_branch_score			failed
Fungi	996662at2759	996662at2759.faa.mafft.clipkit	long_branch_score			failed
Fungi	996662at2759	996662at2759.faa.mafft.clipkit.ckp.gz	long_branch_score			failed
Fungi	996662at2759	996662at2759.faa.mafft.clipkit.mldist	long_branch_score			failed
Fungi	996662at2759	996662at2759.faa.mafft.clipkit.iqtree	long_branch_score			failed
Fungi	996662at2759	996662at2759.faa.mafft.clipkit.log	long_branch_score			failed
Fungi	996662at2759	996662at2759.faa.mafft.clipkit.bionj	long_branch_score	Fungi_Ncra	-27.194	ok
Fungi	996662at2759	996662at2759.faa.mafft.clipkit.bionj	long_branch_score	Fungi_Scer	-31.7036	ok
Fungi	996662at2759	996662at2759.faa.mafft.clipkit.bionj	long_branch_score	Fungi_Spom	-31.8743	ok
Fungi	996662at2759	996662at2759.faa.mafft.clipkit.bionj	long_branch_score	Fungi_Umay	-9.2281	ok
