metric	value
method	competitive minimap2 2.31 short-read alignment to accession-pinned NCBI RefSeq RNA; per-read best alignment score compared across species; per-cell majority at score gap >=5
reference_accessions	GCF_000001405.40;GCF_000001635.27;GCF_000003025.6
human_reference_records	186185
human_reference_bases	718571139
mouse_reference_records	136223
mouse_reference_bases	523388586
pig_reference_records	77689
pig_reference_bases	317328945
paired_records	644838
mismatched_mate_names	0
distinct_barcodes	500
queries_with_alignment	425739
query_alignment_rate	0.660226
paf_alignments	2866951
alignments_without_AS_tag	0
informative_reads_score_gap_0	419416
informative_rate_score_gap_0	0.650421
informative_reads_score_gap_3	418634
informative_rate_score_gap_3	0.649208
informative_reads_score_gap_5	417981
informative_rate_score_gap_5	0.648195
informative_reads_score_gap_10	416769
informative_rate_score_gap_10	0.646316
selected_cells_human	50
selected_cells_mouse	150
selected_cells_pig	300
selected_cells_unassigned	0
assignment_basis_counts	{'alignment_score_gap_5': 500}
gap_assignment_triplets_3_5_10	{('mouse', 'mouse', 'mouse'): 150, ('pig', 'pig', 'pig'): 300, ('human', 'human', 'human'): 50}
umi_gap5_assignment_counts	{'mouse': 150, 'pig': 300, 'human': 50}
primary_mq10_assignment_counts	{'mouse': 150, 'pig': 300, 'human': 50}
exact_percent_human	10.000000
exact_percent_mouse	30.000000
exact_percent_pig	60.000000
rounded_percentages_human_mouse_pig	10;30;60
