gene	dispersion_estimate
PA14_00010	0.02872965251493704
PA14_00020	0.03153597829771789
PA14_00030	0.0391889843536266
PA14_00050	0.023445937486999312
PA14_00060	0.031895207628370476
PA14_00070	0.03300460283965966
PA14_00080	0.22984533916536914
PA14_00090	0.08290542083042819
PA14_00100	0.10656838310462496
PA14_00110	0.03205180084194078
PA14_00120	0.024567194444831218
PA14_00130	0.051490586858705834
PA14_00140	0.02421121607004567
PA14_00150	0.05861664972383477
PA14_00160	0.01901501374170108
PA14_00170	0.048074462769604774
PA14_00180	0.07404673548978846
PA14_00190	0.078385938543137
PA14_00200	0.04543737591030769
PA14_00210	0.2469505924316943
PA14_00230	0.17349878792756163
PA14_00240	0.11017886161986824
PA14_00250	0.2877821805833491
PA14_00280	0.3980578117489256
PA14_00290	0.11931773002907566
PA14_00300	0.4695752114537809
PA14_00310	0.5896643669776475
PA14_00320	0.7098611216420648
PA14_00340	0.5929507791919058
PA14_00360	0.06552059992787286
PA14_00380	0.054276493331472525
PA14_00400	0.0196802886071678
PA14_00410	0.054002807442067036
PA14_00420	0.012414798382105116
PA14_00430	0.025470854853950425
PA14_00440	0.38243036085856996
PA14_00450	0.8447494486473232
PA14_00460	0.0934063899431029
PA14_00470	0.37120643355285715
PA14_00480	0.2685274733756076
PA14_00490	0.07623052498678123
PA14_00530	0.02115154157823191
PA14_00550	0.08680956118570111
PA14_00560	1.5370308728681792
PA14_00570	0.486440225161763
PA14_00580	0.45114831203415656
PA14_00590	0.4637151210977756
PA14_00600	0.1102994723121623
PA14_00620	0.21443940949917478
PA14_00630	0.19610046314481785
PA14_00640	1.124466331715045
PA14_00650	0.9598546881633745
PA14_00660	0.06446963810103802
PA14_00670	0.09780889379905362
PA14_00680	0.029479798907907126
PA14_00690	0.09102015370456197
PA14_00700	0.07776500084806082
PA14_00710	0.5980681131155577
PA14_00720	0.2582518220425762
PA14_00730	0.052989357702150755
PA14_00740	0.20513487643728195
PA14_00750	0.025835737109679804
PA14_00760	0.05287039399784329
PA14_00770	0.061258269526995715
PA14_00780	0.042808715697157045
PA14_00790	0.4740503933442776
PA14_00800	0.17392655111983268
PA14_00810	0.05510849991747356
PA14_00820	0.11227064976403044
PA14_00830	0.04763317508772585
PA14_00850	0.08899692210232617
PA14_00860	0.16987341489401314
PA14_00875	0.07670465255992677
PA14_00890	0.0547623247088719
PA14_00900	0.0696648319679504
PA14_00910	0.05761556921344169
PA14_00925	0.07046714111004057
PA14_00940	0.06254739591856476
PA14_00960	0.08996781971268902
PA14_00990	0.1013096443016154
PA14_01010	0.15739620785908182
