pair_id,guide_id,control_mean,perturbed_mean,log2FC,p_permutation
EP1,g1,943.000000,1208.333333,0.357521,0.100000
EP1,g2,770.666667,1001.333333,0.377528,0.100000
EP1,g3,850.000000,1106.000000,0.379620,0.200000
EP1,g4,949.333333,1226.000000,0.368801,0.100000
EP2,g1,1339.333333,581.666667,-1.202549,0.100000
EP2,g2,1408.000000,581.333333,-1.275482,0.100000
EP2,g3,1313.000000,596.000000,-1.138822,0.100000
EP2,g4,1300.333333,532.666667,-1.286778,0.100000
EP3,g1,929.333333,932.333333,0.004647,1.000000
EP3,g2,1012.000000,1005.000000,-0.010009,0.900000
EP3,g3,969.666667,459.666667,-1.076076,0.100000
EP3,g4,1003.333333,995.333333,-0.011544,0.900000
EP4,g1,688.000000,402.000000,-0.774468,0.100000
EP4,g2,701.333333,427.333333,-0.714080,0.100000
EP4,g3,732.666667,416.000000,-0.815825,0.100000
EP4,g4,716.000000,374.666667,-0.933435,0.100000
EP5,g1,979.000000,715.000000,-0.453094,0.100000
EP5,g2,1089.333333,780.666667,-0.480405,0.100000
EP5,g3,1057.000000,761.333333,-0.473110,0.100000
EP5,g4,988.666667,714.333333,-0.468607,0.100000
EP6,g1,610.000000,506.000000,-0.269429,0.200000
EP6,g2,658.333333,550.333333,-0.258298,0.100000
EP6,g3,677.666667,580.666667,-0.222688,0.500000
EP6,g4,673.333333,566.333333,-0.249467,0.100000
EP7,g1,1234.333333,681.000000,-0.857531,0.100000
EP7,g2,1155.666667,948.666667,-0.284616,0.100000
EP7,g3,1192.333333,776.333333,-0.618715,0.100000
EP7,g4,1137.333333,853.000000,-0.414826,0.100000
