GroupBy(pair_id),GroupBy(guide_id),GroupBy(condition),mean(rna_count)
EP1,g1,control,943
EP1,g1,perturbed,1208.3333333333
EP1,g2,control,770.66666666667
EP1,g2,perturbed,1001.3333333333
EP1,g3,control,850
EP1,g3,perturbed,1106
EP1,g4,control,949.33333333333
EP1,g4,perturbed,1226
EP2,g1,control,1339.3333333333
EP2,g1,perturbed,581.66666666667
EP2,g2,control,1408
EP2,g2,perturbed,581.33333333333
EP2,g3,control,1313
EP2,g3,perturbed,596
EP2,g4,control,1300.3333333333
EP2,g4,perturbed,532.66666666667
EP3,g1,control,929.33333333333
EP3,g1,perturbed,932.33333333333
EP3,g2,control,1012
EP3,g2,perturbed,1005
EP3,g3,control,969.66666666667
EP3,g3,perturbed,459.66666666667
EP3,g4,control,1003.3333333333
EP3,g4,perturbed,995.33333333333
EP4,g1,control,688
EP4,g1,perturbed,402
EP4,g2,control,701.33333333333
EP4,g2,perturbed,427.33333333333
EP4,g3,control,732.66666666667
EP4,g3,perturbed,416
EP4,g4,control,716
EP4,g4,perturbed,374.66666666667
EP5,g1,control,979
EP5,g1,perturbed,715
EP5,g2,control,1089.3333333333
EP5,g2,perturbed,780.66666666667
EP5,g3,control,1057
EP5,g3,perturbed,761.33333333333
EP5,g4,control,988.66666666667
EP5,g4,perturbed,714.33333333333
EP6,g1,control,610
EP6,g1,perturbed,506
EP6,g2,control,658.33333333333
EP6,g2,perturbed,550.33333333333
EP6,g3,control,677.66666666667
EP6,g3,perturbed,580.66666666667
EP6,g4,control,673.33333333333
EP6,g4,perturbed,566.33333333333
EP7,g1,control,1234.3333333333
EP7,g1,perturbed,681
EP7,g2,control,1155.6666666667
EP7,g2,perturbed,948.66666666667
EP7,g3,control,1192.3333333333
EP7,g3,perturbed,776.33333333333
EP7,g4,control,1137.3333333333
EP7,g4,perturbed,853
