sample	experiment	filtered_bam	filtered_bam_md5	identity_mapping
HG02571	ENCSR400ISH	ENCFF030ITR	d709c0152e841bea79d68951b47df427	exact_metadata_identifier
HG02588	ENCSR189VFC	ENCFF025ITU	e592b054de8903cce5e2fb25f88b1c9e	exact_metadata_identifier
HG02610	ENCSR905PWV	ENCFF230HVR	7eed78f47dea039f1532eb0605286b18	exact_metadata_identifier
HG02623	ENCSR821JHD	ENCFF495DQP	2fa733308a2dac4cbfc09dba79c332ea	exact_metadata_identifier
HG02642	ENCSR821QHC	ENCFF705PBQ	4d4e6827add661e394804f575041cd34	exact_metadata_identifier
HG02678	ENCSR180HEL	ENCFF447ZRG	5cfd6787d8e02211b9cfcf0cdbb3d5a5	exact_metadata_identifier
HG02759	ENCSR144ZXR	ENCFF687QML	73e60d0446bdb995b38cf37274c7e7e7	exact_metadata_identifier
HG02763	ENCSR404OEO	ENCFF321SNO	9fa70b420130ca0150ec6e5d5d27b22e	exact_metadata_identifier
HG02798	ENCSR524CPZ	ENCFF960AXI	3c01ff80f2e0f57aa299fa95b4009119	exact_metadata_identifier
HG02840	ENCSR854ZBA	ENCFF720BLR	9f3be2a35c75c9b7b0f73290883b1591	exact_metadata_identifier
HG02852	ENCSR368FYV	ENCFF978QLZ	86d819db9206832fb54853581f63acd1	exact_metadata_identifier
HG02870	ENCSR420RVW	ENCFF358GWK	9199c0ad6ff68d19ad66bc5ed20db697	exact_metadata_identifier
HG02884	ENCSR604YEQ	ENCFF079OKV	e39262832afac99d3ae5e436abca0fb3	exact_metadata_identifier
HG02885	ENCSR621JYI	ENCFF056MAS	3d22fccf967596fd65bec080d5e43524	exact_metadata_identifier
HG02938	ENCSR920FQJ	ENCFF966ELR	05d62214e6c2826bcb065d8735b07485	exact_metadata_identifier
HG02943	ENCSR123WME	ENCFF657AXO	19221f02914085612ce2c6ca6d0b1fa0	exact_metadata_identifier
HG02970	ENCSR857MCZ	ENCFF320DVY	568d0f46cebc18002763434f95dc9969	exact_metadata_identifier
HG02973	ENCSR038WVV	ENCFF395ZMS	c30e23c0556d6a53c36e9ee72afc8e13	exact_metadata_identifier
HG02981	ENCSR208HAP	ENCFF710GAW	11dd81e1ad971b39d9bead2d86be4800	exact_metadata_identifier
HG03025	ENCSR673ZMQ	ENCFF715RQC	67916d292b0ec86235fc9eda8203ad8a	exact_metadata_identifier
HG03039	ENCSR381LJX	ENCFF231QTG	4ab8c94c74cc75174fc4826a7c5dd102	exact_metadata_identifier
