experiment	biosample_term	identity_tokens	exact_panel_matches	normalized_panel_matches	mapping_mode	mapped_sample	filtered_bam_count	filtered_bam_details	unfiltered_bam_count
ENCSR404OEO	HG02763	HG02763	HG02763		exact_metadata_identifier	HG02763	1	ENCFF321SNO:9fa70b420130ca0150ec6e5d5d27b22e:released:GRCh38:alignments	1
ENCSR487QSB	GM18907	GM18907		NA18907	coriell_GM_to_NA	NA18907	1	ENCFF292BTS:8774f9c6fb0ce5b7431659317b725269:released:GRCh38:alignments	1
ENCSR419UYY	GM19025	GM19025		NA19025	coriell_GM_to_NA	NA19025	1	ENCFF462RHM:623a2a1a2cdb41565b8f2e3d81501acf:released:GRCh38:alignments	1
ENCSR422RPD	GM21717	GM21717			no_panel_match		1	ENCFF496QAW:391ea0bc74c8f4b5cfb7025b235015e8:released:GRCh38:alignments	1
ENCSR105SCQ	GM21360	GM21360			no_panel_match		1	ENCFF991ZNJ:f9a565162e80b1074dc90b6b45a3e73b:released:GRCh38:alignments	1
ENCSR420RVW	HG02870	HG02870	HG02870		exact_metadata_identifier	HG02870	1	ENCFF358GWK:9199c0ad6ff68d19ad66bc5ed20db697:released:GRCh38:alignments	1
ENCSR040PBN	HG03066	HG03066	HG03066		exact_metadata_identifier	HG03066	1	ENCFF479XDB:148718145964b98468627c22c656f18b:released:GRCh38:alignments	1
ENCSR524CPZ	HG02798	HG02798	HG02798		exact_metadata_identifier	HG02798	1	ENCFF960AXI:3c01ff80f2e0f57aa299fa95b4009119:released:GRCh38:alignments	1
ENCSR011NJP	GM18858	GM18858		NA18858	coriell_GM_to_NA	NA18858	1	ENCFF283UHH:58b2103ecaedd5c3b80c125cca3a5d4f:released:GRCh38:alignments	1
ENCSR134OSR	GM19438	GM19438		NA19438	coriell_GM_to_NA	NA19438	1	ENCFF183OZW:ce56cc29b385fe189ae5dfd75594bdd0:released:GRCh38:alignments	1
ENCSR442OAV	GM18517	GM18517		NA18517	coriell_GM_to_NA	NA18517	1	ENCFF697VLB:e1230fa9e4aa86d97f1f75eec38d4a0e:released:GRCh38:alignments	1
ENCSR096VEO	HG03135	HG03135	HG03135		exact_metadata_identifier	HG03135	1	ENCFF004CBW:03e0db2e066033c76df8641221fdcabe:released:GRCh38:alignments	1
ENCSR025MEO	HG03354	HG03354	HG03354		exact_metadata_identifier	HG03354	1	ENCFF132WNX:28512c5e00ee6f0de9bb0fb223bfa56b:released:GRCh38:alignments	1
ENCSR144ZXR	HG02759	HG02759	HG02759		exact_metadata_identifier	HG02759	1	ENCFF687QML:73e60d0446bdb995b38cf37274c7e7e7:released:GRCh38:alignments	1
ENCSR835WBW	HG03565	HG03565	HG03565		exact_metadata_identifier	HG03565	1	ENCFF220BRO:0bf13e85c128c921760766a6351535a6:released:GRCh38:alignments	1
ENCSR839UOB	HG03432	HG03432	HG03432		exact_metadata_identifier	HG03432	1	ENCFF170VVQ:df4547a448cb6eed34c4f1ac0fa94dae:released:GRCh38:alignments	1
ENCSR492FJO	GM18867	GM18867		NA18867	coriell_GM_to_NA	NA18867	1	ENCFF500EBK:109938df3e43584eb79c541abb7b668c:released:GRCh38:alignments	1
ENCSR857MCZ	HG02970	HG02970	HG02970		exact_metadata_identifier	HG02970	1	ENCFF320DVY:568d0f46cebc18002763434f95dc9969:released:GRCh38:alignments	1
ENCSR208HAP	HG02981	HG02981	HG02981		exact_metadata_identifier	HG02981	1	ENCFF710GAW:11dd81e1ad971b39d9bead2d86be4800:released:GRCh38:alignments	1
ENCSR512YXO	GM21381	GM21381			no_panel_match		1	ENCFF717IQY:e1b9fae15f7e5383bb0751d129cd1c64:released:GRCh38:alignments	1
ENCSR312UCH	GM18519	GM18519		NA18519	coriell_GM_to_NA	NA18519	1	ENCFF603MOL:95519f4b652c60947be8060a030e295d:released:GRCh38:alignments	1
ENCSR824DUE	HG03378	HG03378	HG03378		exact_metadata_identifier	HG03378	1	ENCFF497QOS:46acb3a0393066804a51767793656192:released:GRCh38:alignments	1
ENCSR706GDQ	GM19455	GM19455		NA19455	coriell_GM_to_NA	NA19455	1	ENCFF772BMP:390fdb6ec2ff732c411fd470d4bd0c3b:released:GRCh38:alignments	1
