orig.ident	nCount_RNA	nFeature_RNA
X1	SeuratProject	22825.1949312324	21451
X2	SeuratProject	22837.7085311613	21451
X3	SeuratProject	22858.7665834353	21451
X4	SeuratProject	22956.8114873954	21451
X5	SeuratProject	22556.4842615325	21451
X6	SeuratProject	22757.3150382389	21451
X7	SeuratProject	22578.9678421753	21451
X8	SeuratProject	22529.0685109086	21451
X9	SeuratProject	22656.4191013045	21451
X10	SeuratProject	22631.0292229426	21451
X11	SeuratProject	22738.1900402956	21451
X12	SeuratProject	22863.4379994569	21451
X13	SeuratProject	22754.532872247	21451
X14	SeuratProject	22607.1030038114	21451
X15	SeuratProject	22830.5576499483	21451
X16	SeuratProject	22848.3877170804	21451
X17	SeuratProject	22564.8522526421	21451
X18	SeuratProject	22825.4367109702	21451
X19	SeuratProject	22549.9901966586	21451
X20	SeuratProject	22643.7971718322	21451
X21	SeuratProject	22511.0282299536	21451
X22	SeuratProject	22659.8463402476	21451
X23	SeuratProject	22818.5730842886	21451
X24	SeuratProject	22962.6662050963	21451
X25	SeuratProject	22876.8501816733	21451
X26	SeuratProject	22830.2636637734	21451
X27	SeuratProject	22929.5791515798	21451
X28	SeuratProject	22446.2050480393	21451
X29	SeuratProject	22667.7750652869	21451
X30	SeuratProject	22679.4004856861	21451
X31	SeuratProject	22960.3405966464	21451
X32	SeuratProject	22887.921226428	21451
X33	SeuratProject	22309.1604195803	21451
X34	SeuratProject	22287.8959768767	21451
X35	SeuratProject	22692.1419483744	21451
X36	SeuratProject	22854.1929518899	21451
X37	SeuratProject	22791.3554120801	21451
X38	SeuratProject	22505.274175213	21451
X39	SeuratProject	22608.1177516704	21451
X40	SeuratProject	22611.0461580724	21451
X41	SeuratProject	22746.2327455442	21451
X42	SeuratProject	22653.087511314	21451
X43	SeuratProject	22567.6238966032	21451
X44	SeuratProject	22600.5631802337	21451
X45	SeuratProject	22851.0778756858	21451
X46	SeuratProject	22787.6108439445	21451
X47	SeuratProject	22780.6965515814	21451
X48	SeuratProject	22829.1863215693	21451
X49	SeuratProject	22783.6466173466	21451
X50	SeuratProject	22728.6948974403	21451
X51	SeuratProject	22906.8341563979	21451
X52	SeuratProject	22845.1583779153	21451
X53	SeuratProject	22565.65320395	21451
X54	SeuratProject	22850.026413377	21451
X55	SeuratProject	22812.5764912905	21451
X56	SeuratProject	22415.8422286217	21451
X57	SeuratProject	22157.1747076201	21451
X58	SeuratProject	22256.4664318999	21451
X59	SeuratProject	21883.2527814797	21451
X60	SeuratProject	22011.8182845124	21451
X61	SeuratProject	22020.7776536091	21451
