metacell	cell_type
X1	endoderm
X2	endoderm
X3	endostyle_csg
X4	endoderm
X5	endoderm
X6	endoderm
X7	endoderm
X8	endoderm
X9	endoderm
X10	endostyle_csg
X11	endoderm
X12	endoderm
X13	endoderm
X14	muscular_somites
X15	muscular_somites
X16	mesodermal_notochord
X17	mesodermal_notochord
X18	mesodermal_notochord
X19	mesodermal_notochord
X20	somite
X21	somite
X22	somite
X23	somite
X24	somite
X25	somite
X26	somite
X27	somite
X28	putative_neuro_endo
X29	tailbud
X30	tailbud
X31	tailbud
X32	tailbud
X33	neural_like1
X34	neural_like2
X35	HyTh
X36	HyTh
X37	neural
X38	neural
X39	neural
X40	neural
X41	neural
X42	neural
X43	neural
X44	neural
X45	neural
X46	neural
X47	neural
X48	neural
X49	neural
X50	neural
X51	tailbud_neural
X52	tailbud_neural
X53	HyTh
X54	DiMes
X55	neural
X56	epidermal_neural1
X57	epidermal_neural2
X58	epidermis_1
X59	epidermis_1
X60	epidermis_1
X61	epidermis_1
X62	epidermis_1
X63	epidermis_1
X64	epidermis_1
X65	epidermis_1
X66	epidermis_1
X67	epidermis_1
X68	epidermis_1
X69	epidermis_1
X70	epidermis_1
X71	epidermis_1
X72	epidermis_1
X73	epidermis_1
X74	epidermis_1
X75	epidermis_1
X76	epidermis_1
X77	epidermis_1
X78	epidermis_1
X79	epidermis_1
X80	epidermis_1
X81	epidermis_1
X82	epidermis_1
X83	epidermis_1
X84	epidermis_1
X85	epidermis_1
X86	epidermis_1
X87	epidermis_1
X88	epidermis_1
X89	epidermis_1
X90	epidermis_1
X91	epidermis_1
X92	epidermis_1
X93	epidermis_1
X94	epidermis_1
X95	epidermis_2
X96	epidermis_2
X97	epidermis_2
X98	epidermis_2
X99	epidermis_2
X100	epidermis_2
X101	epidermis_2
X102	epidermis_2
X103	epidermis_2
X104	epidermis_2
X105	epidermis_2
X106	epidermis_2
X107	epidermis_2
X108	epidermis_2
X109	epidermis_2
X110	epidermis_2
X111	epidermis_2
X112	epidermis_2
X113	epidermis_2
X114	epidermis_2
X115	epidermis_2
X116	epidermis_2
X117	epidermis_2
X118	epidermis_2
X119	epidermis_2
X120	epidermis_2
X121	epidermis_2
X122	epidermis_2
X123	epidermis_2
X124	epidermis_2
X125	epidermis_2
X126	epidermis_2
X127	epidermis_2
X128	epidermis_2
X129	epidermis_2
X130	epidermis_2
X131	epidermis_2
X132	epidermis_2
X133	epidermis_2
X134	epidermis_2
X135	epidermis_2
X136	epidermis_2
X137	epidermis_2
X138	epidermis_2
X139	epidermis_2
X140	epidermis_2
X141	epidermis_2
X142	epidermis_2
X143	epidermis_2
X144	epidermis_2
X145	epidermis_2
X146	epidermis_2
X147	epidermis_2
X148	epidermis_2
X149	epidermis_2
X150	epidermis_2
X151	epidermis_2
X152	epidermis_2
X153	epidermis_2
X154	epidermis_2
X155	epidermis_2
X156	epidermis_2
X157	epidermis_2
X158	epidermis_2
X159	epidermis_2
X160	epidermis_2
X161	epidermis_2
X162	epidermis_2
X163	epidermis_2
X164	epidermis_2
X165	epidermis_2
X166	epidermis_2
X167	epidermis_2
X168	epidermis_2
X169	epidermis_2
X170	epidermis_2
X171	epidermis_2
X172	epidermis_2
X173	epidermis_2
X174	epidermis_2
X175	epidermis_2
X176	epidermis_2
