metacell	cell_type
X1	endoderm
X2	endoderm
X3	endostyle_csg
X4	endoderm
X5	endoderm
X6	endoderm
X7	endoderm
X8	endoderm
X9	endoderm
X10	endostyle_csg
X11	endoderm
X12	endoderm
X13	endoderm
X14	muscular_somites
X15	muscular_somites
X16	mesodermal_notochord
X17	mesodermal_notochord
X18	mesodermal_notochord
X19	mesodermal_notochord
X20	somite
X21	somite
X22	somite
X23	somite
X24	somite
X25	somite
X26	somite
X27	somite
X28	putative_neuro_endo
X29	tailbud
X30	tailbud
X31	tailbud
X32	tailbud
X33	neural_like
X34	neural_like
X35	HyTh
X36	HyTh
X37	neural
X38	neural
X39	neural
X40	neural
X41	neural
X42	neural
X43	neural
X44	neural
X45	neural
X46	neural
X47	neural
X48	neural
X49	neural
X50	neural
X51	tailbud_neural
X52	tailbud_neural
X53	HyTh
X54	DiMes
X55	neural
X56	epidermal_neural
X57	epidermal_neural
X58	epidermis
X59	epidermis
X60	epidermis
X61	epidermis
X62	epidermis
X63	epidermis
X64	epidermis
X65	epidermis
X66	epidermis
X67	epidermis
X68	epidermis
X69	epidermis
X70	epidermis
X71	epidermis
X72	epidermis
X73	epidermis
X74	epidermis
X75	epidermis
X76	epidermis
X77	epidermis
X78	epidermis
X79	epidermis
X80	epidermis
X81	epidermis
X82	epidermis
X83	epidermis
X84	epidermis
X85	epidermis
X86	epidermis
X87	epidermis
X88	epidermis
X89	epidermis
X90	epidermis
X91	epidermis
X92	epidermis
X93	epidermis
X94	epidermis
X95	epidermis
X96	epidermis
X97	epidermis
X98	epidermis
X99	epidermis
X100	epidermis
X101	epidermis
X102	epidermis
X103	epidermis
X104	epidermis
X105	epidermis
X106	epidermis
X107	epidermis
X108	epidermis
X109	epidermis
X110	epidermis
X111	epidermis
X112	epidermis
X113	epidermis
X114	epidermis
X115	epidermis
X116	epidermis
X117	epidermis
X118	epidermis
X119	epidermis
X120	epidermis
X121	epidermis
X122	epidermis
X123	epidermis
X124	epidermis
X125	epidermis
X126	epidermis
X127	epidermis
X128	epidermis
X129	epidermis
X130	epidermis
X131	epidermis
X132	epidermis
X133	epidermis
X134	epidermis
X135	epidermis
X136	epidermis
X137	epidermis
X138	epidermis
X139	epidermis
X140	epidermis
X141	epidermis
X142	epidermis
X143	epidermis
X144	epidermis
X145	epidermis
X146	epidermis
X147	epidermis
X148	epidermis
X149	epidermis
X150	epidermis
X151	epidermis
X152	epidermis
X153	epidermis
X154	epidermis
X155	epidermis
X156	epidermis
X157	epidermis
X158	epidermis
X159	epidermis
X160	epidermis
X161	epidermis
X162	epidermis
X163	epidermis
X164	epidermis
X165	epidermis
X166	epidermis
X167	epidermis
X168	epidermis
X169	epidermis
X170	epidermis
X171	epidermis
X172	epidermis
X173	epidermis
X174	epidermis
X175	epidermis
X176	epidermis
