samples	Sample1,Sample2,Sample3,Sample4
target_biallelic_complete_snps	119019
sites_selected	5000
sites_exact_af_matches	108
sites_informative_used	1
panel_selected	7000
panel_reference_samples	730
panel_available_counts	{'EUR': 771, 'EAS': 817, 'SAS': 783, 'AFR': 989, 'OCE': 30, 'MID': 158}
panel_exact_af_matches	0
panel_informative_used	0
Sample1_site_rank	AFR:-0.294746;ASJ:-0.676637;MID:-0.688192;EUR:-0.796182;EAS:-0.805294;SAS:-1.018460
Sample1_panel_rank	AFR:-inf;EAS:-inf;EUR:-inf;MID:-inf;SAS:-inf;OCE:-inf
Sample1_call	AFR
Sample2_site_rank	AFR:-0.294746;ASJ:-0.676637;MID:-0.688192;EUR:-0.796182;EAS:-0.805294;SAS:-1.018460
Sample2_panel_rank	AFR:-inf;EAS:-inf;EUR:-inf;MID:-inf;SAS:-inf;OCE:-inf
Sample2_call	AFR
Sample3_site_rank	SAS:-0.734772;EAS:-0.813772;EUR:-0.818470;MID:-0.884903;ASJ:-0.893333;AFR:-1.441796
Sample3_panel_rank	AFR:-inf;EAS:-inf;EUR:-inf;MID:-inf;SAS:-inf;OCE:-inf
Sample3_call	SAS
Sample4_site_rank	AFR:-0.294746;ASJ:-0.676637;MID:-0.688192;EUR:-0.796182;EAS:-0.805294;SAS:-1.018460
Sample4_panel_rank	AFR:-inf;EAS:-inf;EUR:-inf;MID:-inf;SAS:-inf;OCE:-inf
Sample4_call	AFR
