cells	louvain
"1    	cell"	6
"2    	cell"	13
"3    	cell"	11
"4    	cell"	7
"5    	cell"	6
"6    	cell"	6
"7    	cell"	6
"8    	cell"	6
"9    	cell"	6
"10   	cell"	6
"11   	cell"	5
"12   	cell"	6
"13   	cell"	6
"14   	cell"	5
"15   	cell"	6
"16   	cell"	12
"17   	cell"	0
"18   	cell"	14
"19   	cell"	6
"20   	cell"	5
"21   	cell"	5
"22   	cell"	14
"23   	cell"	6
"24   	cell"	10
"25   	cell"	23
"26   	cell"	5
"27   	cell"	7
"28   	cell"	5
"29   	cell"	12
"30   	cell"	6
"31   	cell"	13
"32   	cell"	6
"33   	cell"	5
"34   	cell"	13
"35   	cell"	5
"36   	cell"	6
"37   	cell"	5
"38   	cell"	6
"39   	cell"	17
"40   	cell"	14
"41   	cell"	6
"42   	cell"	5
"43   	cell"	6
"44   	cell"	13
"45   	cell"	13
"46   	cell"	5
"47   	cell"	6
"48   	cell"	5
"49   	cell"	0
"50   	cell"	10
"51   	cell"	6
"52   	cell"	10
"53   	cell"	5
"54   	cell"	6
"55   	cell"	13
"56   	cell"	5
"57   	cell"	0
"58   	cell"	6
"59   	cell"	13
"60   	cell"	14
"61   	cell"	6
"62   	cell"	5
"63   	cell"	14
"64   	cell"	5
"65   	cell"	13
"66   	cell"	6
"67   	cell"	6
"68   	cell"	6
"69   	cell"	6
"70   	cell"	6
"71   	cell"	15
"72   	cell"	13
"73   	cell"	13
"74   	cell"	6
"75   	cell"	14
"76   	cell"	6
"77   	cell"	0
"78   	cell"	6
"79   	cell"	6
"80   	cell"	6
"81   	cell"	13
"82   	cell"	13
"83   	cell"	10
"84   	cell"	13
"85   	cell"	6
"86   	cell"	7
"87   	cell"	14
"88   	cell"	13
"89   	cell"	6
"90   	cell"	12
"91   	cell"	13
"92   	cell"	5
"93   	cell"	0
"94   	cell"	6
"95   	cell"	6
"96   	cell"	6
"97   	cell"	6
"98   	cell"	6
"99   	cell"	13
"100  	cell"	0
"101  	cell"	6
"102  	cell"	0
"103  	cell"	0
"104  	cell"	14
"105  	cell"	6
"106  	cell"	6
"107  	cell"	5
"108  	cell"	5
"109  	cell"	6
"110  	cell"	14
"111  	cell"	13
"112  	cell"	6
"113  	cell"	6
"114  	cell"	6
"115  	cell"	6
"116  	cell"	6
"117  	cell"	6
"118  	cell"	7
"119  	cell"	14
"120  	cell"	0
"121  	cell"	5
"122  	cell"	12
"123  	cell"	6
"124  	cell"	6
"125  	cell"	0
"126  	cell"	6
"127  	cell"	12
"128  	cell"	0
"129  	cell"	6
"130  	cell"	5
"131  	cell"	7
"132  	cell"	6
"133  	cell"	23
"134  	cell"	14
"135  	cell"	0
"136  	cell"	6
"137  	cell"	6
"138  	cell"	5
"139  	cell"	6
"140  	cell"	6
"141  	cell"	6
"142  	cell"	5
"143  	cell"	6
"144  	cell"	13
"145  	cell"	6
"146  	cell"	6
"147  	cell"	6
