cells	louvain
"10000	cell2"	13
"10001	cell2"	7
"10002	cell2"	8
"10003	cell2"	9
"10004	cell2"	13
"10005	cell2"	13
"10006	cell2"	13
"10007	cell2"	13
"10008	cell2"	3
"10009	cell2"	13
"10010	cell2"	3
"10011	cell2"	13
"10012	cell2"	9
"10013	cell2"	13
"10014	cell2"	1
"10015	cell2"	13
"10016	cell2"	8
"10017	cell2"	8
"10018	cell2"	8
"10019	cell2"	13
"10020	cell2"	3
"10021	cell2"	7
"10022	cell2"	13
"10023	cell2"	21
"10024	cell2"	13
"10025	cell2"	13
"10026	cell2"	13
"10027	cell2"	9
"10028	cell2"	13
"10029	cell2"	13
"10030	cell2"	9
"10031	cell2"	13
"10032	cell2"	13
"10033	cell2"	13
"10034	cell2"	13
"10035	cell2"	9
"10036	cell2"	13
"10037	cell2"	13
"10038	cell2"	3
"10039	cell2"	13
"10040	cell2"	13
"10041	cell2"	13
"10042	cell2"	3
"10043	cell2"	3
"10044	cell2"	13
"10045	cell2"	8
"10046	cell2"	9
"10047	cell2"	13
"10048	cell2"	5
"10049	cell2"	8
"10050	cell2"	1
"10051	cell2"	13
"10052	cell2"	13
"10053	cell2"	3
"10054	cell2"	3
"10055	cell2"	13
"10056	cell2"	13
"10057	cell2"	9
"10058	cell2"	9
"10059	cell2"	9
"10060	cell2"	3
"10061	cell2"	13
"10062	cell2"	3
"10063	cell2"	12
"10064	cell2"	8
"10065	cell2"	1
"10066	cell2"	9
"10067	cell2"	13
"10068	cell2"	8
"10069	cell2"	1
"10070	cell2"	8
"10071	cell2"	13
"10072	cell2"	17
"10073	cell2"	9
"10074	cell2"	8
"10075	cell2"	13
"10076	cell2"	21
"10077	cell2"	10
"10078	cell2"	3
"10079	cell2"	3
"10080	cell2"	13
"10081	cell2"	8
"10082	cell2"	13
"10083	cell2"	13
"10084	cell2"	9
"10085	cell2"	3
"10086	cell2"	13
"10087	cell2"	13
"10088	cell2"	13
"10089	cell2"	3
"10090	cell2"	13
"10091	cell2"	13
"10092	cell2"	3
"10093	cell2"	8
"10094	cell2"	13
"10095	cell2"	3
"10096	cell2"	13
"10097	cell2"	3
"10098	cell2"	3
"10099	cell2"	1
"10100	cell2"	9
"10101	cell2"	9
"10102	cell2"	13
"10103	cell2"	13
"10104	cell2"	9
"10105	cell2"	9
"10106	cell2"	3
"10107	cell2"	13
"10108	cell2"	3
"10109	cell2"	9
"10110	cell2"	13
"10111	cell2"	3
"10112	cell2"	1
"10113	cell2"	13
"10114	cell2"	8
"10115	cell2"	8
"10116	cell2"	3
"10117	cell2"	5
"10118	cell2"	8
"10119	cell2"	5
"10120	cell2"	8
"10121	cell2"	1
"10122	cell2"	13
"10123	cell2"	13
"10124	cell2"	2
"10125	cell2"	1
"10126	cell2"	1
"10127	cell2"	13
"10128	cell2"	21
"10129	cell2"	13
"10130	cell2"	13
"10131	cell2"	5
"10132	cell2"	5
"10133	cell2"	13
"10134	cell2"	13
"10135	cell2"	3
"10136	cell2"	13
"10137	cell2"	8
"10138	cell2"	9
"10139	cell2"	8
"10140	cell2"	9
"10141	cell2"	3
"10142	cell2"	2
"10143	cell2"	1
"10144	cell2"	8
"10145	cell2"	9
"10146	cell2"	9
"10147	cell2"	1
"10148	cell2"	5
"10149	cell2"	3
"10150	cell2"	3
"10151	cell2"	8
"10152	cell2"	3
"10153	cell2"	5
"10154	cell2"	1
"10155	cell2"	13
"10156	cell2"	1
"10157	cell2"	8
"10158	cell2"	13
"10159	cell2"	3
"10160	cell2"	10
"10161	cell2"	1
"10162	cell2"	1
"10163	cell2"	3
"10164	cell2"	8
"10165	cell2"	12
"10166	cell2"	3
"10167	cell2"	1
"10168	cell2"	9
"10169	cell2"	3
"10170	cell2"	3
"10171	cell2"	1
"10172	cell2"	3
"10173	cell2"	1
"10174	cell2"	5
"10175	cell2"	3
"10176	cell2"	3
"10177	cell2"	1
"10178	cell2"	17
"10179	cell2"	7
"10180	cell2"	3
"10181	cell2"	9
"10182	cell2"	23
"10183	cell2"	1
"10184	cell2"	5
"10185	cell2"	9
"10186	cell2"	7
"10187	cell2"	1
"10188	cell2"	3
"10189	cell2"	7
"10190	cell2"	4
"10191	cell2"	1
"10192	cell2"	3
"10193	cell2"	0
"10194	cell2"	7
"10195	cell2"	1
"10196	cell2"	3
"10197	cell2"	8
"10198	cell2"	3
"10199	cell2"	8
"10200	cell2"	23
"10201	cell2"	9
"10202	cell2"	9
"10203	cell2"	9
"10204	cell2"	9
"10205	cell2"	10
"10206	cell2"	9
"10207	cell2"	19
"10208	cell2"	1
"10209	cell2"	5
"10210	cell2"	3
"10211	cell2"	9
"10212	cell2"	1
"10213	cell2"	1
"10214	cell2"	21
"10215	cell2"	9
"10216	cell2"	13
"10217	cell2"	8
"10218	cell2"	5
"10219	cell2"	21
"10220	cell2"	9
"10221	cell2"	3
"10222	cell2"	5
"10223	cell2"	18
"10224	cell2"	3
"10225	cell2"	7
"10226	cell2"	9
"10227	cell2"	8
"10228	cell2"	5
"10229	cell2"	8
"10230	cell2"	0
"10231	cell2"	8
"10232	cell2"	10
"10233	cell2"	9
"10234	cell2"	8
"10235	cell2"	21
"10236	cell2"	8
"10237	cell2"	13
"10238	cell2"	1
"10239	cell2"	8
"10240	cell2"	9
"10241	cell2"	5
"10242	cell2"	8
"10243	cell2"	9
"10244	cell2"	8
"10245	cell2"	9
"10246	cell2"	5
"10247	cell2"	5
"10248	cell2"	9
"10249	cell2"	3
"10250	cell2"	3
"10251	cell2"	5
"10252	cell2"	7
"10253	cell2"	8
"10254	cell2"	9
"10255	cell2"	12
"10256	cell2"	8
"10257	cell2"	3
"10258	cell2"	9
"10259	cell2"	8
"10260	cell2"	13
"10261	cell2"	8
"10262	cell2"	12
"10263	cell2"	15
"10264	cell2"	5
"10265	cell2"	1
"10266	cell2"	8
"10267	cell2"	3
"10268	cell2"	3
"10269	cell2"	17
"10270	cell2"	8
"10271	cell2"	7
"10272	cell2"	8
"10273	cell2"	8
"10274	cell2"	1
"10275	cell2"	9
"10276	cell2"	2
"10277	cell2"	9
"10278	cell2"	3
"10279	cell2"	5
"10280	cell2"	25
"10281	cell2"	1
"10282	cell2"	8
"10283	cell2"	21
"10284	cell2"	3
"10285	cell2"	11
"10286	cell2"	8
"10287	cell2"	0
"10288	cell2"	8
"10289	cell2"	9
"10290	cell2"	3
"10291	cell2"	10
"10292	cell2"	8
"10293	cell2"	9
"10294	cell2"	9
"10295	cell2"	20
"10296	cell2"	3
"10297	cell2"	8
"10298	cell2"	1
"10299	cell2"	1
"10300	cell2"	3
"10301	cell2"	13
"10302	cell2"	3
"10303	cell2"	1
"10304	cell2"	7
"10305	cell2"	7
"10306	cell2"	1
"10307	cell2"	13
"10308	cell2"	2
"10309	cell2"	1
"10310	cell2"	8
"10311	cell2"	1
"10312	cell2"	1
"10313	cell2"	21
"10314	cell2"	7
"10315	cell2"	3
"10316	cell2"	5
"10317	cell2"	1
"10318	cell2"	1
"10319	cell2"	9
"10320	cell2"	8
"10321	cell2"	21
"10322	cell2"	8
"10323	cell2"	8
"10324	cell2"	9
"10325	cell2"	1
"10326	cell2"	8
"10327	cell2"	1
"10328	cell2"	2
"10329	cell2"	3
"10330	cell2"	3
"10331	cell2"	3
"10332	cell2"	8
"10333	cell2"	8
"10334	cell2"	8
"10335	cell2"	13
"10336	cell2"	3
"10337	cell2"	21
"10338	cell2"	7
"10339	cell2"	3
"10340	cell2"	7
"10341	cell2"	13
"10342	cell2"	3
"10343	cell2"	21
"10344	cell2"	5
"10345	cell2"	3
"10346	cell2"	1
"10347	cell2"	7
"10348	cell2"	9
"10349	cell2"	7
"10350	cell2"	1
"10351	cell2"	1
"10352	cell2"	1
"10353	cell2"	9
"10354	cell2"	1
"10355	cell2"	3
"10356	cell2"	3
"10357	cell2"	5
"10358	cell2"	1
"10359	cell2"	2
"10360	cell2"	1
"10361	cell2"	2
"10362	cell2"	8
"10363	cell2"	9
"10364	cell2"	3
"10365	cell2"	13
"10366	cell2"	3
"10367	cell2"	3
"10368	cell2"	5
"10369	cell2"	8
"10370	cell2"	3
"10371	cell2"	3
"10372	cell2"	7
"10373	cell2"	1
"10374	cell2"	8
"10375	cell2"	7
"10376	cell2"	25
"10377	cell2"	1
"10378	cell2"	9
"10379	cell2"	5
"10380	cell2"	3
"10381	cell2"	21
"10382	cell2"	5
"10383	cell2"	9
"10384	cell2"	1
"10385	cell2"	2
"10386	cell2"	9
"10387	cell2"	7
"10388	cell2"	1
"10389	cell2"	9
"10390	cell2"	1
"10391	cell2"	1
"10392	cell2"	9
"10393	cell2"	9
"10394	cell2"	9
"10395	cell2"	3
"10396	cell2"	3
"10397	cell2"	3
"10398	cell2"	3
"10399	cell2"	9
"10400	cell2"	5
"10401	cell2"	1
"10402	cell2"	1
"10403	cell2"	3
"10404	cell2"	3
"10405	cell2"	9
"10406	cell2"	2
"10407	cell2"	7
"10408	cell2"	9
"10409	cell2"	7
"10410	cell2"	2
"10411	cell2"	2
"10412	cell2"	3
"10413	cell2"	3
"10414	cell2"	2
"10415	cell2"	3
"10416	cell2"	7
"10417	cell2"	2
"10418	cell2"	19
"10419	cell2"	7
"10420	cell2"	7
"10421	cell2"	3
"10422	cell2"	2
"10423	cell2"	3
"10424	cell2"	1
"10425	cell2"	9
"10426	cell2"	3
"10427	cell2"	9
"10428	cell2"	3
"10429	cell2"	3
"10430	cell2"	1
"10431	cell2"	17
"10432	cell2"	7
"10433	cell2"	2
"10434	cell2"	22
"10435	cell2"	21
"10436	cell2"	3
"10437	cell2"	5
"10438	cell2"	3
"10439	cell2"	2
"10440	cell2"	7
"10441	cell2"	1
"10442	cell2"	1
"10443	cell2"	1
"10444	cell2"	2
"10445	cell2"	9
"10446	cell2"	4
"10447	cell2"	1
"10448	cell2"	21
"10449	cell2"	3
"10450	cell2"	3
"10451	cell2"	7
"10452	cell2"	3
"10453	cell2"	3
"10454	cell2"	1
"10455	cell2"	8
"10456	cell2"	1
"10457	cell2"	1
"10458	cell2"	10
"10459	cell2"	21
"10460	cell2"	9
"10461	cell2"	3
"10462	cell2"	3
"10463	cell2"	3
"10464	cell2"	7
"10465	cell2"	7
"10466	cell2"	3
"10467	cell2"	9
"10468	cell2"	7
"10469	cell2"	20
"10470	cell2"	1
"10471	cell2"	21
"10472	cell2"	1
"10473	cell2"	3
"10474	cell2"	3
"10475	cell2"	8
"10476	cell2"	5
"10477	cell2"	12
"10478	cell2"	9
"10479	cell2"	5
"10480	cell2"	1
"10481	cell2"	3
"10482	cell2"	3
"10483	cell2"	7
"10484	cell2"	15
"10485	cell2"	7
"10486	cell2"	5
"10487	cell2"	9
"10488	cell2"	1
"10489	cell2"	7
"10490	cell2"	9
"10491	cell2"	7
"10492	cell2"	3
"10493	cell2"	3
"10494	cell2"	1
"10495	cell2"	3
"10496	cell2"	12
"10497	cell2"	2
"10498	cell2"	1
"10499	cell2"	7
"10500	cell2"	3
"10501	cell2"	3
"10502	cell2"	1
"10503	cell2"	1
"10504	cell2"	2
"10505	cell2"	5
"10506	cell2"	3
"10507	cell2"	3
"10508	cell2"	3
"10509	cell2"	2
"10510	cell2"	3
"10511	cell2"	7
"10512	cell2"	7
"10513	cell2"	5
"10514	cell2"	7
"10515	cell2"	1
"10516	cell2"	7
"10517	cell2"	9
"10518	cell2"	3
"10519	cell2"	3
"10520	cell2"	1
"10521	cell2"	3
"10522	cell2"	1
"10523	cell2"	9
"10524	cell2"	7
"10525	cell2"	2
"10526	cell2"	8
"10527	cell2"	9
"10528	cell2"	15
"10529	cell2"	3
"10530	cell2"	9
"10531	cell2"	7
"10532	cell2"	5
"10533	cell2"	3
"10534	cell2"	9
"10535	cell2"	1
"10536	cell2"	9
"10537	cell2"	5
"10538	cell2"	1
"10539	cell2"	1
"10540	cell2"	1
"10541	cell2"	5
"10542	cell2"	1
"10543	cell2"	7
"10544	cell2"	7
"10545	cell2"	21
"10546	cell2"	7
"10547	cell2"	3
"10548	cell2"	7
"10549	cell2"	6
"10550	cell2"	1
"10551	cell2"	1
"10552	cell2"	1
"10553	cell2"	1
"10554	cell2"	7
"10555	cell2"	1
"10556	cell2"	7
"10557	cell2"	2
"10558	cell2"	7
"10559	cell2"	5
"10560	cell2"	8
"10561	cell2"	7
"10562	cell2"	9
"10563	cell2"	5
"10564	cell2"	7
"10565	cell2"	1
"10566	cell2"	1
"10567	cell2"	5
