contrast	stratum	rate_if_exposed	rate_if_unexposed	risk_difference	exposed_n	unexposed_n
contact_t_to_transcription_t_plus_1_stratified_by_transcription_t	transcription_t=0	0.20130544	0.15125812	0.050047328	6741	119663
contact_t_to_transcription_t_plus_1_stratified_by_transcription_t	transcription_t=1	0.20566802	0.15105004	0.054617973	1235	21761
transcription_t_to_contact_t_plus_1_stratified_by_contact_t	contact_t=0	0.093561877	0.045962411	0.047599466	21761	119663
transcription_t_to_contact_t_plus_1_stratified_by_contact_t	contact_t=1	0.11012146	0.04569055	0.064430907	1235	6741
contact_t_to_transcription_t_plus_1_stratified_by_transcription_t_and_contact_t_plus_1	transcription_t=0;contact_t_plus_1=0	0.20083942	0.15130121	0.049538212	6433	114163
contact_t_to_transcription_t_plus_1_stratified_by_transcription_t_and_contact_t_plus_1	transcription_t=0;contact_t_plus_1=1	0.21103896	0.15036364	0.060675325	308	5500
contact_t_to_transcription_t_plus_1_stratified_by_transcription_t_and_contact_t_plus_1	transcription_t=1;contact_t_plus_1=0	0.211101	0.15021546	0.060885538	1099	19725
contact_t_to_transcription_t_plus_1_stratified_by_transcription_t_and_contact_t_plus_1	transcription_t=1;contact_t_plus_1=1	0.16176471	0.15913556	0.002629146	136	2036
transcription_t_to_contact_t_plus_1_stratified_by_contact_t_and_transcription_t_plus_1	contact_t=0;transcription_t_plus_1=0	0.092670781	0.04601085	0.04665993	18474	101563
transcription_t_to_contact_t_plus_1_stratified_by_contact_t_and_transcription_t_plus_1	contact_t=0;transcription_t_plus_1=1	0.098570125	0.045690608	0.052879517	3287	18100
transcription_t_to_contact_t_plus_1_stratified_by_contact_t_and_transcription_t_plus_1	contact_t=1;transcription_t_plus_1=0	0.11620795	0.04513373	0.071074222	981	5384
transcription_t_to_contact_t_plus_1_stratified_by_contact_t_and_transcription_t_plus_1	contact_t=1;transcription_t_plus_1=1	0.086614173	0.047899779	0.038714394	254	1357
full_state_transition_count	contact_t=0;transcription_t=0;contact_t_plus_1=0;transcription_t_plus_1=0				96890	149400
full_state_transition_count	contact_t=0;transcription_t=0;contact_t_plus_1=0;transcription_t_plus_1=1				17273	149400
full_state_transition_count	contact_t=0;transcription_t=0;contact_t_plus_1=1;transcription_t_plus_1=0				4673	149400
full_state_transition_count	contact_t=0;transcription_t=0;contact_t_plus_1=1;transcription_t_plus_1=1				827	149400
full_state_transition_count	contact_t=0;transcription_t=1;contact_t_plus_1=0;transcription_t_plus_1=0				16762	149400
full_state_transition_count	contact_t=0;transcription_t=1;contact_t_plus_1=0;transcription_t_plus_1=1				2963	149400
full_state_transition_count	contact_t=0;transcription_t=1;contact_t_plus_1=1;transcription_t_plus_1=0				1712	149400
full_state_transition_count	contact_t=0;transcription_t=1;contact_t_plus_1=1;transcription_t_plus_1=1				324	149400
full_state_transition_count	contact_t=1;transcription_t=0;contact_t_plus_1=0;transcription_t_plus_1=0				5141	149400
full_state_transition_count	contact_t=1;transcription_t=0;contact_t_plus_1=0;transcription_t_plus_1=1				1292	149400
full_state_transition_count	contact_t=1;transcription_t=0;contact_t_plus_1=1;transcription_t_plus_1=0				243	149400
full_state_transition_count	contact_t=1;transcription_t=0;contact_t_plus_1=1;transcription_t_plus_1=1				65	149400
full_state_transition_count	contact_t=1;transcription_t=1;contact_t_plus_1=0;transcription_t_plus_1=0				867	149400
full_state_transition_count	contact_t=1;transcription_t=1;contact_t_plus_1=0;transcription_t_plus_1=1				232	149400
full_state_transition_count	contact_t=1;transcription_t=1;contact_t_plus_1=1;transcription_t_plus_1=0				114	149400
full_state_transition_count	contact_t=1;transcription_t=1;contact_t_plus_1=1;transcription_t_plus_1=1				22	149400
