metric	value
total_rows	150000
cell_count	600
time_points_per_cell_min	250
time_points_per_cell_max	250
contact_count	8004
transcription_count	23086
both_contact_and_transcription_count	1240
p_contact	0.05336
p_transcription	0.15390667
p_transcription_given_contact	0.15492254
p_transcription_given_no_contact	0.1538494
same_time_transcription_risk_difference	0.0010731345
best_lag_contact_to_future_transcription	1
best_contact_to_future_transcription_rd	0.050754843
best_contact_to_future_transcription_mean_cell_rd	0.057594547
best_lag_transcription_to_future_contact	1
best_transcription_to_future_contact_rd	0.048503296
best_transcription_to_future_contact_mean_cell_rd	0.050127277
