lag	p_future_transcription_given_contact	p_future_transcription_given_no_contact	contact_to_future_transcription_rd	mean_cell_contact_to_future_transcription_rd	p_future_contact_given_transcription	p_future_contact_given_no_transcription	transcription_to_future_contact_rd	mean_cell_transcription_to_future_contact_rd	paired_observations	cells_contact_to_transcription	cells_transcription_to_contact
1	0.20198094	0.1512261	0.050754843	0.057594547	0.094451209	0.045947913	0.048503296	0.050127277	149400	600	600
2	0.1462585	0.15437094	-0.0081124412	-0.0077307524	0.05210062	0.053676669	-0.001576049	-0.0015891112	148800	600	600
3	0.15385589	0.1539739	-0.0001180047	-0.0015381619	0.05562374	0.053028249	0.002595491	0.0024772813	148200	600	600
4	0.15357234	0.15406415	-0.00049181382	0.00053411189	0.053217223	0.053466599	-0.00024937636	-0.0004070266	147600	600	600
5	0.15132585	0.1542226	-0.0028967449	-0.0031992577	0.054674734	0.053113214	0.0015615195	0.0013677563	147000	600	600
6	0.15071648	0.15415921	-0.0034427313	-0.0016028465	0.052580245	0.053470495	-0.00089025041	-0.00078390591	146400	600	600
7	0.15536723	0.15385619	0.0015110452	0.0015616344	0.052903226	0.053476586	-0.00057336045	-0.00017135138	145800	600	600
8	0.15201135	0.15398999	-0.0019786426	-0.0016530302	0.055342148	0.052934567	0.0024075809	0.0021047989	145200	600	600
9	0.15156614	0.15392259	-0.0023564454	-0.00057044181	0.049831952	0.053923212	-0.0040912606	-0.0044539862	144600	600	600
10	0.15172772	0.15400361	-0.0022758881	-0.002380174	0.052041597	0.05360178	-0.0015601829	-0.00202211	144000	600	600
11	0.15636411	0.15363363	0.0027304796	0.0026260063	0.052588741	0.053559797	-0.0009710565	-0.0011177723	143400	600	600
12	0.14720546	0.1541671	-0.0069616403	-0.0084513859	0.05531084	0.053055581	0.0022552588	0.0026914572	142800	600	600
13	0.15189873	0.15388215	-0.0019834195	-0.0030121074	0.053119153	0.053521993	-0.00040284022	0.00010741778	142200	600	600
14	0.15162741	0.15386968	-0.002242268	-0.001521034	0.051417301	0.053899063	-0.0024817623	-0.0024518304	141600	600	600
15	0.14378738	0.154351	-0.010563627	-0.0099221985	0.05320129	0.053558555	-0.00035726505	-9.054876e-05	141000	600	600
