	value
0	0.000000
1	0.044400
2	0.047900
3	0.069300
4	0.000000
5	0.051800
6	0.000000
7	0.054800
8	0.058900
9	0.039000
10	0.000000
11	0.000000
12	0.020200
13	0.056600
14	0.064700
15	0.070700
16	0.000000
17	0.000000
18	0.038200
19	0.053000
20	0.005500
21	0.046200
22	0.084200
23	0.053900
24	0.033200
25	0.000000
26	0.052300
27	0.038100
28	0.023300
29	0.122700
30	0.032200
31	0.076000
32	0.030900
33	0.038600
34	0.081100
35	0.039200
36	0.000000
37	0.056000
38	0.123000
39	0.068800
40	0.078200
41	0.000000
42	0.084800
43	0.016900
44	0.060500
45	0.058200
46	0.060400
47	0.045900
48	0.000000
49	0.038700
50	0.000000
51	0.037700
52	0.029600
53	0.045600
54	0.072400
55	0.043700
56	0.046300
57	0.067900
58	0.047400
59	0.085000
60	0.060400
61	0.000000
62	0.069100
63	0.068500
64	0.040300
65	0.072900
66	0.000000
67	0.038200
68	0.050100
69	0.034500
70	0.075900
71	0.098500
72	0.044600
73	0.070900
74	0.039600
75	0.024500
76	0.093500
77	0.039600
78	0.000000
79	0.029600
80	0.049600
81	0.017500
82	0.091100
83	0.000100
84	0.044600
85	0.549500
86	0.000000
87	0.050500
88	0.075800
89	0.058200
90	0.000000
91	0.000000
92	0.000000
93	0.108100
94	0.050800
95	0.081000
96	0.051900
97	0.072900
98	0.038300
99	0.046500
100	0.120500
101	0.061200
102	0.048600
103	0.049900
104	0.081400
105	0.049700
106	0.060300
107	0.090700
108	0.000000
109	0.080500
110	0.077100
111	0.082100
112	0.078600
113	0.071000
114	0.055700
115	0.000000
116	0.129200
117	0.000000
118	0.042100
119	0.021600
120	0.040000
121	0.022100
122	0.034800
123	0.030700
124	0.045100
125	0.061300
126	0.051100
127	0.053100
128	0.128500
129	0.054200
130	0.040400
131	0.044200
132	0.053400
133	0.000000
134	0.027900
135	0.028800
136	0.000000
137	0.177900
138	0.000000
139	0.042800
140	0.047000
141	0.067800
142	0.104800
143	0.061100
144	0.037800
145	0.042200
146	0.042300
147	0.101300
148	0.082200
149	0.000000
150	0.061300
151	0.000000
152	0.059400
153	0.000000
154	0.058800
155	0.000000
156	0.054700
157	0.048900
158	0.105400
159	0.092600
160	0.088800
161	0.052200
162	0.081000
163	0.068900
164	0.077100
165	0.061400
166	0.117000
167	0.048800
168	0.108800
169	0.037400
170	0.089100
171	0.023900
172	0.043600
173	0.046400
174	0.000000
175	0.050700
176	0.000000
177	0.065000
178	0.083000
179	0.048900
180	0.044300
181	0.049500
182	0.080400
183	0.049200
184	0.077100
185	0.053400
186	0.064600
187	0.058900
188	0.048300
189	0.092600
190	0.085900
191	0.057700
192	0.067300
193	0.065300
194	0.072800
195	0.032400
196	0.054100
197	0.026900
198	0.000000
199	0.076000
200	0.058900
201	0.041300
202	0.046300
203	0.078300
204	0.000000
205	0.111400
206	0.049500
207	0.082200
208	0.050500
209	0.047600
210	0.029200
211	0.000000
212	0.054000
213	0.000000
214	0.109100
215	0.063400
216	0.047300
217	0.033900
218	0.037700
219	0.052100
220	0.026300
221	0.081000
222	0.056600
223	0.045900
224	0.000000
225	0.050700
226	0.125100
227	0.000000
228	0.037800
229	0.064500
230	0.039600
231	0.054500
232	0.040600
233	0.117700
234	0.066900
235	0.062500
236	0.081800
237	0.000000
238	0.051800
239	0.045900
240	0.086900
241	0.068700
242	0.091500
243	0.043100
244	0.075300
245	0.075400
246	0.055000
247	0.031600
248	0.030600
