	value
3	0.069300
14	0.064700
15	0.070700
22	0.084200
29	0.122700
31	0.076000
34	0.081100
38	0.123000
39	0.068800
40	0.078200
42	0.084800
44	0.060500
46	0.060400
54	0.072400
57	0.067900
59	0.085000
60	0.060400
62	0.069100
63	0.068500
65	0.072900
70	0.075900
71	0.098500
73	0.070900
76	0.093500
82	0.091100
85	0.549500
88	0.075800
93	0.108100
95	0.081000
97	0.072900
100	0.120500
101	0.061200
104	0.081400
106	0.060300
107	0.090700
109	0.080500
110	0.077100
111	0.082100
112	0.078600
113	0.071000
116	0.129200
125	0.061300
128	0.128500
137	0.177900
141	0.067800
142	0.104800
143	0.061100
147	0.101300
148	0.082200
150	0.061300
158	0.105400
159	0.092600
160	0.088800
162	0.081000
163	0.068900
164	0.077100
165	0.061400
166	0.117000
168	0.108800
170	0.089100
177	0.065000
178	0.083000
182	0.080400
184	0.077100
186	0.064600
189	0.092600
190	0.085900
192	0.067300
193	0.065300
194	0.072800
199	0.076000
203	0.078300
205	0.111400
207	0.082200
214	0.109100
215	0.063400
221	0.081000
226	0.125100
229	0.064500
233	0.117700
234	0.066900
235	0.062500
236	0.081800
240	0.086900
241	0.068700
242	0.091500
244	0.075300
245	0.075400
