h5_shape=20072x28692
h5_barcodes=20072
h5_total_counts=60716589
h5_nnz=18583698
candidate=GSM3860746_P45-1
source_shape_genes_barcodes_nnz=27998x737280x10213900
source_total_counts=19640221
source_gene_count=27998
gene_exact_order_match=False
threshold_gt_0: kept=262185 overlap=7307 h5_only=12765 source_only=254878 total=19640221 nnz=10213900 same_sorted_cell_sums=False
threshold_gt_50: kept=43087 overlap=1186 h5_only=18886 source_only=41901 total=17778191 nnz=8637828 same_sorted_cell_sums=False
threshold_gt_100: kept=20235 overlap=557 h5_only=19515 source_only=19678 total=16213374 nnz=7548655 same_sorted_cell_sums=False
threshold_gt_200: kept=11996 overlap=320 h5_only=19752 source_only=11676 total=15083427 nnz=6864578 same_sorted_cell_sums=False
threshold_gt_250: kept=10462 overlap=277 h5_only=19795 source_only=10185 total=14740295 nnz=6671379 same_sorted_cell_sums=False
threshold_gt_251: kept=10435 overlap=277 h5_only=19795 source_only=10158 total=14733518 nnz=6667171 same_sorted_cell_sums=False
threshold_gt_260: kept=10252 overlap=274 h5_only=19798 source_only=9978 total=14686683 nnz=6642467 same_sorted_cell_sums=False
threshold_gt_270: kept=10039 overlap=271 h5_only=19801 source_only=9768 total=14630124 nnz=6611596 same_sorted_cell_sums=False
threshold_gt_273: kept=9964 overlap=269 h5_only=19803 source_only=9695 total=14609726 nnz=6599981 same_sorted_cell_sums=False
threshold_gt_274: kept=9938 overlap=269 h5_only=19803 source_only=9669 total=14602602 nnz=6595523 same_sorted_cell_sums=False
threshold_gt_275: kept=9919 overlap=267 h5_only=19805 source_only=9652 total=14597377 nnz=6592804 same_sorted_cell_sums=False
threshold_gt_300: kept=9436 overlap=254 h5_only=19818 source_only=9182 total=14458531 nnz=6515747 same_sorted_cell_sums=False
threshold_gt_500: kept=6892 overlap=182 h5_only=19890 source_only=6710 total=13466984 nnz=5957922 same_sorted_cell_sums=False
threshold_gt_1000: kept=4286 overlap=105 h5_only=19967 source_only=4181 total=11621098 nnz=4930529 same_sorted_cell_sums=False
all_source_barcode_overlap_with_h5=20072
candidate=GSM3860747_P45-2
source_shape_genes_barcodes_nnz=27998x737280x11686786
source_total_counts=21625503
source_gene_count=27998
gene_exact_order_match=False
threshold_gt_0: kept=410303 overlap=11365 h5_only=8707 source_only=398938 total=21625503 nnz=11686786 same_sorted_cell_sums=False
threshold_gt_50: kept=55535 overlap=1556 h5_only=18516 source_only=53979 total=20348909 nnz=10520523 same_sorted_cell_sums=False
threshold_gt_100: kept=24503 overlap=675 h5_only=19397 source_only=23828 total=18182923 nnz=8910291 same_sorted_cell_sums=False
threshold_gt_200: kept=13072 overlap=365 h5_only=19707 source_only=12707 total=16627821 nnz=7903228 same_sorted_cell_sums=False
threshold_gt_250: kept=11168 overlap=306 h5_only=19766 source_only=10862 total=16203035 nnz=7649857 same_sorted_cell_sums=False
threshold_gt_251: kept=11130 overlap=306 h5_only=19766 source_only=10824 total=16193497 nnz=7644181 same_sorted_cell_sums=False
threshold_gt_260: kept=10868 overlap=301 h5_only=19771 source_only=10567 total=16126450 nnz=7603567 same_sorted_cell_sums=False
threshold_gt_270: kept=10619 overlap=293 h5_only=19779 source_only=10326 total=16060360 nnz=7564803 same_sorted_cell_sums=False
threshold_gt_273: kept=10539 overlap=291 h5_only=19781 source_only=10248 total=16038597 nnz=7551632 same_sorted_cell_sums=False
threshold_gt_274: kept=10517 overlap=289 h5_only=19783 source_only=10228 total=16032569 nnz=7547941 same_sorted_cell_sums=False
threshold_gt_275: kept=10495 overlap=287 h5_only=19785 source_only=10208 total=16026519 nnz=7544293 same_sorted_cell_sums=False
threshold_gt_300: kept=9929 overlap=276 h5_only=19796 source_only=9653 total=15863421 nnz=7448023 same_sorted_cell_sums=False
threshold_gt_500: kept=7244 overlap=210 h5_only=19862 source_only=7034 total=14822893 nnz=6844567 same_sorted_cell_sums=False
threshold_gt_1000: kept=4564 overlap=123 h5_only=19949 source_only=4441 total=12908946 nnz=5750271 same_sorted_cell_sums=False
all_source_barcode_overlap_with_h5=20072
