	guide
0	NT-I5
1	NT-I3
2	guide1
3	guide2
4	NT-I10
5	guide3
6	NT-I2
7	NT-I1
8	guide4
9	guide5
10	guide6
11	NT-I7
12	guide1
13	guide1
14	NT-I3
15	guide7
16	guide7
17	NT-I10
18	NT-I7
19	guide1
20	guide8
21	NT-I2
22	NT-I5
23	NT-I10
24	guide9
25	guide6
26	guide10
27	NT-I10
28	NT-I7
29	NT-I3
30	guide2
31	NT-I7
32	guide11
33	guide12
34	NT-I2
35	guide5
36	NT-I8
37	NT-I9
38	NT-I8
39	NT-I10
40	guide6
41	guide13
42	guide7
43	NT-I2
44	guide1
45	guide7
46	NT-I9
47	NT-I10
48	NT-I7
49	NT-I7
50	NT-I2
51	NT-I4
52	NT-I2
53	NT-I10
54	NT-I2
55	guide4
56	guide14
57	guide6
58	guide11
59	NT-I2
60	NT-I3
61	guide15
62	guide5
63	NT-I3
64	guide16
65	guide7
66	guide7
67	guide8
68	NT-I10
69	guide7
70	guide17
71	guide1
72	NT-I3
73	guide7
74	guide16
75	guide9
76	NT-I1
77	guide18
78	NT-I1
79	guide15
80	guide5
81	guide2
82	guide13
83	guide14
84	guide11
85	guide14
86	NT-I6
87	guide11
88	guide4
89	guide18
90	guide14
91	guide17
92	guide11
93	guide1
94	guide19
95	guide18
96	guide1
97	NT-I10
98	NT-I3
99	guide20
100	guide6
101	guide2
102	NT-I1
103	NT-I2
104	NT-I5
105	guide21
106	guide17
107	guide22
108	NT-I1
109	guide3
110	guide15
111	NT-I2
112	NT-I4
113	NT-I5
114	guide23
115	guide8
116	guide4
117	NT-I9
118	NT-I10
119	guide13
120	guide23
121	NT-I10
122	guide11
123	guide20
124	NT-I7
125	NT-I2
126	NT-I3
127	NT-I10
128	guide14
129	guide22
130	NT-I10
131	NT-I2
132	NT-I4
133	guide19
134	NT-I10
135	NT-I9
136	guide7
137	guide24
138	guide16
139	NT-I8
140	guide1
141	guide18
142	NT-I4
143	guide11
144	guide5
145	guide7
146	guide11
147	guide7
148	guide3
149	NT-I1
150	guide7
151	guide4
152	guide25
153	NT-I6
154	guide17
155	guide22
156	guide26
157	guide13
158	guide7
159	NT-I8
160	NT-I5
161	NT-I4
162	NT-I7
163	guide10
164	guide1
165	guide11
166	NT-I10
167	guide24
168	guide8
169	guide11
170	guide18
171	NT-I4
172	guide5
173	NT-I3
174	NT-I10
175	NT-I5
176	guide1
177	NT-I6
178	NT-I6
179	NT-I3
180	NT-I10
181	guide1
182	NT-I7
183	NT-I6
184	NT-I1
185	guide13
186	guide4
187	NT-I10
188	guide17
189	guide2
190	guide24
191	guide11
192	guide7
193	guide21
194	guide16
195	guide24
196	guide15
197	guide21
198	guide18
199	guide1
200	guide1
201	NT-I3
202	NT-I6
203	NT-I8
204	NT-I7
205	guide5
206	NT-I5
207	guide15
208	NT-I9
209	guide27
210	guide1
211	guide18
212	NT-I6
213	NT-I3
214	guide18
215	NT-I10
216	guide5
217	guide18
218	NT-I4
219	NT-I6
220	guide24
221	guide5
222	NT-I6
223	guide6
224	NT-I1
225	guide6
226	guide11
227	guide9
228	NT-I7
229	guide5
230	guide8
231	NT-I1
232	NT-I1
233	guide1
234	NT-I8
235	guide1
236	guide7
237	NT-I3
238	NT-I5
239	NT-I7
240	guide7
241	guide11
242	NT-I5
243	guide2
244	guide1
245	NT-I3
246	guide11
247	guide2
248	NT-I7
249	guide6
250	guide11
251	NT-I10
252	guide19
253	guide20
254	guide2
255	guide8
256	NT-I2
257	guide28
258	NT-I10
259	guide14
260	guide1
261	guide5
262	NT-I6
263	guide2
264	guide18
265	guide11
266	guide6
267	guide11
268	NT-I4
269	NT-I6
270	NT-I10
271	guide6
272	NT-I1
273	guide1
274	NT-I3
275	guide2
276	NT-I8
277	guide8
278	guide24
279	NT-I10
280	guide6
281	guide13
282	guide20
283	guide11
284	NT-I7
285	NT-I3
286	guide1
287	guide1
288	NT-I2
289	guide2
290	NT-I8
291	guide13
292	guide7
293	guide6
294	guide12
295	guide18
296	guide3
297	NT-I8
298	NT-I10
299	NT-I6
300	guide8
301	guide5
302	NT-I10
303	guide9
304	guide1
305	guide18
306	guide11
307	guide2
308	NT-I6
309	guide5
310	guide14
311	NT-I7
312	guide24
313	guide7
314	guide6
315	NT-I6
316	NT-I8
317	NT-I9
318	guide3
319	NT-I7
320	NT-I2
321	guide1
322	guide13
323	NT-I10
324	NT-I10
325	NT-I7
