section	key	name	direct_reads	kmer_votes
direct	1	root	54735	2429629
direct	6087	Hydra vulgaris	8793	295936
direct	9606	Homo sapiens	8150	133317
direct	207598	Homininae	4939	98641
direct	9526	Catarrhini	2367	115900
direct	314295	Hominoidea	2271	78299
direct	0	unclassified	1675	366532
direct	131567	cellular organisms	1635	37373
direct	9604	Hominidae	1438	38092
direct	314293	Simiiformes	1285	78624
direct	1437010	Boreoeutheria	1275	63819
direct	9347	Eutheria	808	56455
direct	314146	Euarchontoglires	557	22651
direct	2759	Eukaryota	259	13047
direct	32524	Amniota	242	13937
direct	10376	human gammaherpesvirus 4	224	7716
direct	9443	Primates	193	10859
direct	33213	Bilateria	160	6064
direct	117571	Euteleostomi	152	5481
direct	9527	Cercopithecidae	116	1068
direct	314145	Laurasiatheria	103	985
direct	9528	Cercopithecinae	100	905
direct	100272	uncultured eukaryote	99	775
direct	9595	Gorilla gorilla gorilla	95	621
direct	9599	Pongo	90	533
direct	9483	Callithrix jacchus	85	654
direct	32525	Theria	84	6808
direct	9577	Hylobatidae	76	610
direct	9598	Pan troglodytes	72	585
direct	61853	Nomascus leucogenys	59	363
direct	591936	Piliocolobus tephrosceles	58	416
direct	9596	Pan	56	373
direct	39432	Saimiri boliviensis boliviensis	54	338
direct	9590	Symphalangus syndactylus	53	393
direct	376913	Haplorrhini	53	2407
direct	10181	Heterocephalus glaber	52	381
direct	1868482	Carlito syrichta	50	260
direct	33154	Opisthokonta	48	2717
direct	9555	Papio anubis	48	250
direct	2715852	Cebus imitator	48	241
direct	9479	Platyrrhini	48	425
direct	9569	Colobinae	47	335
direct	10090	Mus musculus	47	433
direct	9565	Theropithecus gelada	46	208
direct	7776	Gnathostomata	45	1707
direct	54180	Trachypithecus francoisi	45	348
direct	9544	Macaca mulatta	45	321
direct	37293	Aotus nancymaae	40	285
direct	1306438	Fargesia denudata	40	361
direct	336983	Colobus angolensis palliatus	39	264
direct	9601	Pongo abelii	39	257
direct	32630	synthetic construct	37	300
direct	32523	Tetrapoda	36	3373
direct	81572	Hylobates moloch	35	247
direct	9498	Cebidae	34	255
direct	9597	Pan paniscus	33	275
direct	60711	Chlorocebus sabaeus	33	214
direct	38070	Cebinae	32	240
direct	6660	Artemia	29	806
direct	9515	Sapajus apella	28	214
direct	40674	Mammalia	28	2655
direct	9470	Nycticebus coucang	27	135
direct	9989	Rodentia	26	245
direct	9531	Cercocebus atys	25	162
direct	30611	Otolemur garnettii	23	157
direct	6072	Eumetazoa	22	6494
direct	9541	Macaca fascicularis	22	180
direct	9823	Sus scrofa	21	159
direct	202946	Apteryx mantelli mantelli	21	151
direct	246437	Tupaia chinensis	20	138
direct	642437	Stathmonotus stahli	19	226
direct	61621	Rhinopithecus bieti	19	115
direct	61622	Rhinopithecus roxellana	19	109
direct	30560	Yangochiroptera	19	131
direct	9796	Equus caballus	18	144
direct	9600	Pongo pygmaeus	18	112
direct	10116	Rattus norvegicus	17	121
direct	9361	Dasypus novemcinctus	17	116
direct	9539	Macaca	17	135
direct	214514	Perognathus longimembris pacificus	17	77
direct	337687	Muroidea	17	128
direct	6661	Artemia franciscana	16	196
direct	703264	Hippodamia variegata	16	595
direct	9657	Lutra lutra	16	50
direct	542827	Rhinopithecus	15	108
direct	9545	Macaca nemestrina	15	85
direct	29382	Staphylococcus cohnii	15	64
direct	575201	Hippopotamus amphibius kiboko	15	64
direct	27675	Choloepus didactylus	14	93
direct	257877	Macaca thibetana thibetana	14	83
direct	30608	Microcebus murinus	14	133
direct	51338	Castor canadensis	14	94
direct	10141	Cavia porcellus	13	76
direct	1884717	Pteronotus mesoamericanus	13	82
direct	9447	Lemur catta	13	88
direct	6083	Hydra	13	1041
direct	9789	Equus	13	130
direct	9646	Ailuropoda melanoleuca	13	62
direct	9568	Mandrillus leucophaeus	13	80
direct	39107	Murinae	12	70
direct	7888	Protopterus annectens	12	79
direct	30538	Vicugna pacos	12	66
direct	30640	Sciurus carolinensis	12	95
direct	1026970	Nannospalax galili	12	80
direct	379532	Propithecus coquereli	11	73
direct	91561	Artiodactyla	11	105
direct	9983	Lepus europaeus	11	47
direct	9430	Desmodus rotundus	11	68
direct	10029	Cricetulus griseus	11	75
direct	9979	Leporidae	10	71
direct	291302	Miniopterus natalensis	10	63
direct	51337	Jaculus jaculus	10	71
direct	9803	Rhinocerotidae	10	76
direct	337730	Marmotini	10	100
direct	379584	Caniformia	10	65
direct	127582	Trichechus manatus latirostris	10	73
