gene_id	log2_fold_change	p_value	fdr
YML123C	-1.92578374317473	3.0469210719009303e-14	7.6965226276217505e-11
snR54	-1.40394758362271	7.4308018896657005e-11	9.3851027866477796e-08
YPL019C	-1.39264343423815	3.0423346342465202e-09	2.5616457620355702e-06
YDL229W	-0.93439158812361101	1.29628684664836e-07	8.1860514365843937e-05
YLR249W	-0.51203754679464397	2.6480921273688701e-07	0.00013378161427467531
YJL012C	-1.3389332087286501	1.59152994513736e-06	0.00067003410690282851
YER164W	-7.1437140763311504	8.1525243766617798e-06	0.0029418966536353792
YGL009C	-0.84918931028372802	1.7745745786596301e-05	0.005603219232117782
YBL098W	1.9861903595692001	2.36754670429851e-05	0.0066449144167311514
YOR375C	-1.2884047562263199	2.80244565992097e-05	0.0070789777369603705
YJR009C	-0.60924454961693497	4.3859045337243103e-05	0.010071631683806917
YJR148W	1.64642454947447	0.000128511064822009	0.027051579145032895
YBR093C	-2.1250350878286102	0.00015129032076842099	0.029396873097002417
YKL081W	-0.55571000194612596	0.0011593131472537399	0.20917321499735336
YGR155W	-0.60067958666949595	0.0029862247561484099	0.48899389434226537
YNL134C	-0.95014831488312101	0.0031280679991237698	0.48899389434226537
YHR179W	-0.86103886005316299	0.0032909327806090699	0.48899389434226537
YGL055W	0.73264888351693702	0.0041488274927485398	0.58221879148237843
YDR481C	-1.1022083059058501	0.0057744210671416898	0.75401594224574198
YJL034W	-0.61696832496410103	0.0059700391310034996	0.75401594224574198
YDR492W	-0.094003073137133394	0.89477652849966505	0.99861132243504902
YDR508C	-0.106266182454319	0.77812703239257697	0.99861132243504902
YDR186C	0.093988003511906601	0.90775327550570695	0.99861132243504902
YDR150W	0.28496476884580801	0.51391002689573195	0.99861132243504902
YDL182W	-0.33818563852093902	0.36112784638101703	0.99861132243504902
YDR232W	0.26089723199949	0.66182689362105096	0.99861132243504902
YDR158W	-0.123852750516179	0.61759189581412499	0.99861132243504902
YDR533C	0.32251463873523201	0.68962568677500202	0.99861132243504902
YDR272W	-0.204338398734698	0.74280272069064901	0.99861132243504902
YDR299W	-0.21412531904108101	0.62696907234006105	0.99861132243504902
YDL015C	0.20819651039456299	0.67357534282533904	0.99861132243504902
YDR304C	0.67390511173241496	0.112488527875255	0.99861132243504902
YDR367W	0.083840042582899094	0.88865311972406003	0.99861132243504902
YDL097C	-0.0804187929383854	0.82473231432449801	0.99861132243504902
YDR105C	0.093593417916536595	0.88331468972667204	0.99861132243504902
YDR483W	-0.104914282084707	0.68930764041057002	0.99861132243504902
YDR505C	-0.31729100413446298	0.69489580350565705	0.99861132243504902
YDR361C	0.399652385844737	0.48920078395104299	0.99861132243504902
YDR266C	-0.081072958000041204	0.88407013395933298	0.99861132243504902
YDR002W	0.14988418489335001	0.61067518514480101	0.99861132243504902
YDR214W	0.243798383109782	0.701904318215544	0.99861132243504902
YDL176W	0.63486331186342804	0.46688339048766198	0.99861132243504902
YDR460W	1.97385617773265	0.0440307721874112	0.99861132243504902
YDR060W	0.17799033141173201	0.55011562617612397	0.99861132243504902
YDR422C	-0.55578350146994504	0.46263827241349798	0.99861132243504902
YDR119W	0.183126120224851	0.65996480128562895	0.99861132243504902
YDR097C	-0.0293503256359544	0.96092974401695896	0.99861132243504902
YDL160C	-0.37093408603949402	0.57103138611089599	0.99861132243504902
snR13	-0.14164867389558	0.83817560008030401	0.99861132243504902
YDR228C	0.095571671219082596	0.90485269131623602	0.99861132243504902
YDR471W	-0.13008133640136901	0.69233815930840703	0.99861132243504902
YDR089W	0.385348227587681	0.58109467065687004	0.99861132243504902
YDR275W	0.089730920152474206	0.91748833492286697	0.99861132243504902
YDR129C	-0.115079239921374	0.669807662647807	0.99861132243504902
YDL066W	-0.38591864658642899	0.29986830249214302	0.99861132243504902
YDL125C	0.82089216128102904	0.34455554367920899	0.99861132243504902
YDR101C	-0.12562558401809401	0.723302151445535	0.99861132243504902
YDR212W	-0.429435681817258	0.21210694400505301	0.99861132243504902
YDL131W	0.37092440547501299	0.46586957699630299	0.99861132243504902
YDR458C	0.31897261867125698	0.64934247411953805	0.99861132243504902
YDR168W	0.14562040042517399	0.76829736241762703	0.99861132243504902
YDL006W	1.10206845802197	0.21851140821701301	0.99861132243504902
YDL086W	-0.68557739957670005	0.440512086746562	0.99861132243504902
YDR238C	-0.134732097554352	0.66547431521122702	0.99861132243504902
YDR077W	0.022239498590600901	0.94654664384754295	0.99861132243504902
YDL083C	-0.378055621029523	0.129309371349349	0.99861132243504902
YDR487C	-0.109584404086363	0.78993901483219797	0.99861132243504902
YDR427W	0.144833823354861	0.77582409596218105	0.99861132243504902
