# BUSCO version is: 5.8.0 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2024-01-08, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
39650at2759	Complete	NP_014137.1	1941.7	1403	https://v10-1.orthodb.org/?query=39650at2759	DNA polymerase epsilon catalytic subunit
83779at2759	Complete	NP_013613.1	195.2	223	https://v10-1.orthodb.org/?query=83779at2759	Asparagine synthase
87842at2759	Complete	NP_013249.1	344.4	598	https://v10-1.orthodb.org/?query=87842at2759	Pep3/Vps18/deep orange
97116at2759	Complete	NP_013663.1	587.7	871	https://v10-1.orthodb.org/?query=97116at2759	WD40/YVTN repeat-like-containing domain superfamily
100698at2759	Complete	NP_012123.1	831.8	498	https://v10-1.orthodb.org/?query=100698at2759	Helicase, C-terminal
142542at2759	Complete	NP_009971.1	499.8	629	https://v10-1.orthodb.org/?query=142542at2759	Transcription initiation factor TFIID subunit 2
156083at2759	Complete	NP_012035.1	3217.4	1938	https://v10-1.orthodb.org/?query=156083at2759	Pre-mRNA-processing-splicing factor 8
160593at2759	Complete	NP_011320.3	1342.1	1301	https://v10-1.orthodb.org/?query=160593at2759	Translational activator Gcn1
166920at2759	Complete	NP_013374.1	561.6	735	https://v10-1.orthodb.org/?query=166920at2759	Condensin complex subunit 1
176625at2759	Complete	NP_011604.3	245.9	373	https://v10-1.orthodb.org/?query=176625at2759	Nrap protein, domain 3
179362at2759	Complete	NP_014149.1	695.2	938	https://v10-1.orthodb.org/?query=179362at2759	Rad50/SbcC-type AAA domain
245208at2759	Complete	NP_014015.1	1187.1	847	https://v10-1.orthodb.org/?query=245208at2759	Splicing factor 3B subunit 1
257318at2759	Complete	NP_012175.1	292.9	296	https://v10-1.orthodb.org/?query=257318at2759	digestive organ expansion factor homolog
261328at2759	Missing
261419at2759	Missing
270107at2759	Complete	NP_012756.1	539.5	602	https://v10-1.orthodb.org/?query=270107at2759	GPI ethanolamine phosphate transferase 1
271586at2759	Complete	NP_011561.3	225.5	392	https://v10-1.orthodb.org/?query=271586at2759	Tetratricopeptide repeat
290630at2759	Complete	NP_009984.1	695.5	461	https://v10-1.orthodb.org/?query=290630at2759	WD40 repeat
293315at2759	Complete	NP_014297.3	556.5	597	https://v10-1.orthodb.org/?query=293315at2759	DNA polymerase
296129at2759	Complete	NP_014267.1	1050.2	707	https://v10-1.orthodb.org/?query=296129at2759	RNA cytidine acetyltransferase
299766at2759	Complete	NP_014991.1	370.5	438	https://v10-1.orthodb.org/?query=299766at2759	DNA polymerase, Y-family, little finger domain
306227at2759	Complete	NP_013490.3	433.2	479	https://v10-1.orthodb.org/?query=306227at2759	Vacuole morphology and inheritance protein 14
320059at2759	Complete	NP_015239.1	866.5	452	https://v10-1.orthodb.org/?query=320059at2759	Radical SAM
324863at2759	Complete	NP_015303.1	522.7	521	https://v10-1.orthodb.org/?query=324863at2759	RuvA domain 2-like
325552at2759	Complete	NP_013810.1	330.6	368	https://v10-1.orthodb.org/?query=325552at2759	WD40 repeat
330169at2759	Complete	NP_014427.1	247.5	297	https://v10-1.orthodb.org/?query=330169at2759	Mannosyltransferase
331411at2759	Complete	NP_013777.1	264.5	396	https://v10-1.orthodb.org/?query=331411at2759	Tetratricopeptide-like helical domain superfamily
341721at2759	Complete	NP_013102.1	250.7	381	https://v10-1.orthodb.org/?query=341721at2759	Nucleolar complex-associated protein 3
345441at2759	Complete	NP_010856.1	417.2	380	https://v10-1.orthodb.org/?query=345441at2759	Phosphoacetylglucosamine mutase
355408at2759	Complete	NP_013218.1	536.4	540	https://v10-1.orthodb.org/?query=355408at2759	Tetratricopeptide repeat-containing domain
369837at2759	Complete	NP_010497.3	300.7	388	https://v10-1.orthodb.org/?query=369837at2759	Translation initiation factor eIF-2B subunit epsilon
375960at2759	Complete	NP_015501.2	243.1	339	https://v10-1.orthodb.org/?query=375960at2759	DNA polymerase epsilon subunit
383503at2759	Complete	NP_010254.1	196.4	346	https://v10-1.orthodb.org/?query=383503at2759	Splicing factor 3A subunit 3
388820at2759	Complete	NP_013513.3	525.0	590	https://v10-1.orthodb.org/?query=388820at2759	WD40 repeat
390348at2759	Complete	NP_013914.1	1098.6	736	https://v10-1.orthodb.org/?query=390348at2759	Pyridoxal phosphate-dependent transferase
392369at2759	Complete	NP_013944.1	424.2	345	https://v10-1.orthodb.org/?query=392369at2759	GMP synthase, C-terminal
396755at2759	Complete	NP_014496.2	312.7	617	https://v10-1.orthodb.org/?query=396755at2759	Tetratricopeptide repeat
418107at2759	Complete	NP_013090.1	447.5	340	https://v10-1.orthodb.org/?query=418107at2759	WD40-repeat-containing domain
426305at2759	Complete	NP_011761.3	428.1	476	https://v10-1.orthodb.org/?query=426305at2759	Sda1
450058at2759	Complete	NP_010421.1	98.7	262	https://v10-1.orthodb.org/?query=450058at2759	Reduced growth phenotype protein 1
453044at2759	Complete	NP_011727.3	358.6	293	https://v10-1.orthodb.org/?query=453044at2759	Zinc finger, ZPR1-type
457861at2759	Complete	NP_015176.1	39.1	117	https://v10-1.orthodb.org/?query=457861at2759	Autophagy protein 5
464990at2759	Complete	NP_011568.3	277.7	354	https://v10-1.orthodb.org/?query=464990at2759	Eukaryotic translation initiation factor 2A
491869at2759	Missing
513979at2759	Complete	NP_009518.1	139.6	227	https://v10-1.orthodb.org/?query=513979at2759	DNA polymerase alpha subunit B
543764at2759	Complete	NP_014337.3	156.8	238	https://v10-1.orthodb.org/?query=543764at2759	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6
549762at2759	Complete	NP_012041.1	482.4	383	https://v10-1.orthodb.org/?query=549762at2759	Ubiquitin-like modifier-activating enzyme Atg7
551907at2759	Complete	NP_010345.3	282.4	353	https://v10-1.orthodb.org/?query=551907at2759	CCAAT-binding factor
570797at2759	Complete	NP_013228.1	317.8	503	https://v10-1.orthodb.org/?query=570797at2759	Winged helix-like DNA-binding domain superfamily
582756at2759	Complete	NP_009533.1	234.9	351	https://v10-1.orthodb.org/?query=582756at2759	RFT1
598949at2759	Complete	NP_015129.1	251.0	390	https://v10-1.orthodb.org/?query=598949at2759	AP-3 complex subunit delta
604979at2759	Complete	NP_014082.1	351.1	286	https://v10-1.orthodb.org/?query=604979at2759	WD40-repeat-containing domain
621827at2759	Complete	NP_013811.1	254.2	348	https://v10-1.orthodb.org/?query=621827at2759	WD40-repeat-containing domain
625387at2759	Complete	NP_010393.3	133.6	337	https://v10-1.orthodb.org/?query=625387at2759	TRAPP III complex, Trs85
655400at2759	Complete	NP_011771.1	234.8	260	https://v10-1.orthodb.org/?query=655400at2759	Ubiquinone biosynthesis monooxygenase COQ6
664730at2759	Complete	NP_009912.2	607.8	349	https://v10-1.orthodb.org/?query=664730at2759	Pyridoxal phosphate-dependent transferase
671536at2759	Complete	NP_011639.3	405.0	366	https://v10-1.orthodb.org/?query=671536at2759	Tetratricopeptide repeat
671846at2759	Complete	NP_010167.1	130.0	357	https://v10-1.orthodb.org/?query=671846at2759	Nuclear pore protein 84/107
673132at2759	Complete	NP_010302.1	272.5	275	https://v10-1.orthodb.org/?query=673132at2759	Aminomethyltransferase
674160at2759	Complete	NP_009551.2	636.1	973	https://v10-1.orthodb.org/?query=674160at2759	Armadillo-type fold
674169at2759	Complete	NP_011100.1	136.8	245	https://v10-1.orthodb.org/?query=674169at2759	P-loop containing nucleoside triphosphate hydrolase
679187at2759	Missing
679771at2759	Missing
687505at2759	Complete	NP_013941.2	140.5	215	https://v10-1.orthodb.org/?query=687505at2759	DnaJ domain
692986at2759	Complete	NP_011084.1	192.0	348	https://v10-1.orthodb.org/?query=692986at2759	Conserved oligomeric Golgi complex, subunit 3
708105at2759	Complete	NP_015324.1	157.2	181	https://v10-1.orthodb.org/?query=708105at2759	Histone acetyltransferase type B catalytic subunit
719531at2759	Complete	NP_015150.2	364.1	283	https://v10-1.orthodb.org/?query=719531at2759	PIGA, GPI anchor biosynthesis
720340at2759	Complete	NP_013522.1	156.3	212	https://v10-1.orthodb.org/?query=720340at2759	Cell division control protein 73, C-terminal
721605at2759	Missing
722805at2759	Complete	NP_010365.3	203.1	384	https://v10-1.orthodb.org/?query=722805at2759	WD40/YVTN repeat-like-containing domain superfamily
734341at2759	Complete	NP_012355.1	77.7	154	https://v10-1.orthodb.org/?query=734341at2759	ATP12, ATP synthase F1-assembly protein
734666at2759	Complete	NP_012040.1	489.8	371	https://v10-1.orthodb.org/?query=734666at2759	60S ribosomal export protein NMD3
736068at2759	Complete	NP_012539.1	255.7	317	https://v10-1.orthodb.org/?query=736068at2759	DNA polymerase alpha/delta/epsilon, subunit B
751335at2759	Complete	NP_015361.1	162.4	294	https://v10-1.orthodb.org/?query=751335at2759	ATPase, V1 complex, subunit H
759498at2759	Complete	NP_013764.1	541.3	424	https://v10-1.orthodb.org/?query=759498at2759	WD40-repeat-containing domain
761109at2759	Complete	NP_012036.1	371.0	364	https://v10-1.orthodb.org/?query=761109at2759	Tetratricopeptide repeat
768809at2759	Complete	NP_013105.1	253.7	232	https://v10-1.orthodb.org/?query=768809at2759	Zinc finger C2H2-type
774318at2759	Complete	NP_009471.1	273.9	270	https://v10-1.orthodb.org/?query=774318at2759	Dol-P-Man
777920at2759	Complete	NP_011617.1	408.2	340	https://v10-1.orthodb.org/?query=777920at2759	Pescadillo
779909at2759	Complete	NP_014392.3	258.0	227	https://v10-1.orthodb.org/?query=779909at2759	WD40 repeat
801857at2759	Complete	NP_014412.1	205.3	197	https://v10-1.orthodb.org/?query=801857at2759	tRNA-dihydrouridine synthase
814241at2759	Complete	NP_014893.1	209.3	319	https://v10-1.orthodb.org/?query=814241at2759	Clp1, N-terminal beta-sandwich domain
817008at2759	Complete	NP_014544.1	468.8	298	https://v10-1.orthodb.org/?query=817008at2759	Aminoacyl-tRNA synthetase, class Ic
834694at2759	Complete	NP_013951.1	394.7	329	https://v10-1.orthodb.org/?query=834694at2759	Mre11, DNA-binding
836599at2759	Complete	NP_010938.1	333.6	305	https://v10-1.orthodb.org/?query=836599at2759	26S proteasome non-ATPase regulatory subunit 3
844748at2759	Complete	NP_014372.1	207.5	315	https://v10-1.orthodb.org/?query=844748at2759	Bacterial surface antigen (D15)
855834at2759	Complete	NP_012797.1	157.7	306	https://v10-1.orthodb.org/?query=855834at2759	RNA polymerase I specific transcription initiation factor RRN3
858842at2759	Complete	NP_014172.1	214.0	232	https://v10-1.orthodb.org/?query=858842at2759	DnaJ domain
865202at2759	Complete	NP_012951.1	190.6	179	https://v10-1.orthodb.org/?query=865202at2759	Initiation factor 2B-related
866359at2759	Complete	NP_013866.1	335.4	262	https://v10-1.orthodb.org/?query=866359at2759	Eukaryotic translation initiation factor 3 subunit I
869548at2759	Complete	NP_015323.1	174.2	187	https://v10-1.orthodb.org/?query=869548at2759	Winged helix-like DNA-binding domain superfamily
878143at2759	Complete	NP_012651.1	343.0	328	https://v10-1.orthodb.org/?query=878143at2759	CAAX prenyl protease 1
887370at2759	Complete	NP_012058.1	292.4	297	https://v10-1.orthodb.org/?query=887370at2759	GPI transamidase component PIG-T
891751at2759	Complete	NP_015470.1	241.7	222	https://v10-1.orthodb.org/?query=891751at2759	CCAAT-binding factor
898782at2759	Complete	NP_009473.2	245.9	302	https://v10-1.orthodb.org/?query=898782at2759	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit
901894at2759	Complete	NP_011373.1	226.0	310	https://v10-1.orthodb.org/?query=901894at2759	Mannosyltransferase
905026at2759	Complete	NP_012903.1	314.8	398	https://v10-1.orthodb.org/?query=905026at2759	Tetratricopeptide repeat
911863at2759	Complete	NP_011942.1	170.3	189	https://v10-1.orthodb.org/?query=911863at2759	Protein phosphatase methylesterase 1
917326at2759	Complete	NP_010475.1	374.8	428	https://v10-1.orthodb.org/?query=917326at2759	Sec1-like protein
918816at2759	Complete	NP_011516.1	104.5	213	https://v10-1.orthodb.org/?query=918816at2759	DNA methyltransferase 1-associated 1
919955at2759	Complete	NP_010715.3	228.9	243	https://v10-1.orthodb.org/?query=919955at2759	26S Proteasome non-ATPase regulatory subunit 13
923657at2759	Complete	NP_011627.1	144.9	165	https://v10-1.orthodb.org/?query=923657at2759	Surfeit locus 1/Shy1
924753at2759	Complete	NP_014517.1	196.8	234	https://v10-1.orthodb.org/?query=924753at2759	tRNA guanosine-2'-O-methyltransferase, TRM11
931188at2759	Complete	NP_116660.1	311.5	347	https://v10-1.orthodb.org/?query=931188at2759	Zinc finger, RING/FYVE/PHD-type
937275at2759	Complete	NP_010449.1	61.3	88	https://v10-1.orthodb.org/?query=937275at2759	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit
937686at2759	Complete	NP_010134.1	373.7	339	https://v10-1.orthodb.org/?query=937686at2759	Winged helix-like DNA-binding domain superfamily
939345at2759	Complete	NP_010288.1	79.6	101	https://v10-1.orthodb.org/?query=939345at2759	Repressor of RNA polymerase III transcription MAF1
944899at2759	Complete	NP_009872.1	364.2	231	https://v10-1.orthodb.org/?query=944899at2759	KRR1 small subunit processome component
946128at2759	Complete	NP_010597.3	288.9	447	https://v10-1.orthodb.org/?query=946128at2759	TFIIH p62 subunit, N-terminal
956854at2759	Missing
973442at2759	Complete	NP_015224.1	87.8	170	https://v10-1.orthodb.org/?query=973442at2759	Elongator complex protein 4
974865at2759	Complete	NP_013007.1	214.7	228	https://v10-1.orthodb.org/?query=974865at2759	Brix domain
975158at2759	Complete	NP_010914.3	146.7	228	https://v10-1.orthodb.org/?query=975158at2759	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48kDa subunit
975557at2759	Complete	NP_013940.1	376.2	427	https://v10-1.orthodb.org/?query=975557at2759	cell division cycle 5-like protein
976469at2759	Missing
981902at2759	Complete	NP_013521.3	101.7	215	https://v10-1.orthodb.org/?query=981902at2759	Winged helix-like DNA-binding domain superfamily
996662at2759	Complete	NP_010566.1	200.6	195	https://v10-1.orthodb.org/?query=996662at2759	Exoribonuclease, phosphorolytic domain 1
1001705at2759	Complete	NP_009403.1	186.7	262	https://v10-1.orthodb.org/?query=1001705at2759	WD40 repeat
1003258at2759	Complete	NP_012547.2	272.9	285	https://v10-1.orthodb.org/?query=1003258at2759	GPI mannosyltransferase 1
1010730at2759	Complete	NP_014192.1	378.5	275	https://v10-1.orthodb.org/?query=1010730at2759	Winged helix-like DNA-binding domain superfamily
1014314at2759	Complete	NP_014146.1	109.3	185	https://v10-1.orthodb.org/?query=1014314at2759	WD40-repeat-containing domain
1018517at2759	Complete	NP_013273.1	299.3	205	https://v10-1.orthodb.org/?query=1018517at2759	Tetrapyrrole methylase
1019762at2759	Complete	NP_015081.1	113.0	379	https://v10-1.orthodb.org/?query=1019762at2759	Signal recognition particle subunit SRP68
1025450at2759	Complete	NP_012277.1	175.0	303	https://v10-1.orthodb.org/?query=1025450at2759	WD40 repeat
1030907at2759	Complete	NP_014807.3	246.9	275	https://v10-1.orthodb.org/?query=1030907at2759	Golgi to ER traffic protein 4
1032689at2759	Complete	NP_012410.1	177.6	157	https://v10-1.orthodb.org/?query=1032689at2759	tRNA (1-methyladenosine) methyltransferase catalytic subunit Gcd14
1038775at2759	Missing
1041560at2759	Complete	NP_012242.1	197.5	252	https://v10-1.orthodb.org/?query=1041560at2759	Mitochondrial import inner membrane translocase subunit TIM44
1049599at2759	Missing
1051021at2759	Complete	NP_014350.1	289.7	283	https://v10-1.orthodb.org/?query=1051021at2759	ALG11 mannosyltransferase
1053181at2759	Missing
1057950at2759	Complete	NP_012541.1	220.9	228	https://v10-1.orthodb.org/?query=1057950at2759	MEMO1 family
1065019at2759	Complete	NP_014441.1	306.4	252	https://v10-1.orthodb.org/?query=1065019at2759	Diphosphomevalonate decarboxylase
1076134at2759	Complete	NP_012230.3	204.9	185	https://v10-1.orthodb.org/?query=1076134at2759	F-actin-capping protein subunit alpha/beta
1079130at2759	Complete	NP_009802.3	307.8	246	https://v10-1.orthodb.org/?query=1079130at2759	Glycosyl transferase, family 4
1079827at2759	Complete	NP_011052.1	338.1	224	https://v10-1.orthodb.org/?query=1079827at2759	Ribosomal biogenesis NSA2 family
1085752at2759	Complete	NP_015205.1	161.5	223	https://v10-1.orthodb.org/?query=1085752at2759	Atg6/Beclin
1087488at2759	Complete	NP_012169.1	152.1	245	https://v10-1.orthodb.org/?query=1087488at2759	CTLH, C-terminal LisH motif
1090038at2759	Complete	NP_012489.2	128.2	131	https://v10-1.orthodb.org/?query=1090038at2759	Lipoyltransferase/lipoate-protein ligase
1094121at2759	Complete	NP_012636.1	101.6	127	https://v10-1.orthodb.org/?query=1094121at2759	ESCRT-II complex, Vps25 subunit
1096688at2759	Complete	NP_012606.3	334.4	212	https://v10-1.orthodb.org/?query=1096688at2759	GPN-loop GTPase
1106766at2759	Complete	NP_009729.1	161.6	214	https://v10-1.orthodb.org/?query=1106766at2759	Nuclear pore localisation protein NPL4, C-terminal
1107630at2759	Complete	NP_015097.1	257.8	209	https://v10-1.orthodb.org/?query=1107630at2759	Dolichyl-phosphate beta-glucosyltransferase
1108845at2759	Missing
1111142at2759	Complete	NP_009681.3	142.5	282	https://v10-1.orthodb.org/?query=1111142at2759	Transcription factor IIIC subunit 5, HTH domain
1112002at2759	Complete	NP_013323.1	397.8	521	https://v10-1.orthodb.org/?query=1112002at2759	WD40 repeat
1115196at2759	Complete	NP_015372.2	358.1	279	https://v10-1.orthodb.org/?query=1115196at2759	Ferrodoxin-fold anticodon-binding domain
1128607at2759	Complete	NP_015329.1	293.6	209	https://v10-1.orthodb.org/?query=1128607at2759	Electron transfer flavoprotein, alpha subunit, C-terminal
1129824at2759	Complete	NP_011497.1	88.9	134	https://v10-1.orthodb.org/?query=1129824at2759	Co-chaperone Hsc20
1138059at2759	Complete	NP_009976.1	283.8	208	https://v10-1.orthodb.org/?query=1138059at2759	Methyltransferase type 11
1157302at2759	Complete	NP_015341.1	367.4	204	https://v10-1.orthodb.org/?query=1157302at2759	Eukaryotic translation initiation factor 6
1161199at2759	Complete	NP_012189.2	32.7	133	https://v10-1.orthodb.org/?query=1161199at2759	Coatomer subunit epsilon
1173229at2759	Complete	NP_015495.2	64.0	169	https://v10-1.orthodb.org/?query=1173229at2759	WD40 repeat
1178688at2759	Complete	NP_010584.1	97.2	141	https://v10-1.orthodb.org/?query=1178688at2759	ATPase, OSCP/delta subunit
1182451at2759	Complete	NP_014624.1	123.5	146	https://v10-1.orthodb.org/?query=1182451at2759	SNARE
1193442at2759	Complete	NP_009806.3	288.4	258	https://v10-1.orthodb.org/?query=1193442at2759	Bystin
1194691at2759	Complete	NP_015433.1	299.3	289	https://v10-1.orthodb.org/?query=1194691at2759	26S Proteasome non-ATPase regulatory subunit 6
1194797at2759	Complete	NP_015006.3	305.8	444	https://v10-1.orthodb.org/?query=1194797at2759	Eukaryotic translation initiation factor 3 subunit B
1197019at2759	Complete	NP_012504.3	150.5	148	https://v10-1.orthodb.org/?query=1197019at2759	HORMA domain
