gene	parsimony_informative_sites	total_sites	percentage	kingdom
1260807at2759	0	466	0.000000	Animals
1454155at2759	0	314	0.000000	Animals
1065019at2759	0	411	0.000000	Animals
1593937at2759	0	0	0.000000	Animals
160593at2759	0	2731	0.000000	Animals
1287094at2759	0	208	0.000000	Animals
1504863at2759	6	228	2.631579	Animals
1041560at2759	0	457	0.000000	Animals
369837at2759	0	756	0.000000	Animals
290630at2759	0	940	0.000000	Animals
1430056at2759	0	0	0.000000	Animals
1161199at2759	0	309	0.000000	Animals
891751at2759	0	572	0.000000	Animals
865202at2759	0	305	0.000000	Animals
1626636at2759	0	219	0.000000	Animals
1248958at2759	0	986	0.000000	Animals
1107630at2759	0	0	0.000000	Animals
855834at2759	0	700	0.000000	Animals
768809at2759	0	0	0.000000	Animals
142542at2759	0	0	0.000000	Animals
1314980at2759	0	0	0.000000	Animals
1111142at2759	0	531	0.000000	Animals
1079130at2759	0	417	0.000000	Animals
1563319at2759	0	0	0.000000	Animals
736068at2759	0	0	0.000000	Animals
1355894at2759	0	178	0.000000	Animals
166920at2759	0	0	0.000000	Animals
878143at2759	0	0	0.000000	Animals
1434266at2759	0	230	0.000000	Animals
1490022at2759	0	0	0.000000	Animals
296129at2759	0	1058	0.000000	Animals
1405073at2759	2	180	1.111111	Animals
944899at2759	0	398	0.000000	Animals
1382842at2759	0	187	0.000000	Animals
543764at2759	0	514	0.000000	Animals
621827at2759	0	570	0.000000	Animals
1049599at2759	0	506	0.000000	Animals
1223488at2759	0	0	0.000000	Animals
1405146at2759	0	225	0.000000	Animals
976469at2759	0	386	0.000000	Animals
844748at2759	0	482	0.000000	Animals
777920at2759	0	598	0.000000	Animals
981902at2759	0	391	0.000000	Animals
1001705at2759	0	0	0.000000	Animals
1432328at2759	0	323	0.000000	Animals
1236198at2759	0	0	0.000000	Animals
513979at2759	0	0	0.000000	Animals
905026at2759	0	706	0.000000	Animals
1645187at2759	0	134	0.000000	Animals
1440961at2759	0	0	0.000000	Animals
1112002at2759	0	864	0.000000	Animals
1194797at2759	0	853	0.000000	Animals
834694at2759	0	0	0.000000	Animals
1157302at2759	0	246	0.000000	Animals
306227at2759	0	799	0.000000	Animals
1128607at2759	0	337	0.000000	Animals
156083at2759	5	2341	0.213584	Animals
1258856at2759	0	892	0.000000	Animals
1338131at2759	0	200	0.000000	Animals
1194691at2759	0	412	0.000000	Animals
1129824at2759	0	269	0.000000	Animals
1287401at2759	0	279	0.000000	Animals
331411at2759	0	748	0.000000	Animals
1370304at2759	0	0	0.000000	Animals
1032689at2759	0	0	0.000000	Animals
1459797at2759	0	135	0.000000	Animals
761109at2759	0	678	0.000000	Animals
1269649at2759	11	291	3.780069	Animals
1051021at2759	0	503	0.000000	Animals
692986at2759	0	0	0.000000	Animals
1428854at2759	28	1021	2.742409	Animals
293315at2759	0	0	0.000000	Animals
1530008at2759	0	0	0.000000	Animals
1138059at2759	0	285	0.000000	Animals
1249159at2759	5	205	2.439024	Animals
1247641at2759	0	0	0.000000	Animals
257318at2759	0	0	0.000000	Animals
1488235at2759	0	182	0.000000	Animals
1094121at2759	0	183	0.000000	Animals
1567796at2759	0	199	0.000000	Animals
1003258at2759	0	441	0.000000	Animals
418107at2759	0	451	0.000000	Animals
1525971at2759	2	153	1.307190	Animals
604979at2759	0	0	0.000000	Animals
1076134at2759	0	0	0.000000	Animals
817008at2759	0	0	0.000000	Animals
814241at2759	0	435	0.000000	Animals
1018517at2759	8	293	2.730375	Animals
176625at2759	0	1183	0.000000	Animals
836599at2759	0	545	0.000000	Animals
396755at2759	0	1216	0.000000	Animals
1259741at2759	0	393	0.000000	Animals
551907at2759	0	1081	0.000000	Animals
1426075at2759	0	0	0.000000	Animals
325552at2759	0	0	0.000000	Animals
1025450at2759	0	0	0.000000	Animals
1379600at2759	0	872	0.000000	Animals
937275at2759	0	0	0.000000	Animals
1421503at2759	0	161	0.000000	Animals
1038775at2759	0	383	0.000000	Animals
1257440at2759	0	185	0.000000	Animals
1200489at2759	0	210	0.000000	Animals
919955at2759	0	389	0.000000	Animals
1428265at2759	0	0	0.000000	Animals
1087488at2759	0	0	0.000000	Animals
1266231at2759	0	236	0.000000	Animals
1222562at2759	0	315	0.000000	Animals
1324510at2759	0	0	0.000000	Animals
1014314at2759	8	357	2.240896	Animals
708105at2759	0	426	0.000000	Animals
734341at2759	0	0	0.000000	Animals
330169at2759	0	504	0.000000	Animals
973442at2759	0	425	0.000000	Animals
383503at2759	0	503	0.000000	Animals
450058at2759	0	0	0.000000	Animals
869548at2759	0	269	0.000000	Animals
1108845at2759	0	0	0.000000	Animals
946128at2759	0	0	0.000000	Animals
751335at2759	0	0	0.000000	Animals
39650at2759	0	2306	0.000000	Animals
687505at2759	0	363	0.000000	Animals
1182451at2759	0	0	0.000000	Animals
1575179at2759	0	110	0.000000	Animals
1193442at2759	12	460	2.608696	Animals
911863at2759	0	425	0.000000	Animals
924753at2759	0	465	0.000000	Animals
375960at2759	0	542	0.000000	Animals
1545004at2759	0	98	0.000000	Animals
1085752at2759	0	457	0.000000	Animals
996662at2759	12	453	2.649007	Animals
1377237at2759	0	0	0.000000	Animals
390348at2759	0	1030	0.000000	Animals
491869at2759	0	473	0.000000	Animals
931188at2759	0	629	0.000000	Animals
1552706at2759	0	145	0.000000	Animals
1526152at2759	0	189	0.000000	Animals
320059at2759	0	553	0.000000	Animals
1228942at2759	0	279	0.000000	Animals
1488436at2759	0	138	0.000000	Animals
721605at2759	17	436	3.899083	Animals
917326at2759	0	0	0.000000	Animals
570797at2759	29	903	3.211517	Animals
1576404at2759	0	0	0.000000	Animals
1395649at2759	0	0	0.000000	Animals
673132at2759	16	415	3.855422	Animals
1309031at2759	0	0	0.000000	Animals
1364586at2759	0	252	0.000000	Animals
1275837at2759	0	365	0.000000	Animals
975557at2759	0	0	0.000000	Animals
901894at2759	0	543	0.000000	Animals
1264469at2759	0	290	0.000000	Animals
179362at2759	0	0	0.000000	Animals
1079827at2759	0	260	0.000000	Animals
1588798at2759	0	320	0.000000	Animals
801857at2759	0	0	0.000000	Animals
1558822at2759	0	91	0.000000	Animals
457861at2759	0	0	0.000000	Animals
858842at2759	0	0	0.000000	Animals
83779at2759	0	652	0.000000	Animals
299766at2759	0	0	0.000000	Animals
887370at2759	0	581	0.000000	Animals
345441at2759	0	0	0.000000	Animals
1323575at2759	0	440	0.000000	Animals
1269244at2759	0	255	0.000000	Animals
898782at2759	0	547	0.000000	Animals
271586at2759	0	1076	0.000000	Animals
1030907at2759	0	0	0.000000	Animals
1445102at2759	0	261	0.000000	Animals
923657at2759	0	317	0.000000	Animals
939345at2759	0	0	0.000000	Animals
974865at2759	8	309	2.588997	Animals
1380409at2759	0	211	0.000000	Animals
582756at2759	0	553	0.000000	Animals
1346165at2759	0	432	0.000000	Animals
1220881at2759	0	332	0.000000	Animals
975158at2759	0	459	0.000000	Animals
674160at2759	0	2911	0.000000	Animals
1442062at2759	0	521	0.000000	Animals
1474000at2759	0	405	0.000000	Animals
1620056at2759	10	189	5.291005	Animals
1312453at2759	0	0	0.000000	Animals
720340at2759	0	561	0.000000	Animals
453044at2759	19	478	3.974895	Animals
1398309at2759	0	0	0.000000	Animals
664730at2759	11	463	2.375810	Animals
1173229at2759	12	446	2.690583	Animals
734666at2759	0	517	0.000000	Animals
1322642at2759	0	299	0.000000	Animals
1178688at2759	0	239	0.000000	Animals
97116at2759	0	0	0.000000	Animals
341721at2759	20	837	2.389486	Animals
324863at2759	0	969	0.000000	Animals
1370285at2759	0	693	0.000000	Animals
598949at2759	0	0	0.000000	Animals
1217666at2759	0	253	0.000000	Animals
1284731at2759	0	270	0.000000	Animals
1342242at2759	9	378	2.380952	Animals
1322299at2759	0	0	0.000000	Animals
1404162at2759	0	580	0.000000	Animals
1096688at2759	0	483	0.000000	Animals
