Supplementary Table 1. Characterization of immunophenotypes. 	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4
B: Immune traits measured				
				
Trait type	Panel	Statistical trait name	Trait	GWAS Catalog Accession Number
Relative count	B cell	BC_Trait1	IgD+ %B cell	GCST90001391
Absolute count	B cell	BC_Trait10	IgD+ CD38br AC	GCST90001392
Relative count	B cell	BC_Trait11	IgD+ CD38dim %B cell	GCST90001393
Absolute count	B cell	BC_Trait12	IgD+ CD38dim AC	GCST90001394
Relative count	B cell	BC_Trait13	IgD+ CD38- %B cell	GCST90001395
Absolute count	B cell	BC_Trait14	IgD+ CD38- AC	GCST90001396
Relative count	B cell	BC_Trait17	Unsw mem %B cell	GCST90001397
Absolute count	B cell	BC_Trait18	Unsw mem AC	GCST90001398
Relative count	B cell	BC_Trait19	IgD- CD27- %B cell	GCST90001399
Absolute count	B cell	BC_Trait2	IgD+ AC	GCST90001400
Absolute count	B cell	BC_Trait20	IgD- CD27- AC	GCST90001401
Relative count	B cell	BC_Trait21	Sw mem %B cell	GCST90001402
Absolute count	B cell	BC_Trait22	Sw mem AC	GCST90001403
Relative count	B cell	BC_Trait23	PB/PC %B cell	GCST90001404
Absolute count	B cell	BC_Trait24	PB/PC AC	GCST90001405
Relative count	B cell	BC_Trait25	Memory B cell %B cell	GCST90001406
Absolute count	B cell	BC_Trait26	Memory B cell AC	GCST90001407
Relative count	B cell	BC_Trait27	Naive-mature B cell %B cell	GCST90001408
Absolute count	B cell	BC_Trait28	Naive-mature B cell AC	GCST90001409
Relative count	B cell	BC_Trait3	IgD- CD38br %B cell	GCST90001410
Relative count	B cell	BC_Trait31	IgD+ CD24+ %B cell	GCST90001411
Absolute count	B cell	BC_Trait32	IgD+ CD24+ AC	GCST90001412
Relative count	B cell	BC_Trait33	IgD- CD24- %B cell	GCST90001413
Absolute count	B cell	BC_Trait34	IgD- CD24- AC	GCST90001414
Relative count	B cell	BC_Trait35	IgD+ CD24- %B cell	GCST90001415
Absolute count	B cell	BC_Trait36	IgD+ CD24- AC	GCST90001416
Relative count	B cell	BC_Trait37	CD24+ CD27+ %B cell	GCST90001417
Absolute count	B cell	BC_Trait38	CD24+ CD27+ AC	GCST90001418
Relative count	B cell	BC_Trait39	CD20- %B cell	GCST90001419
Absolute count	B cell	BC_Trait4	IgD- CD38br AC	GCST90001420
Absolute count	B cell	BC_Trait40	CD20- AC	GCST90001421
Relative count	B cell	BC_Trait43	CD20- CD38- %B cell	GCST90001422
Absolute count	B cell	BC_Trait44	CD20- CD38- AC	GCST90001423
