Supplementary Table 1. Characterization of immunophenotypes. 	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7
C: Descriptive statistics of immune cell counts							
							
Trait type	Panel	Statistical trait name	Trait 	N measured	Min	Mean	Max
Absolute count	B cell	BC_Trait40	CD20- AC	3755	0.08	8.024	12614
Absolute count	B cell	BC_Trait44	CD20- CD38- AC	3756	0	7.221	12566
Absolute count	B cell	BC_Trait38	CD24+ CD27+ AC	3754	1.449	102.645	2939.173
Absolute count	B cell	BC_Trait34	IgD- CD24- AC	3754	0.206	20.232	4069.679
Absolute count	B cell	BC_Trait20	IgD- CD27- AC	3754	0.56	18.745	2340.301
Absolute count	B cell	BC_Trait8	IgD- CD38- AC	3754	0.238	42.346	4533.157
Absolute count	B cell	BC_Trait4	IgD- CD38br AC	3754	0.059	1.236	20.083
Absolute count	B cell	BC_Trait6	IgD- CD38dim AC	3754	0.393	33.546	1374.324
Absolute count	B cell	BC_Trait2	IgD+ AC	3755	8.044	252.622	3286.782
Absolute count	B cell	BC_Trait36	IgD+ CD24- AC	3754	3.627	191.518	2863.849
Absolute count	B cell	BC_Trait32	IgD+ CD24+ AC	3754	1.924	61.248	2068.316
Absolute count	B cell	BC_Trait14	IgD+ CD38- AC	3754	1.833	78.32	3273.39
Absolute count	B cell	BC_Trait10	IgD+ CD38br AC	3754	0.047	12.146	116.804
Absolute count	B cell	BC_Trait12	IgD+ CD38dim AC	3754	4.516	163.157	2446.476
Absolute count	B cell	BC_Trait26	Memory B cell AC	3754	3.278	116.096	2868.607
Absolute count	B cell	BC_Trait28	Naive-mature B cell AC	3754	8.094	199.778	4118.193
Absolute count	B cell	BC_Trait24	PB/PC AC	3755	0	0.666	23.502
Absolute count	B cell	BC_Trait22	Sw mem AC	3754	0.225	58.93	3189.114
Absolute count	B cell	N_BC_Trait4	Transitional AC	3754	0.022	9.116	83.213
Absolute count	B cell	BC_Trait18	Unsw mem AC	3754	1.264	53.299	1570.21
Relative count	B cell	BC_Trait39	CD20- %B cell	3756	0.014	0.875	97.945
Relative count	B cell	BC_Trait65	CD20- %lymphocyte	3755	0.004	0.154	64.156
Relative count	B cell	BC_Trait43	CD20- CD38- %B cell	3757	0	0.528	97.87
Relative count	B cell	BC_Trait67	CD20- CD38- %lymphocyte	3756	0	0.119	64.107
Relative count	B cell	BC_Trait37	CD24+ CD27+ %B cell	3755	1.61	30.965	89.001
Relative count	B cell	BC_Trait64	CD24+ CD27+ %lymphocyte	3754	0.075	3.988	52.949
Relative count	B cell	BC_Trait33	IgD- CD24- %B cell	3755	0.22	5.913	81.707
Relative count	B cell	BC_Trait62	IgD- CD24- %lymphocyte	3754	0.011	0.751	51.651
Relative count	B cell	BC_Trait19	IgD- CD27- %B cell	3755	0.22	5.556	73.635
Relative count	B cell	BC_Trait55	IgD- CD27- %lymphocyte	3754	0.029	0.707	42.809
Relative count	B cell	BC_Trait7	IgD- CD38- %B cell	3755	0.273	12.435	84.718
Relative count	B cell	BC_Trait49	IgD- CD38- %lymphocyte	3754	0.012	1.581	57.533
Relative count	B cell	BC_Trait3	IgD- CD38br %B cell	3755	0.006	0.43	5.191
Relative count	B cell	BC_Trait47	IgD- CD38br %lymphocyte	3754	0.002	0.051	0.769
Relative count	B cell	BC_Trait5	IgD- CD38dim %B cell	3755	0.308	10.703	62.864
Relative count	B cell	BC_Trait48	IgD- CD38dim %lymphocyte	3754	0.02	1.33	24.144
Relative count	B cell	BC_Trait1	IgD+ %B cell	3756	0.805	76.475	99.037
Relative count	B cell	BC_Trait46	IgD+ %Lymphocyte	3755	0.27	10.059	65.209
Relative count	B cell	BC_Trait35	IgD+ CD24- %B cell	3755	0.499	58.311	97.537
Relative count	B cell	BC_Trait63	IgD+ CD24- %lymphocyte	3754	0.147	7.687	56.818
Relative count	B cell	BC_Trait31	IgD+ CD24+ %B cell	3755	0.313	18.223	83.889
Relative count	B cell	BC_Trait61	IgD+ CD24+ %lymphocyte	3754	0.103	2.379	39.341
Relative count	B cell	BC_Trait13	IgD+ CD38- %B cell	3755	0.343	22.838	98.377
Relative count	B cell	BC_Trait52	IgD+ CD38- %lymphocyte	3754	0.118	3.03	64.944
Relative count	B cell	BC_Trait9	IgD+ CD38br %B cell	3755	0.036	3.763	50.867
Relative count	B cell	BC_Trait50	IgD+ CD38br %lymphocyte	3754	0.002	0.498	3.82
Relative count	B cell	BC_Trait11	IgD+ CD38dim %B cell	3755	0.406	50.191	90.509
Relative count	B cell	BC_Trait51	IgD+ CD38dim %lymphocyte	3754	0.108	6.57	35.67
Relative count	B cell	BC_Trait25	Memory B cell %B cell	3755	2.795	34.802	93.627
Relative count	B cell	BC_Trait58	Memory B cell %lymphocyte	3754	0.211	4.491	52.102
Relative count	B cell	BC_Trait27	Naive-mature B cell %B cell	3755	4.945	60.878	94.584
Relative count	B cell	BC_Trait59	Naive-mature B cell %lymphocyte	3754	0.22	7.969	52.267
Relative count	B cell	BC_Trait23	PB/PC %B cell	3756	0	0.235	6.307
Relative count	B cell	BC_Trait57	PB/PC %lymphocyte	3755	0	0.027	0.9
Relative count	B cell	BC_Trait21	Sw mem %B cell	3755	0.258	18.158	93.218
Relative count	B cell	BC_Trait56	Sw mem %lymphocyte	3754	0.012	2.278	57.451
Relative count	B cell	N_BC_Trait3	Transitional %B cell	3755	0.033	2.808	26.947
Relative count	B cell	N_BC_Trait6	Transitional %lymphocyte	3754	0.001	0.37	4.466
Relative count	B cell	BC_Trait17	Unsw mem %B cell	3755	0.259	15.99	80.819
Relative count	B cell	BC_Trait54	Unsw Mem %lymphocyte	3754	0.071	2.094	38.414
Absolute count	cDC	DC_Trait530	CD11c+ CD62L- monocyte AC	3017	0	36.863	185.611
Absolute count	cDC	DC_Trait534	CD11c+ HLA DR++ monocyte AC	3019	0.062	28.078	143.979
Absolute count	cDC	DC_Trait524	CD11c+ monocyte AC	3020	0.103	46.647	198.335
Absolute count	cDC	f_DC_Trait520	CD62L- CD86+ myeloid DC AC	3387	0	4.34	157.831
Absolute count	cDC	f_DC_Trait508	CD62L- DC AC	3387	0.668	9.352	204.735
Absolute count	cDC	DC_Trait532	CD62L- HLA DR++ monocyte AC	3018	0.041	41.77	264.625
Absolute count	cDC	DC_Trait526	CD62L- monocyte AC	3019	0.123	88.566	575.597
Absolute count	cDC	f_DC_Trait516	CD62L- myeloid DC AC	3387	0.094	6.9	201.171
Absolute count	cDC	f_DC_Trait518	CD62L- plasmacytoid DC AC	3374	0	0.271	4.385
Absolute count	cDC	f_DC_Trait512	CD86+ myeloid DC AC	3387	0	5.824	159.415
Absolute count	cDC	f_DC_Trait514	CD86+ plasmacytoid DC AC	3374	0	0.219	1.525
Absolute count	cDC	f_DC_Trait505	DC AC	3374	0.289	30.24	240.024
Absolute count	cDC	f_DC_Trait502	Myeloid DC AC	3387	0.189	19.46	225.944
Absolute count	cDC	f_DC_Trait504	Plasmacytoid DC AC	3374	0	10.869	51.31
