Supplementary Table 7. Locus-specific analyses on CD27 and CD40 protein levels.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7
C: One-sample Mendelian Randomization analyses							
Two-sided Wald ratio test and two stage least squares (2SLS) regression method (two-sided) are used.							
Outcomes and exposures have been inverse-normalized and adjusted for age, age2 and sex effects before analyses.							
Significance threshold after Bonferroni correction (2 trait models and 2 variant settings): P-value < 1.25x10-02.							
							
Outcome	Exposure	Method	Instrumental variables (IVs)	Effect	Std Error	P-value	
CD40 on IgD- CD38dim 	CD27 on IgD- CD38dim 	Wald ratio test	rs1883832 	-1.137397	0.06397355	1.024709e-70	
		2SLS	rs1883832 	-1.21241	0.0652132	1.88223e-66	
		2SLS	Global model (23 variants)	-0.4161299	0.04987339	2.2204e-16	Pleiotropic model
		2SLS	Global model excluding rs1883832	-0.0830589	0.05452601	0.128	Final model
CD27 on IgD- CD38dim 	CD40 on IgD- CD38dim 	Wald ratio test	rs1883832 	-0.8792003	0.0573373	4.544009e-53	
		2SLS	rs1883832 	-0.8248035	0.0534128	2.191502e-48	
		2SLS	Global model (10 variants)	-0.6448407	0.05717153	2.16726e-39	Pleiotropic model
		2SLS	Global model excluding rs1883832	-0.3272405	0.07582244	1.7483e-05	Final model
