Supplementary Table 4. Molecular QTLs and regulatory sites in immune trait association signals.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
B: Enrichment for molecular QTLs and regulatory sites for the signals with association p-value < 1.28 x 10-11									
Two-sided Fisher-exact test was used to test for enrichment of molecular QTLs in the LD-independent immune trait loci.									
									
Type of Feature	Feature	p-value ≤ 1.28E-11							
		ImmunoQTL LD independent loci		ImmunoQTL LD independent loci used for enrichment analysis					
				Observed loci		Background loci		Fisher-exact test	
		Counts	%	Counts	%	Counts	%	OR	p-value
		122	1	109	1	5450	1		
Molecular QTLs of RNA and protein levels	eQTL	83	0.680327868852459	74	0.678899	617	0.113211	16.5449785061816	1.88281590181479e-42
	polyAQTL	7	0.05737704918032787	7	0.0642202				
	sQTL	70	0.5737704918032787	63	0.577982	342	0.0627523	20.42	1.35203699493496e-44
	repeatQTL	5	0.040983606557377046	4	0.0366972				
	aseQTL	6	0.04918032786885246	6	0.0550459				
	pQTL	5	0.040983606557377046	6	0.0550459				
Molecular QTLs of epigenetic traits	hQTL	44	0.36065573770491804	42	0.385321	156	0.0286239	21.23	6.78768591669577e-34
	mQTL	63	0.5163934426229508	60	0.550459	686	0.125872	8.5	2.53412183228289e-25
	dhsQTL	5	0.040983606557377046	5	0.0458716				
Regulatory sites	EncodeDnase	106	0.8688524590163934	94	0.862385	2770	0.508257	6.06	1.5053899515984e-14
	EncodeTfbs	100	0.819672131147541	90	0.825688	2166	0.397431	7.18	1.2864075372515e-19
	GeneHancer	86	0.7049180327868853	77	0.706422	930	0.170642	11.69	6.71366943070803e-34
