Supplementary Table 8. Pharmacological implication of the coincident associations.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13
A. Results about the pharmacological implication of the coincident associations													
Coincident associations reported in Supplementary table 5A have been screened for optimal candidates for pharmaceutical development. Only disease association studies with p-value< 1x10-6 are considered.													
eGENES are from Supplementary Table S4A.													
HLA and SH2B3 regions were excluded due to high-level of pleiotropy. 													
"In the fifth  and sixth columns, ""comma"" indicates the simultaneous need for specific markers, “or” the mutually exclusive presence of two markers, and a slash symbolizes the presence of at least one of the two indicated markers. "													
In the sixth column, protein targets are indicated in blue.													
"In the column ""eGenes"", expression traits (eGenes) are separated by :::: and expression traits can contain multiple eGenes (e.g. the signal is referred to a region where genes are overlapping). + and - indicate respectively the increment or decrement of the expression trait with the risk allele for the patology indicated in the Disease column. The presence of both + and - for the same expression trait indicate that there is at least a study reporting - and a study reporting + effect for the risk allele."													
AC=absolute count, RC=relative count													
The disease acronyms are those of Figure 3.													
													
													
Locus	Gene	Cell trait name 	Trait type 	Biomarkers to ensure cell subtype specificity 	Primary drug target	Trait type 	Disease 	Effect of risk allele  on cell  trait levels	Colocalization	Proposed therapeutic modulation of primary drug target 	Expected increased risk for other autoimmune disease (side effect)	eGenes	eGenesWoAmbiguousAlleles
1	TNFRSF14	HVEM on T cell (especially memory)	pQTL	CD3, CD45RO	HVEM	pQTL	Ulcerative colitis	decrease	yes	activation		MMEL1:::RP3-395M20.8(+):::RP3-395M20.9(+,-):::TNFRSF14,RP3-395M20.8(-):::RP3-395M20.7(+,-):::MMEL1,FAM213B(+):::TNFRSF14(-):::FAM213B(+,-):::C1orf93(+):::TTC34(-):::RP3-395M20.12(+)	FAM213B(+,-):::RP3-395M20.8(+):::RP3-395M20.9(+,-):::TNFRSF14,RP3-395M20.8(-):::RP3-395M20.7(+,-):::MMEL1,FAM213B(+):::TNFRSF14(-):::MMEL1:::C1orf93(+):::TTC34(-)
1	TNFRSF14	HVEM on T cell (especially memory)	pQTL	CD3, CD45RO	HVEM	pQTL	Inflammatory bowel disease	decrease	yes	activation		MMEL1:::RP3-395M20.8(+):::RP3-395M20.9(+,-):::TNFRSF14,RP3-395M20.8(-):::RP3-395M20.7(+,-):::MMEL1,FAM213B(+):::TNFRSF14(-):::FAM213B(+,-):::C1orf93(+):::TTC34(-):::RP3-395M20.12(+)	FAM213B(+,-):::RP3-395M20.8(+):::RP3-395M20.9(+,-):::TNFRSF14,RP3-395M20.8(-):::RP3-395M20.7(+,-):::MMEL1,FAM213B(+):::TNFRSF14(-):::MMEL1:::C1orf93(+):::TTC34(-)
15	FCGR2A	CD32 on monocyte	pQTL	CD14 or CD16, HLA DR	CD32	pQTL	Ankylosing Spondylitis	increase	not tested	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD32 on monocyte	pQTL	CD14 or CD16, HLA DR	CD32	pQTL	Ulcerative colitis	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD32 on monocyte	pQTL	CD14 or CD16, HLA DR	CD32	pQTL	Crohn's Disease	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD32 on monocyte	pQTL	CD14 or CD16, HLA DR	CD32	pQTL	Inflammatory bowel disease	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD32 on monocyte	pQTL	CD14 or CD16, HLA DR	CD32	pQTL	Kawasaki disease	increase	not tested	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD32 on monocyte	pQTL	CD14 or CD16, HLA DR	CD32	pQTL	Systemic lupus erythematosus	decrease	yes	activation	CRO, IBD, KD, AS, UC	LY9(+):::FCGR2A	LY9(+):::FCGR2A
15	FCGR2A	CD40 on monocyte (especially CD16+)	pQTL	CD16, HLA DR	CD40	pQTL	Systemic lupus erythematosus 	increase	yes	inhibition	CRO, IBD,  AS, UC	LY9(+):::FCGR2A	LY9(+):::FCGR2A
15	FCGR2A	CD40 on monocyte (especially CD16+)	pQTL	CD16, HLA DR	CD40	pQTL	Crohn's Disease	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD40 on monocyte (especially CD16+)	pQTL	CD16, HLA DR	CD40	pQTL	Inflammatory bowel disease	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD40 on monocyte (especially CD16+)	pQTL	CD16, HLA DR	CD40	pQTL	 Ankylosing Spondylitis	decrease	not tested	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD40 on monocyte (especially CD16+)	pQTL	CD16, HLA DR	CD40	pQTL	Ulcerative colitis	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD40 on monocyte (especially CD16+)	pQTL	CD16, HLA DR	CD40	pQTL	Kawasaki disease	decrease	not tested	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CX3CR1 on monocyte (especially CD14+CD16+)	pQTL	CD14, CD16, HLA DR	CX3CR1	pQTL	Systemic lupus erythematosus 	decrease	yes	activation	CRO, IBD, KD, AS, UC	LY9(+):::FCGR2A	LY9(+):::FCGR2A
15	FCGR2A	CX3CR1 on monocyte (especially CD14+CD16+)	pQTL	CD14, CD16, HLA DR	CX3CR1	pQTL	Crohn's Disease	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CX3CR1 on monocyte (especially CD14+CD16+)	pQTL	CD14, CD16, HLA DR	CX3CR1	pQTL	Inflammatory bowel disease	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CX3CR1 on monocyte (especially CD14+CD16+)	pQTL	CD14, CD16, HLA DR	CX3CR1	pQTL	Kawasaki disease	increase	not tested	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CX3CR1 on monocyte (especially CD14+CD16+)	pQTL	CD14, CD16, HLA DR	CX3CR1	pQTL	 Ankylosing Spondylitis	increase	not tested	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CX3CR1 on monocyte (especially CD14+CD16+)	pQTL	CD14, CD16, HLA DR	CX3CR1	pQTL	Ulcerative colitis	increase	yes	inhibition	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD11b on  CD14+ monocyte	pQTL	CD14, HLA DR	CD11b	pQTL	Systemic lupus erythematosus	increase	yes	inhibition	CRO, IBD, KD, AS, UC	LY9(+):::FCGR2A	LY9(+):::FCGR2A
15	FCGR2A	CD11b on  CD14+ monocyte	pQTL	CD14, HLA DR	CD11b	pQTL	Crohn's Disease	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD11b on  CD14+ monocyte	pQTL	CD14, HLA DR	CD11b	pQTL	Inflammatory bowel disease	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD11b on  CD14+ monocyte	pQTL	CD14, HLA DR	CD11b	pQTL	Kawasaki disease	decrease	not tested	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD11b on  CD14+ monocyte	pQTL	CD14, HLA DR	CD11b	pQTL	 Ankylosing Spondylitis	decrease	not tested	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD11b on  CD14+ monocyte	pQTL	CD14, HLA DR	CD11b	pQTL	Ulcerative colitis	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD64 on monocyte (especially CD14+)	pQTL	CD14, HLA DR	CD64	pQTL	Crohn's Disease	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
15	FCGR2A	CD64 on monocyte (especially CD14+)	pQTL	CD14, HLA DR	CD64	pQTL	Inflammatory bowel disease	decrease	yes	activation	SLE	LY9(-):::FCGR2A	LY9(-):::FCGR2A
