Supplementary Table List	Table title
Supplementary Table 1. Characterization of immunophenotypes. 	A: Antibodies, fluorochromes and clones for each flow cytometry panel
	B: Immune traits measured
	C: Descriptive statistics of immune cell counts
	D: Reproducibility of immune cell counts
Supplementary Table 2. Heritability of immunophenotypes.	A: Heritability results
	B: Heritability in different cellular categories
Supplementary Table 3. Associations observed at p<5x10-8 and variant features.	A: Associations observed at p<5x10-8 and variant features
	B: Validated results
	C: Loci identified in previous studies
	D: Credible sets summary
	E: Credible sets with multiple causal candidates
	F: Non-coincident variants having 1000G-EUR AF <0.02 and SardiNIA AF at least 2* 1000G-EUR AF
Supplementary Table 4. Molecular QTLs in immune trait association signals.	A: Lead SNPs with associated eQTLs  and/or epigenetic traits (r2≥0.7)
	B: Enrichment for molecular QTLs and regulatory sites for the signals with association p-value < 1.28 x 10-11
	C: Enrichment for molecular QTLs and regulatory sites for the signals with association 1.28 x 10-11 < association p-value < 5x10-8
Supplementary Table 5. Coincident associations between immune traits and diseases.	A: Coincident associations between immune traits and diseases
	B: Colocalization test results in all the associated loci
	C: Further association analysis for rs1801274-GG (FCGR2A)
Supplementary Table 6. Estimation of causal relationships between traits and diseases.	A: Multiple coincident associations between trait and disease
	B: Details of European-ancestry disease datasets used in the mendelian randomization analysis
	C: Variants selected as Instrumental Variables (IVs) for MR analyses
	D: Mendelian randomization results for the selected exposures and outcomes
Supplementary Table 7. Locus-specific analyses on CD27 and CD40 protein levels.	A: Further association analysis for rs1883832-T (CD40)
	B: Variants selected as Instrumental Variables (IVs) for MR analyses
	C: One-sample Mendelian Randomization analyses
	D: Nested linear regression models
	E: Two-sample Mendelian Randomization analyses
Supplementary Table 8. Pharmacological implication of the coincident associations.	A. Results about the pharmacological implication of the coincident associations
	B. Protein targets and their druggability
