Supplementary Table 5. Coincident associations between immune traits and diseases.	Unnamed: 1	Unnamed: 2	Unnamed: 3
C: Further association analysis for rs1801274-GG (FCGR2A)			
Two-sided Wilcoxon signed-rank test was used to compare immune trait levels in the two homozygous genotypes.			
			
Trait 	Effect of GG	P-value parametric model	P-value non parametric model (Wilcoxon test)
CD32 on monocyte	-1.56879524256482	1.7156643897501401e-25	1.1000000000000002e-19
CD32 on CD14+ CD16- monocyte	-1.5671975501711901	1.8548605897242298e-25	1.1000000000000002e-19
CD32 on CD14+ CD16+ monocyte	-1.51810299546747	6.08828049970828e-23	5.1e-18
CD32 on CD14- CD16+ monocyte	-1.4144069986719399	7.4130068672405e-19	2.7999999999999996e-16
CD16 on CD14- CD16+ monocyte	0.7663376649804281	8.428290042933799e-06	3.7e-06
CD16 on CD14+ CD16+ monocyte	0.7279147259082981	4.389011134302561e-05	7.000000000000001e-05
CD11b on CD14+ CD16+ monocyte	0.6880919367235221	0.00012108653191550101	3.0000000000000004e-05
CD11b on CD14- CD16+ monocyte	0.4384492859252	0.0163636688237549	0.054000000000000006
HLA DR on CD14+ CD16- monocyte	-0.394743046401118	0.0326972286217299	0.024
HLA DR on monocyte	-0.251954427133252	0.17468901031285902	0.18000000000000002
CD11b on CD14+ CD16- monocyte	0.24069794610952802	0.18747653006480502	0.15000000000000002
CD14 on CD14+ CD16+ monocyte	0.21751957614435602	0.23569219698080202	0.11000000000000001
HLA DR on CD14- CD16+ monocyte	-0.187457383475492	0.314874115770962	0.32000000000000006
CD40 on CD14+ CD16+ monocyte	0.182400170634159	0.32484846799162603	0.34
HLA DR on CD14+ CD16+ monocyte	0.16872396343978402	0.358979688306224	0.38
CD40 on CD14+ CD16- monocyte	-0.138835638951528	0.45118320401441603	0.5700000000000001
CD11b on monocyte	0.09077863168756249	0.6223312199228781	0.61
CD40 on CD14- CD16+ monocyte	0.07888790868324749	0.67388886405524	0.49000000000000005
CD14 on CD14+ CD16- monocyte	0.0741594542070188	0.688982659549449	0.8500000000000001
CD40 on monocyte	-0.057913068105294896	0.7556747823705611	0.87
