Supplementary Table 7. Locus-specific analyses on CD27 and CD40 protein levels.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12
A: Further association analysis for rs1883832-T (CD40)												
Two-sided Wilcoxon signed-rank test has been applied to raw phenotypes.												
A Bonferroni-adlusted threshold (0.05/26 = 1.92x10-3) has been considered to declare significance of results.												
												
	CD40						CD27					
Cell population	N samples	Genotype count	MAF	P-value	Beta	SE Beta	N samples	Genotype count	MAF	P-value	Beta	SE Beta
IgD- CD38dim 	999	128/451/420	0.35385	1.209e-61	-0.7053	0.03967	999	128/451/420	0.35385	8.372e-48	0.6201	0.04044
IgD+ CD24+ 	999	128/451/420	0.35385	6.915e-53	-0.6511	0.04006	999	128/451/420	0.35385	8.365e-25	0.4528	0.04286
Memory B cell	999	128/451/420	0.35385	5.074e-56	-0.6707	0.0399	999	128/451/420	0.35385	1.467e-14	0.3423	0.04384
Sw mem 	999	128/451/420	0.35385	4.02e-55	-0.6676	0.04009	999	128/451/420	0.35385	1.839e-36	0.5609	0.0427
Unsw mem 	999	128/451/420	0.35385	1.21e-50	-0.6407	0.04042	999	128/451/420	0.35385	1.073e-33	0.5336	0.04248
IgD- CD38- 	999	128/451/420	0.35385	9.012e-55	-0.6673	0.04022	999	128/451/420	0.35385	4.642e-32	0.5133	0.04203
CD24+ CD27+ 	999	128/451/420	0.35385	6.926e-48	-0.6233	0.04061	999	128/451/420	0.35385	1.162e-29	0.5094	0.04359
IgD- CD38br 	840	71/376/393	0.30833	3.378e-24	-0.5347	0.05106	998	128/450/420	0.3537	0.0121	0.1172	0.04662
IgD+ CD38dim 	999	128/451/420	0.35385	7.888e-63	-0.7028	0.03909						
IgD+ CD24- 	999	128/451/420	0.35385	3.618e-65	-0.7148	0.0389						
IgD+	999	128/451/420	0.35385	9.322e-64	-0.7086	0.03907						
Naive-mature B cell 	999	128/451/420	0.35385	8.812e-67	-0.7242	0.03884						
B cell	999	128/451/420	0.35385	3.878e-64	-0.712	0.03912						
IgD+ CD38- 	999	128/451/420	0.35385	1.696e-63	-0.7105	0.03926						
IgD- CD27- 	999	128/451/420	0.35385	4.552e-66	-0.7283	0.03932						
IgD- CD24- 	999	128/451/420	0.35385	6.257e-50	-0.649	0.04128						
IgD+ CD38br 	992	128/447/417	0.35433	5.726e-43	-0.588	0.04075						
Transitional 	992	128/447/417	0.35433	2.978e-42	-0.5866	0.04105						
