Supplementary Table 4. Molecular QTLs in immune trait association signals.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
C: Enrichment for molecular QTLs and regulatory sites for the signals with association 1.28 x 10-11 < association p-value < 5x10-8									
Two-sided Fisher-exact test was used to test for enrichment of molecular QTLs in the LD-independent immune trait loci.									
									
Type of Feature	Feature	1.28 x 10-11 < p-value < 5x10-8							
		ImmunoQTL LD independent loci		ImmunoQTL LD independent loci used for enrichment analysis					
				Observed loci		Background loci		Fisher-exact test	
		Counts	%	Counts	%	Counts	%	OR	p-value
		198	1	190	1	9500	1		
Molecular QTLs of RNA and protein levels	eQTL	64	0.32323232323232326	64	0.336842	897	0.0944211	4.87020411133304	1.3916095776545e-19
	polyAQTL	6	0.030303030303030304	6	0.0315789				
	sQTL	40	0.20202020202020202	39	0.205263	434	0.0456842	5.39334346454523	9.359611698059e-15
	repeatQTL	3	0.015151515151515152	2	0.0105263				
	aseQTL	1	0.005050505050505051	1	0.00526316				
	pQTL	1	0.005050505050505051	1	0.00526316				
Molecular QTLs of epigenetic traits	hQTL	19	0.09595959595959595	20	0.105263	229	0.0241053	4.76146807202806	8.21856879539852e-08
	mQTL	51	0.25757575757575757	50	0.263158	932	0.0981053	3.28264210691942	1.22840732918184e-10
	dhsQTL	3	0.015151515151515152	3	0.0157895				
Regulatory sites	EncodeDnase	139	0.702020202020202	136	0.715789	5134	0.540421	2.14155538568761	1.38423880277028e-06
	EncodeTfbs	116	0.5858585858585859	112	0.589474	4054	0.426737	1.9287630525253	1.07734025196973e-05
	GeneHancer	72	0.36363636363636365	69	0.363158	1961	0.206421	2.19210796861557	8.36993942474041e-07
