Supplementary Table 2. Heritability of immunophenotypes.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12
A: Heritability results												
In the last column, naive and memory condition is indicated only for B, CD4 and CD8 lymphocytes.												
NA= data not available, BOTH= including both categories assessed												
												
Trait type	Panel	Statistical trait name	Trait	N samples	Broad H2	Broad SE	Narrow h2	 Narrow SE	Lymphoid/Myeloid	Innate/Adaptive	B cell/CD4/CD8	Naive/Memory
Relative count	B cell	BC_Trait1	IgD+ %B cell	3756	0.719	0.1045	0.3643921727669066	0.05110007097232079	L	A	B cell	BOTH
Absolute count	B cell	BC_Trait10	IgD+ CD38br AC	3754	0.4788	0.0714	0.4208301723203641	0.04920342473176548	L	A	B cell	 Naive
Relative count	B cell	BC_Trait11	IgD+ CD38dim %B cell	3755	0.5583	0.0838	0.36426890412360585	0.04993349022817969	L	A	B cell	 Naive
Absolute count	B cell	BC_Trait12	IgD+ CD38dim AC	3754	0.6162	0.0863	0.47109764018185757	0.050010824853864475	L	A	B cell	 Naive
Relative count	B cell	BC_Trait13	IgD+ CD38- %B cell	3755	0.4972	0.0759	0.3595669373308349	0.04944826150322715	L	A	B cell	BOTH
Absolute count	B cell	BC_Trait14	IgD+ CD38- AC	3754	0.4933	0.0752	0.36453608247422686	0.04938144329896907	L	A	B cell	BOTH
Relative count	B cell	BC_Trait17	Unsw mem %B cell	3755	0.6704	0.0947	0.44110854503464203	0.05060749071191887	L	A	B cell	Memory
Absolute count	B cell	BC_Trait18	Unsw mem AC	3754	0.6721	0.0971	0.39832263408573204	0.050735141851314974	L	A	B cell	Memory
Relative count	B cell	BC_Trait19	IgD- CD27- %B cell	3755	0.7336	0.1064	0.35958005249343833	0.051181102362204724	L	A	B cell	Memory
Absolute count	B cell	BC_Trait2	IgD+ AC	3755	0.6739	0.0947	0.44870981387478853	0.05054991539763114	L	A	B cell	BOTH
Absolute count	B cell	BC_Trait20	IgD- CD27- AC	3754	0.7141	0.1005	0.4303190947089408	0.050973595677439094	L	A	B cell	Memory
Relative count	B cell	BC_Trait21	Sw mem %B cell	3755	0.6682	0.0973	0.38562487381385024	0.0507773066828185	L	A	B cell	Memory
Absolute count	B cell	BC_Trait22	Sw mem AC	3754	0.6651	0.0977	0.368920159070052	0.05078005506271031	L	A	B cell	Memory
Relative count	B cell	BC_Trait23	PB/PC %B cell	3756	0.4305	0.0696	0.28885957792207795	0.048701298701298704	L	A	B cell	Memory
Absolute count	B cell	BC_Trait24	PB/PC AC	3755	0.4643	0.0749	0.2553034300791557	0.048865435356200526	L	A	B cell	Memory
