Supplementary Table 2. Heritability of immunophenotypes.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11
B: Heritability in different cellular categories											
Non parametric tests were used to compare two (two-sided Wilcoxon signed-rank test) or more (Kruskall-Wallis test) categories described in Supplementary Table 2A.											
											
Trait type	Category	N traits	Min	1st Quartile	Median	Mean	3rd Quartile	Max	Kruskal-Wallis test	Comparison	Wilcoxon test
All traits	All	731	0	0.291	0.37	0.365	0.449	0.79			
Cell counts	Lymphoid	256	0.071	0.309	0.377	0.3826	0.439	0.79			0.01184
	Myeloid	48	0.11	0.2617	0.3225	0.3355	0.4173	0.513			
Cell counts - CD39 T	Lymphoid	241	0.071	0.307	0.37	0.3638	0.427	0.571			0.04778
	Myeloid	48	0.11	0.2617	0.3225	0.3355	0.4173	0.513			
MFI	Lymphoid	287	0	0.264	0.371	0.3572	0.4675	0.773			0.4558
	Myeloid	93	0	0.284	0.385	0.376	0.468	0.748			
MFIs - myeloid CD33	Lymphoid	287	0	0.264	0.371	0.3572	0.4675	0.773			0.424
	Myeloid	81	0	0.263	0.33	0.3474	0.45	0.72			
Cell counts	Innate	63	0.11	0.267	0.326	0.3466	0.4185	0.528			0.04105
	Adaptive	222	0.071	0.3083	0.377	0.3843	0.439	0.79			
Cell counts - CD39 T	Innate	63	0.11	0.267	0.326	0.3466	0.4185	0.528			0.1926
	Adaptive	207	0.071	0.3065	0.37	0.3626	0.4255	0.571			
MFI	Innate	109	0	0.291	0.385	0.3774	0.465	0.748			0.4015
	Adaptive	265	0	0.267	0.375	0.357	0.471	0.773			
MFIs - myeloid CD33	Innate	97	0	0.27	0.36	0.3537	0.45	0.72			0.5999
	Adaptive	265	0	0.267	0.375	0.357	0.471	0.773			
Cell Counts	B (1)	63	0.136	0.318	0.389	0.3788	0.448	0.531	9.822e-08	1vs2	0.001042
	CD4 (2)	60	0.228	0.3852	0.426	0.4643	0.5275	0.79		2vs3	3.714e-08
	CD8 (3)	70	0.128	0.306	0.338	0.3521	0.382	0.751		3vs1	0.007333
Cell counts - CD39 T	B (1)	63	0.136	0.318	0.389	0.3788	0.448	0.531	4.748e-06	1vs2	0.108
	CD4 (2)	48	0.228	0.3708	0.407	0.4125	0.4602	0.571		2vs3	1.153e-06
	CD8 (3)	67	0.128	0.3055	0.337	0.3351	0.3745	0.546		3vs1	0.001317
MFIs	B (1)	131	0.063	0.344	0.412	0.3889	0.483	0.605	0.0001379	1vs2	0.04121
	CD4 (2)	83	0	0.288	0.337	0.3547	0.4905	0.773		2vs3	0.01308
	CD8 (3)	39	0	0.2005	0.244	0.2823	0.3905	0.564		3vs1	4.352e-05
Cell counts	T memory	63	0.128	0.306	0.371	0.3857	0.4425	0.79			0.001057
	T naive	21	0.337	0.407	0.47	0.4685	0.524	0.577			
MFIs	T memory	54	0.126	0.241	0.324	0.3372	0.395	0.773			0.3872
	T naive	29	0	0.239	0.41	0.3571	0.493	0.626			
Cell counts	B memory	33	0.245	0.327	0.389	0.385	0.437	0.491			0.09975
	B naive	15	0.258	0.371	0.447	0.4246	0.491	0.531			
MFIs	B memory	69	0.068	0.35	0.427	0.3999	0.486	0.605			0.5844
	B naive	35	0.189	0.3695	0.403	0.4039	0.4655	0.533			
