Absolute count	cDC	DC_Trait534	CD11c+ HLA DR++ monocyte AC	3019	0.062	28.078	143.979
Absolute count	cDC	DC_Trait532	CD62L- HLA DR++ monocyte AC	3018	0.041	41.77	264.625
Relative count	cDC	DC_Trait535	CD11c+ HLA DR++ monocyte %monocyte	3042	0.942	8.004	30.593
Relative count	cDC	DC_Trait533	CD62L- HLA DR++ monocyte %monocyte	3041	0.814	11.796	37.365
Absolute count	Myeloid cell	MDSC_Trait22	CD33- HLA DR- AC	1930	22.711	508.008	3632.308
Absolute count	Myeloid cell	MDSC_Trait23	CD33- HLA DR+ AC	1930	0.507	10.939	121.024
Absolute count	Myeloid cell	MDSC_Trait12	CD33br HLA DR+ AC	1930	0	30.771	132.148
Absolute count	Myeloid cell	MDSC_Trait13	CD33br HLA DR+ CD14- AC	1930	0	18.355	70.885
Absolute count	Myeloid cell	MDSC_Trait15	CD33br HLA DR+ CD14dim AC	1930	0	11.463	60.674
Absolute count	Myeloid cell	MDSC_Trait5	CD33dim HLA DR- AC	1874	0	62.34	228.129
Absolute count	Myeloid cell	MDSC_Trait27	CD33dim HLA DR+ CD11b- AC	1930	0.039	72.063	492.069
Absolute count	Myeloid cell	MDSC_Trait25	CD33dim HLA DR+ CD11b+ AC	1930	0	38.237	202.049
Relative count	Myeloid cell	MDSC_Trait9	Basophil %CD33dim HLA DR- CD66b-	1929	0	86.004	100
Relative count	Myeloid cell	MDSC_Trait14	CD33br HLA DR+ CD14- %CD33br HLA DR+	1930	0	57.776	83.39
Relative count	Myeloid cell	MDSC_Trait16	CD33br HLA DR+ CD14dim %CD33br HLA DR+	1930	0	35.741	100
Relative count	Myeloid cell	MDSC_Trait28	CD33dim HLA DR+ CD11b- %CD33dim HLA DR+	1930	11.939	64.988	100
Relative count	Myeloid cell	MDSC_Trait26	CD33dim HLA DR+ CD11b+ %CD33dim HLA DR+	1930	0	35.763	88.567
Relative count	Myeloid cell	MDSC_Trait11	Im MDSC %CD33dim HLA DR- CD66b-	1929	0	8.978	100
Absolute count	TBNK	TB_Trait542	HLA DR+ CD4+ AC	3579	4.315	33.319	270.844
Absolute count	TBNK	TB_Trait545	HLA DR+ CD8br AC	3579	1.264	40.192	1562.288
Absolute count	TBNK	TB_Trait569	HLA DR+ NK AC	3580	0	25.064	324.753
Absolute count	TBNK	TB_Trait536	HLA DR+ T cell AC	3580	9.453	85.814	1825.546
Absolute count	TBNK	f_MONO_Trait505	HLA DR++ monocyte AC	3579	3.555	32.361	225.245
Relative count	TBNK	TB_Trait544	HLA DR+ CD4+ %lymphocyte	3595	0.244	1.392	9.04
Relative count	TBNK	TB_Trait543	HLA DR+ CD4+ %T cell	3595	0.34	2.012	12.287
Relative count	TBNK	TB_Trait547	HLA DR+ CD8br %lymphocyte	3595	0.076	1.599	30.924
Relative count	TBNK	TB_Trait546	HLA DR+ CD8br %T cell	3595	0.128	2.269	38.614
Relative count	TBNK	TB_Trait571	HLA DR+ NK  %CD3- lymphocyte	3596	0	3.55	26.336
Relative count	TBNK	TB_Trait570	HLA DR+ NK %NK	3596	0	7.202	61.138
Relative count	TBNK	TB_Trait538	HLA DR+ T cell%lymphocyte	3596	0.53	3.492	35.471
Relative count	TBNK	TB_Trait537	HLA DR+ T cell%T cell	3596	0.661	4.996	44.292
Relative count	TBNK	f_MONO_Trait504	HLA DR++ monocyte %leukocyte	3595	0.037	0.489	3.455
Relative count	TBNK	f_MONO_Trait503	HLA DR++ monocyte %monocyte	3595	0.713	9.398	35.441
