Supplementary Table 1. Characterization of immunophenotypes. 	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
A: Antibodies, fluorochromes and clones for each flow cytometry panel								
RUO=Research Use Only, IVD=In Vitro Diagnostic Use,  GMP=Good Manufacturing Practices,								
								
Panel	Antibody anti-	Fluorochrome	Clone	Company	Antibody status	BD ug/test	Regulatory status	manufacturer's web site
T-B-NK	CD45	PerCP-Cy5.5	2D1 (HLe-1)	BD Biosciences	Liquid	0.12	IVD	https://www.bdbiosciences.com/eu/applications/clinical/hiv-and-aids/clinical-diagnostic-instrument-systems/bd-facscanto-ii-hiv-reagent-kits/6-color-tbnk/p/644611
	CD14	V450	MφP9	BD Biosciences	Liquid	0.5	RUO	https://www.bdbiosciences.com/eu/applications/research/stem-cell-research/hematopoietic-stem-cell-markers/human/negative-markers/v450-mouse-anti-human-cd14-mp9-also-known-as-mp-9/p/560349
	CD3	FITC	SK7	BD Biosciences	Liquid	0.046	IVD	https://www.bdbiosciences.com/eu/applications/clinical/hiv-and-aids/clinical-diagnostic-instrument-systems/bd-facscanto-ii-hiv-reagent-kits/6-color-tbnk/p/644611
	CD4	PE-Cy7	SK3	BD Biosciences	Liquid	0.03	IVD	https://www.bdbiosciences.com/eu/applications/clinical/hiv-and-aids/clinical-diagnostic-instrument-systems/bd-facscanto-ii-hiv-reagent-kits/6-color-tbnk/p/644611
	CD8	APC-Cy7	SK1	BD Biosciences	Liquid	0.126	IVD	https://www.bdbiosciences.com/eu/applications/clinical/hiv-and-aids/clinical-diagnostic-instrument-systems/bd-facscanto-ii-hiv-reagent-kits/6-color-tbnk/p/644611
	CD19	APC	SJ25C1	BD Biosciences	Liquid	0.046	IVD	https://www.bdbiosciences.com/eu/applications/clinical/hiv-and-aids/clinical-diagnostic-instrument-systems/bd-facscanto-ii-hiv-reagent-kits/6-color-tbnk/p/644611
	TCR	APC	B1	BD Biosciences	Liquid	0.2	RUO	https://www.bdbiosciences.com/eu/reagents/research/antibodies-buffers/immunology-reagents/anti-human-antibodies/cell-surface-antigens/apc-mouse-anti-human-tcr-b1/p/555718
	CD16	PE	B73.1	BD Biosciences	Liquid	0.033	IVD	https://www.bdbiosciences.com/eu/applications/clinical/hiv-and-aids/clinical-diagnostic-instrument-systems/bd-facscanto-ii-hiv-reagent-kits/6-color-tbnk/p/644611
	CD56	PE	NCAM16.2	BD Biosciences	Liquid	0.022	IVD	https://www.bdbiosciences.com/eu/applications/clinical/hiv-and-aids/clinical-diagnostic-instrument-systems/bd-facscanto-ii-hiv-reagent-kits/6-color-tbnk/p/644611
