Supplementary Table 1. Characterization of immunophenotypes. 	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6
D: Reproducibility of immune cell counts						
Reproducibility was assessed between paired samples, using two-sided Pearson's product moment correlation coefficient on the inverse-normalized traits.						
						
Trait type	Panel	Statistical trait name	Trait	N measured	r2	p-value
Relative count	B cell	BC_Trait65	CD20- %lymphocyte	91	0.83082	2.26e-24
Relative count	B cell	BC_Trait39	CD20- %B cell	91	0.86662	1.31e-28
Absolute count	B cell	BC_Trait40	CD20- AC	91	0.93799	1.01e-42
Relative count	B cell	BC_Trait67	CD20- CD38- %lymphocyte	91	0.81875	3.66e-23
Relative count	B cell	BC_Trait43	CD20- CD38- %B cell	91	0.85293	7.38e-27
Absolute count	B cell	BC_Trait44	CD20- CD38- AC	91	0.94385	1.38e-44
Relative count	B cell	BC_Trait64	CD24+ CD27+ %lymphocyte	91	0.73578	9.78e-17
Relative count	B cell	BC_Trait37	CD24+ CD27+ %B cell	91	0.82178	1.86e-23
Absolute count	B cell	BC_Trait38	CD24+ CD27+ AC	91	0.75253	7.95e-18
Relative count	B cell	BC_Trait62	IgD- CD24- %lymphocyte	91	0.72656	3.59e-16
Relative count	B cell	BC_Trait33	IgD- CD24- %B cell	91	0.71889	1.02e-15
Absolute count	B cell	BC_Trait34	IgD- CD24- AC	91	0.71493	1.72e-15
Relative count	B cell	BC_Trait55	IgD- CD27- %lymphocyte	91	0.77934	9.2e-20
Relative count	B cell	BC_Trait19	IgD- CD27- %B cell	91	0.80224	1.21e-21
Absolute count	B cell	BC_Trait20	IgD- CD27- AC	91	0.83595	6.46e-25
Relative count	B cell	BC_Trait49	IgD- CD38- %lymphocyte	91	0.90306	2.01e-34
Relative count	B cell	BC_Trait7	IgD- CD38- %B cell	91	0.90842	1.81e-35
Absolute count	B cell	BC_Trait8	IgD- CD38- AC	91	0.86505	2.12e-28
Relative count	B cell	BC_Trait47	IgD- CD38br %lymphocyte	91	0.03956	0.71
Relative count	B cell	BC_Trait3	IgD- CD38br %B cell	91	0.19665	0.0617
Absolute count	B cell	BC_Trait4	IgD- CD38br AC	91	0.2562	0.0142
Relative count	B cell	BC_Trait48	IgD- CD38dim %lymphocyte	91	0.77542	1.83e-19
Relative count	B cell	BC_Trait5	IgD- CD38dim %B cell	91	0.81654	5.97e-23
Absolute count	B cell	BC_Trait6	IgD- CD38dim AC	91	0.83664	5.44e-25
Relative count	B cell	BC_Trait63	IgD+ CD24- %lymphocyte	91	0.92035	4.72e-38
Relative count	B cell	BC_Trait35	IgD+ CD24- %B cell	91	0.87902	2.25e-30
Absolute count	B cell	BC_Trait36	IgD+ CD24- AC	91	0.86852	7.18e-29
Relative count	B cell	BC_Trait61	IgD+ CD24+ %lymphocyte	91	0.69521	2.08e-14
Relative count	B cell	BC_Trait31	IgD+ CD24+ %B cell	91	0.81254	1.42e-22
Absolute count	B cell	BC_Trait32	IgD+ CD24+ AC	91	0.67902	1.39e-13
Relative count	B cell	BC_Trait52	IgD+ CD38- %lymphocyte	91	0.59055	7.21e-10
Relative count	B cell	BC_Trait13	IgD+ CD38- %B cell	91	0.51963	1.31e-07
Absolute count	B cell	BC_Trait14	IgD+ CD38- AC	91	0.51166	2.18e-07
Relative count	B cell	BC_Trait50	IgD+ CD38br %lymphocyte	91	0.71352	2.08e-15
Relative count	B cell	BC_Trait9	IgD+ CD38br %B cell	91	0.50272	3.81e-07
Absolute count	B cell	BC_Trait10	IgD+ CD38br AC	91	0.74872	1.43e-17
Relative count	B cell	BC_Trait51	IgD+ CD38dim %lymphocyte	91	0.73192	1.7e-16
Relative count	B cell	BC_Trait11	IgD+ CD38dim %B cell	91	0.71898	1.01e-15
Absolute count	B cell	BC_Trait12	IgD+ CD38dim AC	91	0.78534	3.11e-20
Relative count	B cell	BC_Trait58	Memory B cell %lymphocyte	91	0.86494	2.19e-28
Relative count	B cell	BC_Trait25	Memory B cell %B cell	91	0.87108	3.18e-29
Absolute count	B cell	BC_Trait26	Memory B cell AC	91	0.80012	1.84e-21
Relative count	B cell	N_BC_Trait6	Transitional %lymphocyte	91	0.65067	2.93e-12
Relative count	B cell	N_BC_Trait3	Transitional %B cell	91	0.44593	9.43e-06
Absolute count	B cell	N_BC_Trait4	Transitional AC	91	0.7474	1.75e-17
Relative count	B cell	BC_Trait59	Naive-mature B cell %lymphocyte	91	0.91648	3.59e-37
Relative count	B cell	BC_Trait27	Naive-mature B cell %B cell	91	0.89143	2.4e-32
Absolute count	B cell	BC_Trait28	Naive-mature B cell AC	91	0.8689	6.37e-29
Relative count	B cell	BC_Trait59	Naive-mature B cell %lymphocyte	91	0.88252	6.59e-31
Relative count	B cell	BC_Trait27	Naive-mature B cell %B cell	91	0.84856	2.46e-26
Absolute count	B cell	BC_Trait28	Naive-mature B cell AC	91	0.83625	6e-25
Relative count	B cell	BC_Trait54	Unsw Mem %lymphocyte	91	0.83619	6.08e-25
Relative count	B cell	BC_Trait17	Unsw mem %B cell	91	0.85817	1.65e-27
Absolute count	B cell	BC_Trait18	Unsw mem AC	91	0.78453	3.61e-20
Relative count	B cell	BC_Trait57	PB/PC %lymphocyte	91	0.20614	0.05
Relative count	B cell	BC_Trait23	PB/PC %B cell	91	0.26874	0.01
Absolute count	B cell	BC_Trait24	PB/PC AC	91	0.29192	0.00499
Relative count	B cell	BC_Trait56	Sw mem %lymphocyte	91	0.83349	1.18e-24
Relative count	B cell	BC_Trait21	Sw mem %B cell	91	0.90567	6.35e-35
Absolute count	B cell	BC_Trait22	Sw mem AC	91	0.82338	1.29e-23
Relative count	B cell	BC_Trait46	IgD+ %Lymphocyte	91	0.92229	1.64e-38
Relative count	B cell	BC_Trait1	IgD+ %B cell	91	0.90285	2.21e-34
Absolute count	B cell	BC_Trait2	IgD+ AC	91	0.85262	8.05e-27
Absolute count	Monocyte	N_MONO_Trait501	CD14- CD16+ monocyte AC	87	0.34997	0.000891
Relative count	Monocyte	N_MONO_Trait514	CD14- CD16+ monocyte %monocyte	87	0.40817	8.69e-05
Relative count	Monocyte	N_MONO_Trait516	CD14+ CD16- monocyte %monocyte	87	0.45422	9.91e-06
Relative count	Monocyte	N_MONO_Trait517	CD16+ monocyte %monocyte	87	0.45958	7.54e-06
Relative count	Monocyte	N_MONO_Trait515	CD14+ CD16+ monocyte %monocyte	87	0.51776	2.81e-07
Absolute count	Monocyte	N_MONO_Trait503	CD14+ CD16+ monocyte AC	87	0.54088	6.36e-08
Absolute count	Monocyte	N_MONO_Trait513	Monocyte AC	87	0.64413	1.69e-11
Absolute count	Monocyte	N_MONO_Trait507	CD14+ CD16- monocyte AC	87	0.70755	1.84e-14
Absolute count	Monocyte	N_MONO_Trait505	CD14- CD16- AC	87	0.73531	5.07e-16
