Supplementary Table 6. Estimation of causal relationships between traits and diseases.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
D: Mendelian randomization results for the selected exposures and outcomes									
Causal effects of exposures in outcomes have been estimated by random effects Inverse Variance Weighted (IVW), Weighted Median (WM), MR-Egger and MR-PRESSO methods. 									
The Cochran's Q statistic was used to calculate heterogeneity for IVW and MR-Egger methods and to estimate MR-Egger intercept pleiotropy.									
When heterogeneity was significant: IVW was replaced by WM; if IVs>3, MR-PRESSO ws applied to identify and discard significant pleiotropic Ivs (P<0.05).									
After MR-PRESSO filtering, if IVs>3, IWV, WM and MR-Egger were carried out on IVs filtered models.									
All statistical tests applied are two-sided.									
Significance threshold was determined by adjusting the nominal P (0.05) with the number of independent exposures tested (7), obtaining P<7.1x10-3.									
Significant and robust MR results are reported in bold; warning p-values (showing heterogeneity/pleiotropy) are in red. Global models based on all IVs before MR-PRESSO pleiotropy correction are in italics.									
									
Exposure	Outcome	MR Method	N IVs	Causal effect estimate	Standard error	P-value	Q-statistic	Q P-value	MR-PRESSO global p-value
CD27 on IgD- CD38dim	CD	IVW 	3	0.1707848	0.0552993	0.002012561	15.55109	0.0004198782	-
		WM	3	0.1573244	0.02180991	5.455785e-13	-	-	-
		Egger estimate	3	0.1353339	0.03457216	<2E-16	9.07384	0.00259292	-
		Egger intercept	3	0.04069472	0.04816574	0.5533988	-	-	-
		MR-PRESSO raw	not tested	-	-	-	-	-	-
CD27 on IgD- CD38dim	IBD	IVW 	3	0.1635615	0.11510715	0.1553313	97.75014	5.940564e-22	-
		WM	3	0.11305194	0.01862278	1.274132e-09	-	-	-
		Egger estimate	3	0.08034244	0.03486624	0.01	50.63881	1.110276e-12	-
		Egger intercept	3	0.09084582	0.0941855	0.5114893	-	-	-
		MR-PRESSO raw	not tested	-	-	-	-	-	-
