cortex	306.42	49.575	45.665	81.09	34.215	27.79	21.2	40.02	62.21	41.56
endodermis	25.89	294.18	19	26.525	22.025	11.475	13.17	28.59	26.51	27.29
epidermis	22.645	17.015	185.475	14.785	19.415	48.33	10.18	80.52	93.315	50.07
meristems	20.755	13.905	48.77	374.305	25.945	106.935	16.115	15.725	22.03	24.28
pericycle	8.755	10.625	6.285	12.45	336.525	46.515	16.115	8.58	14.965	14.52
phloem	0.705	0.17	0.41	0.765	1.04	904.99	0.62	0.95	0.47	0.5
provascular	46.59	104.855	28.76	68.59	163.95	55.58	283.96	102.435	38.645	101.14
root_cap	3.78	2.765	10.395	2.955	3.92	1.815	2.5	274.435	5.185	14.395
root_hair	3.35	3.11	19.185	2	5.395	3.62	2.185	9.055	288.185	2.25
xylem	4.375	4.84	10.96	7.015	5.745	12.08	6.16	96.24	8.485	302.41
