TraesCSU03G0016400	16.54	10.71	50.42	9.64	26.99	22.96	10.09	49.55	1792.48	11.52
TraesCS7A03G0969300	2.38	5.7	8.0	3.82	4.7	56.79	5.0	88.62	3.06	273.12
TraesCS6B03G0776100	43.24	192.78	37.85	103.22	413.93	101.49	279.99	157.23	46.66	129.93
TraesCS6B03G0945500	34.05	74.11	42.41	75.18	279.32	113.58	290.79	213.45	50.9	121.42
TraesCS1A03G0547600	4.65	3.97	17.2	4.29	6.62	3.62	3.04	12.39	689.23	4.26
TraesCS1A03G0723300	56.75	26.26	125.15	851.26	43.88	206.61	20.53	65.75	43.12	65.84
TraesCS2D03G0468100	7.03	6.22	65.83	7.44	12.02	6.04	5.8	11.43	662.84	6.76
TraesCS2D03G0769800	1.51	0.17	5.31	2.0	1.74	0.0	0.71	1.91	102.5	1.0
TraesCS2D03G0925700	277.94	7.43	7.93	52.95	5.4	2.42	4.46	0.95	14.37	26.54
TraesCS2B03G1047100	42.92	24.87	135.77	1097.59	57.64	414.43	41.34	33.35	36.05	41.31
TraesCS2B03G1468700	1.19	0.69	5.01	0.57	1.92	7.25	1.25	8.58	153.63	0.75
TraesCS3A03G0016400	39.35	319.57	27.15	106.37	100.13	102.7	602.92	191.53	35.11	76.35
TraesCS3A03G0407400	0.86	2.42	0.82	5.91	46.84	693.54	4.02	2.86	2.36	1.75
TraesCS3A03G1146800	67.02	67.2	39.27	74.89	921.55	273.07	28.57	391.64	40.53	49.82
TraesCS5B03G0387000	17.08	10.36	21.84	37.4	16.89	7.25	17.23	367.82	43.12	1962.44
TraesCS5B03G1000500	2.16	1.21	3.59	0.57	2.96	1.21	1.07	15.25	164.94	0.75
TraesCS4A03G0280400	0.43	0.17	4.26	1.05	1.74	0.0	3.39	35.26	2.59	98.13
TraesCS6A03G0197200	33.3	26.95	90.96	761.97	48.41	202.99	22.05	27.63	32.05	41.31
TraesCS6A03G0649500	13.62	76.18	21.54	38.92	181.11	48.33	121.96	81.95	28.28	138.94
TraesCS7B03G0588000	1.62	1.73	1.2	7.06	305.44	194.53	7.59	0.95	5.66	0.75
TraesCS3D03G0013700	29.51	180.51	19.45	77.85	90.73	43.5	327.3	54.32	27.8	101.64
TraesCS3D03G0388000	3.78	4.15	2.47	6.39	55.72	819.2	8.3	1.91	1.89	3.25
TraesCS3D03G0402600	40.0	730.17	32.76	66.88	59.73	22.96	45.53	23.82	45.95	63.59
TraesCS3D03G0402800	6.92	252.37	6.73	8.49	14.11	8.46	6.7	7.62	35.11	19.28
TraesCS3D03G1163600	0.32	0.17	0.22	0.1	0.0	0.0	0.45	249.66	0.0	0.0
TraesCS1B03G0051800	204.43	214.54	65.98	379.41	361.52	419.27	1145.66	222.98	131.72	285.89
TraesCS1B03G0646400	749.27	28.33	46.45	229.92	38.83	24.17	25.0	11.43	93.08	69.34
TraesCS1B03G1035400	43.57	16.76	94.33	742.12	38.31	189.7	18.93	17.15	37.23	56.83
TraesCS5A03G0363500	32.11	28.67	24.69	120.49	157.6	90.62	490.6	95.29	53.72	100.64
TraesCS5A03G0388600	19.78	5.87	28.2	50.85	21.07	15.71	22.95	311.6	38.17	2402.04
TraesCS1D03G0043400	0.22	0.0	0.37	0.19	0.35	2.42	0.27	303.02	0.0	0.25
TraesCS1D03G0049400	4.97	4.84	17.65	16.5	11.84	3.62	4.91	300.16	16.26	1152.08
TraesCS1D03G0527600	6.05	3.45	27.38	4.67	9.23	7.25	4.11	18.11	699.37	3.5
TraesCS2A03G0412800	58.7	115.39	40.02	84.91	339.23	68.87	447.48	221.07	46.66	191.76
TraesCS2A03G0749000	7.68	366.04	10.92	24.8	10.8	4.83	5.09	5.72	25.21	39.3
TraesCS2A03G0988000	269.83	7.26	8.45	41.69	11.67	1.21	5.0	4.76	11.55	15.77
TraesCS2A03G1032300	0.11	0.17	0.07	0.0	0.0	1.21	0.0	283.01	0.0	0.0
TraesCS2A03G1281500	1.84	1.38	7.03	0.76	3.48	1.21	1.34	5.72	193.46	0.5
TraesCS3B03G0508500	12.97	282.78	7.18	12.69	10.27	7.25	6.25	7.62	45.01	19.78
TraesCS3B03G0705000	110.05	101.4	148.56	44.93	147.5	54.37	158.3	232.51	349.68	479.16
TraesCS3B03G1268400	0.11	0.0	0.37	0.1	0.17	1.21	0.27	341.14	0.94	0.0
TraesCS3B03G1338300	2.16	2.07	2.17	4.01	101.0	54.37	1.87	0.95	5.42	2.25
TraesCS4B03G0178500	8.0	6.91	33.21	4.1	13.06	15.71	5.54	26.68	1126.1	6.76
TraesCS4B03G0486500	0.43	0.0	2.17	1.24	1.04	0.0	3.12	32.4	1.65	76.6
TraesCS4B03G0567900	32.43	31.09	90.21	733.82	27.69	207.82	17.77	45.74	29.69	53.57
TraesCS4B03G0840800	68.54	79.98	51.69	518.41	3230.83	1954.97	799.6	132.45	194.87	193.01
TraesCS7D03G0728800	1.84	3.45	1.42	10.97	431.0	283.94	9.29	0.95	19.09	3.0
TraesCSU03G0052100	0.22	0.0	0.15	0.19	1.04	415.64	0.18	0.0	0.0	0.25
