TraesCS1A03G0053300	root_cap	TraesCS1A03G0053300	0.22	0.35	0.6	0.0	0.7	1.21	0.36	277.29	0.94	0.5
TraesCS1A03G0062800	xylem	TraesCS1A03G0062800	9.41	2.42	14.29	19.18	10.45	3.62	6.16	203.92	24.74	1043.18
TraesCS1A03G0062800	root_cap	TraesCS1A03G0062800	9.41	2.42	14.29	19.18	10.45	3.62	6.16	203.92	24.74	1043.18
TraesCS1A03G0090500	meristems	TraesCS1A03G0090500	11.24	7.6	47.8	401.92	16.2	159.49	8.66	7.62	12.25	17.02
TraesCS1A03G0090800	meristems	TraesCS1A03G0090800	23.24	13.3	75.55	610.85	32.91	259.78	23.12	19.06	23.56	31.29
TraesCS1A03G0117100	endodermis	TraesCS1A03G0117100	34.7	393.33	21.02	26.43	56.07	14.5	13.04	59.08	24.51	42.81
TraesCS1A03G0283800	root_cap	TraesCS1A03G0283800	105.08	22.28	96.27	23.18	37.09	61.62	8.3	311.6	78.0	34.05
TraesCS1A03G0459700	meristems	TraesCS1A03G0459700	3.03	2.94	7.85	9.16	8.36	1.21	5.27	1.91	4.01	2.25
TraesCS1A03G0483700	provascular	TraesCS1A03G0483700	249.94	621.69	167.64	233.54	693.08	275.48	829.15	454.53	239.88	888.22
TraesCS1A03G0502500	root_cap	TraesCS1A03G0502500	192.53	121.44	380.98	152.45	111.45	91.83	39.37	757.56	256.14	327.95
TraesCS1A03G0526900	meristems	TraesCS1A03G0526900	1.41	1.73	5.39	2.48	6.44	0.0	2.05	1.91	20.74	0.25
TraesCS1A03G0535100	provascular	TraesCS1A03G0535100	21.51	47.33	22.07	52.76	290.47	45.91	191.15	86.71	33.7	147.95
TraesCS1A03G0535100	pericycle	TraesCS1A03G0535100	21.51	47.33	22.07	52.76	290.47	45.91	191.15	86.71	33.7	147.95
TraesCS1A03G0542400	epidermis	TraesCS1A03G0542400	97.08	43.01	393.77	43.79	36.57	62.83	17.41	262.05	330.36	91.12
TraesCS1A03G0542800	phloem	TraesCS1A03G0542800	1.3	3.45	4.26	3.15	8.88	799.87	42.41	0.95	1.65	4.26
