analysis	parameter	value
design	matrix_header	1000 2455 2410284
design	cells	2455
design	control_guides	guide_001,guide_002,guide_003,guide_004,guide_005,guide_006,guide_007,guide_008,guide_009,guide_010
design	control_cells	500
panel20	genes	STAT1,ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CXCL11,IRF7,BST2,IFI6,STAT2,EIF2AK2,GBP1,GBP2,IDO1
hallmark	genes	STAT1,ISG15,IFIT1,IFIT2,IFIT3,OAS1,OAS2,OAS3,CXCL10,IRF7,BST2,EIF2AK2,GBP1,GBP2,IDO1,TRIM14,TRIM21,CCL5,B2M,CD38

SUMMARY_PANEL20
rank	guide	target	n	mean_total	score_delta	control_consistency	gene_median_delta	gene_mean_delta	gene_down_fraction	robust
1	guide_011	STAT1	5	4154.80	-3.135543	1.000	-3.355193	-3.102436	1.000	False
2	guide_012	ISG15	50	4187.06	-0.661325	1.000	-0.644690	-0.673869	1.000	True
3	guide_007	Non-Targeting	50	4289.18	-0.015433	0.900	-0.007157	-0.012511	0.550	False
4	guide_008	Non-Targeting	50	4285.38	-0.012309	0.800	-0.010567	-0.012747	0.600	False
5	guide_026	CD39	50	4295.06	-0.012073	0.800	0.002639	-0.007059	0.450	False
6	guide_045	CD149	50	4315.38	-0.011560	0.800	-0.003673	-0.015611	0.550	False
7	guide_033	CD83	50	4285.74	-0.009132	0.800	0.000881	-0.001624	0.450	False
8	guide_050	ZNF101	50	4287.84	-0.006818	0.800	0.008730	0.000029	0.350	False
9	guide_034	ZNF159	50	4297.50	-0.006542	0.800	-0.003895	-0.003948	0.550	False
10	guide_006	Non-Targeting	50	4286.50	-0.006122	0.700	-0.003596	-0.000044	0.500	False
11	guide_023	ATP27	50	4298.38	-0.005489	0.700	0.005041	-0.000874	0.450	False
12	guide_021	CD92	50	4298.92	-0.004358	0.700	0.005981	0.005403	0.450	False
13	guide_022	ZNF264	50	4292.56	-0.003827	0.700	-0.007927	-0.011481	0.600	False
14	guide_029	MAPK1	50	4301.30	-0.003072	0.700	0.000390	-0.000320	0.500	False
15	guide_047	ATP49	50	4300.34	-0.003032	0.700	-0.012303	-0.011101	0.650	False
16	guide_030	ZNF361	50	4298.92	-0.003018	0.700	-0.003060	-0.000707	0.550	False
17	guide_014	ZNF326	50	4276.10	-0.002312	0.700	-0.005652	-0.012843	0.550	False
18	guide_009	Non-Targeting	50	4278.68	-0.001611	0.600	-0.002606	-0.008156	0.600	False
19	guide_042	ZNF315	50	4306.84	-0.000912	0.600	-0.012171	-0.016529	0.600	False
20	guide_003	Non-Targeting	50	4296.24	-0.000720	0.500	-0.000261	-0.001121	0.500	False
21	guide_004	Non-Targeting	50	4306.24	0.000720	0.400	-0.000263	0.002453	0.500	False
22	guide_041	ZNF359	50	4300.66	0.001145	0.400	0.001975	-0.001109	0.500	False
23	guide_017	TRIM23	50	4301.96	0.001193	0.400	-0.004509	0.000073	0.550	False
24	guide_043	TRIM5	50	4295.82	0.003735	0.400	0.002055	0.000288	0.500	False
25	guide_035	CCL8	50	4311.86	0.004063	0.400	0.004127	-0.003290	0.400	False
26	guide_038	TRIM33	50	4292.16	0.004560	0.400	0.014844	0.010617	0.400	False
27	guide_016	SOX28	50	4290.90	0.005139	0.400	-0.001937	-0.015799	0.550	False
28	guide_024	ZNF115	50	4283.34	0.005709	0.400	0.004703	-0.000058	0.450	False
29	guide_031	ZNF329	50	4292.88	0.005974	0.400	-0.004145	-0.006782	0.550	False
30	guide_015	RPL27	50	4289.58	0.006055	0.400	0.010747	0.010572	0.400	False
31	guide_049	ZNF271	50	4286.02	0.006260	0.400	0.002412	-0.007664	0.450	False
32	guide_037	HOXA1	50	4302.96	0.007133	0.400	0.001450	0.006809	0.450	False
33	guide_018	ZNF20	50	4304.66	0.009247	0.400	0.011004	0.010360	0.450	False
34	guide_044	CD69	50	4295.92	0.009338	0.400	0.010132	0.010875	0.400	False
35	guide_010	Non-Targeting	50	4294.00	0.009353	0.300	-0.000969	0.006261	0.550	False
36	guide_036	ZNF324	50	4297.28	0.010393	0.300	-0.005013	0.008543	0.550	False
37	guide_040	ATP9	50	4299.72	0.010606	0.300	0.010573	0.006138	0.350	False
38	guide_039	ZNF209	50	4304.48	0.011634	0.300	-0.000299	-0.002759	0.500	False
39	guide_027	MAPK2	50	4280.54	0.012002	0.300	0.016672	0.013737	0.300	False
40	guide_001	Non-Targeting	50	4296.76	0.012238	0.200	0.012683	0.007534	0.350	False
41	guide_002	Non-Targeting	50	4299.64	0.012481	0.100	0.001509	0.006223	0.450	False
42	guide_028	ZNF122	50	4310.70	0.012918	0.100	-0.010199	-0.003391	0.600	False
43	guide_020	HOXB5	50	4302.76	0.014184	0.100	0.011384	0.020514	0.400	False
44	guide_005	Non-Targeting	50	4303.28	0.014402	0.000	0.007336	0.009507	0.400	False
45	guide_032	TRIM20	50	4283.68	0.014898	0.000	0.008228	0.006247	0.350	False
46	guide_048	SLC2A1	50	4288.48	0.017239	0.000	0.021464	0.011539	0.400	False
47	guide_019	IL6	50	4303.24	0.019317	0.000	-0.007892	0.012624	0.550	False
48	guide_013	CD103	50	4298.90	0.022719	0.000	0.004102	0.008124	0.350	False
49	guide_025	ZNF205	50	4292.12	0.025378	0.000	0.008443	0.006009	0.350	False
50	guide_046	ZNF90	50	4297.88	0.026019	0.000	0.006159	0.021124	0.450	False

SUMMARY_HALLMARK_OVERLAP
rank	guide	target	n	mean_total	score_delta	control_consistency	gene_median_delta	gene_mean_delta	gene_down_fraction	robust
