metric	value
matrix_header	1000 2455 2410284
cells	2455
controls	500
control_guides	guide_001,guide_002,guide_003,guide_004,guide_005,guide_006,guide_007,guide_008,guide_009,guide_010
observed_20_panel	STAT1,ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CXCL11,IRF7,BST2,IFI6,STAT2,EIF2AK2,GBP1,GBP2,IDO1
hallmark_overlap	STAT1,ISG15,IFIT1,IFIT2,IFIT3,OAS1,OAS2,OAS3,CXCL10,IRF7,BST2,EIF2AK2,GBP1,GBP2,IDO1,TRIM14,TRIM21,CCL5,B2M,CD38
observed_20_control_median	3.32414873
observed_20_control_MAD	0.04322296
hallmark_control_median	3.17555192
hallmark_control_MAD	0.05979909
ranked_by_observed_20_panel
rank	guide	target	n	mean_total	median_score	delta_vs_NT	robust_z
1	guide_011	STAT1	5	4154.80	0.186060	-3.138088	-48.970
2	guide_012	ISG15	50	4187.06	2.660278	-0.663871	-10.360
3	guide_007	Non-Targeting	50	4289.18	3.306170	-0.017979	-0.281
4	guide_008	Non-Targeting	50	4285.38	3.309294	-0.014855	-0.232
5	guide_026	CD39	50	4295.06	3.309530	-0.014619	-0.228
6	guide_045	CD149	50	4315.38	3.310043	-0.014106	-0.220
7	guide_033	CD83	50	4285.74	3.312471	-0.011678	-0.182
8	guide_050	ZNF101	50	4287.84	3.314785	-0.009364	-0.146
9	guide_034	ZNF159	50	4297.50	3.315061	-0.009088	-0.142
10	guide_006	Non-Targeting	50	4286.50	3.315481	-0.008668	-0.135
11	guide_023	ATP27	50	4298.38	3.316114	-0.008035	-0.125
12	guide_021	CD92	50	4298.92	3.317245	-0.006904	-0.108
13	guide_022	ZNF264	50	4292.56	3.317776	-0.006373	-0.099
14	guide_029	MAPK1	50	4301.30	3.318531	-0.005618	-0.088
15	guide_047	ATP49	50	4300.34	3.318571	-0.005578	-0.087
16	guide_030	ZNF361	50	4298.92	3.318585	-0.005564	-0.087
17	guide_014	ZNF326	50	4276.10	3.319291	-0.004857	-0.076
18	guide_009	Non-Targeting	50	4278.68	3.319992	-0.004157	-0.065
19	guide_042	ZNF315	50	4306.84	3.320691	-0.003457	-0.054
20	guide_003	Non-Targeting	50	4296.24	3.320882	-0.003266	-0.051
21	guide_004	Non-Targeting	50	4306.24	3.322323	-0.001826	-0.028
22	guide_041	ZNF359	50	4300.66	3.322747	-0.001401	-0.022
23	guide_017	TRIM23	50	4301.96	3.322796	-0.001353	-0.021
24	guide_043	TRIM5	50	4295.82	3.325338	0.001189	0.019
25	guide_035	CCL8	50	4311.86	3.325666	0.001517	0.024
26	guide_038	TRIM33	50	4292.16	3.326162	0.002014	0.031
27	guide_016	SOX28	50	4290.90	3.326742	0.002593	0.040
28	guide_024	ZNF115	50	4283.34	3.327312	0.003163	0.049
29	guide_031	ZNF329	50	4292.88	3.327577	0.003428	0.054
30	guide_015	RPL27	50	4289.58	3.327658	0.003509	0.055
31	guide_049	ZNF271	50	4286.02	3.327863	0.003714	0.058
32	guide_037	HOXA1	50	4302.96	3.328736	0.004587	0.072
33	guide_018	ZNF20	50	4304.66	3.330850	0.006701	0.105
34	guide_044	CD69	50	4295.92	3.330941	0.006792	0.106
35	guide_010	Non-Targeting	50	4294.00	3.330956	0.006807	0.106
36	guide_036	ZNF324	50	4297.28	3.331996	0.007847	0.122
37	guide_040	ATP9	50	4299.72	3.332209	0.008060	0.126
38	guide_039	ZNF209	50	4304.48	3.333237	0.009088	0.142
39	guide_027	MAPK2	50	4280.54	3.333604	0.009456	0.148
40	guide_001	Non-Targeting	50	4296.76	3.333840	0.009692	0.151
41	guide_002	Non-Targeting	50	4299.64	3.334084	0.009935	0.155
42	guide_028	ZNF122	50	4310.70	3.334521	0.010372	0.162
43	guide_020	HOXB5	50	4302.76	3.335787	0.011638	0.182
44	guide_005	Non-Targeting	50	4303.28	3.336004	0.011856	0.185
45	guide_032	TRIM20	50	4283.68	3.336501	0.012352	0.193
46	guide_048	SLC2A1	50	4288.48	3.338842	0.014693	0.229
47	guide_019	IL6	50	4303.24	3.340920	0.016771	0.262
48	guide_013	CD103	50	4298.90	3.344322	0.020173	0.315
49	guide_025	ZNF205	50	4292.12	3.346980	0.022832	0.356
50	guide_046	ZNF90	50	4297.88	3.347622	0.023473	0.366
ranked_by_hallmark_overlap
rank	guide	target	n	mean_total	median_score	delta_vs_NT	robust_z
1	guide_011	STAT1	5	4154.80	0.825347	-2.350205	-26.509
2	guide_012	ISG15	50	4187.06	2.677742	-0.497809	-5.615
3	guide_029	MAPK1	50	4301.30	3.153085	-0.022467	-0.253
4	guide_023	ATP27	50	4298.38	3.153323	-0.022229	-0.251
5	guide_037	HOXA1	50	4302.96	3.155401	-0.020151	-0.227
6	guide_040	ATP9	50	4299.72	3.155555	-0.019997	-0.226
7	guide_033	CD83	50	4285.74	3.157405	-0.018147	-0.205
8	guide_017	TRIM23	50	4301.96	3.160187	-0.015365	-0.173
9	guide_022	ZNF264	50	4292.56	3.160418	-0.015134	-0.171
10	guide_034	ZNF159	50	4297.50	3.161348	-0.014204	-0.160
11	guide_006	Non-Targeting	50	4286.50	3.163471	-0.012081	-0.136
12	guide_026	CD39	50	4295.06	3.164071	-0.011481	-0.129
13	guide_039	ZNF209	50	4304.48	3.164121	-0.011431	-0.129
14	guide_016	SOX28	50	4290.90	3.164217	-0.011335	-0.128
15	guide_021	CD92	50	4298.92	3.165029	-0.010522	-0.119
16	guide_009	Non-Targeting	50	4278.68	3.165340	-0.010212	-0.115
17	guide_030	ZNF361	50	4298.92	3.165453	-0.010099	-0.114
18	guide_003	Non-Targeting	50	4296.24	3.165743	-0.009809	-0.111
19	guide_005	Non-Targeting	50	4303.28	3.167282	-0.008270	-0.093
20	guide_049	ZNF271	50	4286.02	3.167478	-0.008074	-0.091
21	guide_014	ZNF326	50	4276.10	3.167904	-0.007648	-0.086
22	guide_047	ATP49	50	4300.34	3.167912	-0.007640	-0.086
23	guide_007	Non-Targeting	50	4289.18	3.169267	-0.006285	-0.071
24	guide_004	Non-Targeting	50	4306.24	3.169902	-0.005650	-0.064
25	guide_024	ZNF115	50	4283.34	3.171886	-0.003666	-0.041
26	guide_045	CD149	50	4315.38	3.173206	-0.002346	-0.026
27	guide_028	ZNF122	50	4310.70	3.173361	-0.002191	-0.025
28	guide_020	HOXB5	50	4302.76	3.173775	-0.001777	-0.020
29	guide_027	MAPK2	50	4280.54	3.176725	0.001173	0.013
30	guide_008	Non-Targeting	50	4285.38	3.177613	0.002061	0.023
31	guide_043	TRIM5	50	4295.82	3.178067	0.002515	0.028
32	guide_041	ZNF359	50	4300.66	3.179444	0.003892	0.044
33	guide_018	ZNF20	50	4304.66	3.180526	0.004975	0.056
34	guide_035	CCL8	50	4311.86	3.181260	0.005708	0.064
35	guide_038	TRIM33	50	4292.16	3.181734	0.006182	0.070
36	guide_048	SLC2A1	50	4288.48	3.181833	0.006281	0.071
37	guide_002	Non-Targeting	50	4299.64	3.181886	0.006334	0.071
38	guide_025	ZNF205	50	4292.12	3.182358	0.006806	0.077
39	guide_042	ZNF315	50	4306.84	3.184072	0.008520	0.096
40	guide_010	Non-Targeting	50	4294.00	3.184833	0.009281	0.105
41	guide_013	CD103	50	4298.90	3.186255	0.010703	0.121
42	guide_031	ZNF329	50	4292.88	3.186373	0.010821	0.122
43	guide_001	Non-Targeting	50	4296.76	3.186473	0.010921	0.123
44	guide_032	TRIM20	50	4283.68	3.187560	0.012008	0.135
45	guide_050	ZNF101	50	4287.84	3.187793	0.012241	0.138
46	guide_019	IL6	50	4303.24	3.187995	0.012443	0.140
47	guide_036	ZNF324	50	4297.28	3.193687	0.018135	0.205
48	guide_015	RPL27	50	4289.58	3.194767	0.019216	0.217
49	guide_044	CD69	50	4295.92	3.194914	0.019362	0.218
50	guide_046	ZNF90	50	4297.88	3.214710	0.039158	0.442
