metric	value
analysis_method	classical PCA via R prcomp
matrix_orientation	samples as rows; genes as columns
raw_expression_sample_columns	222
raw_expression_unique_sample_ids	199
metadata_rows	222
metadata_unique_projids	199
repeated_primary_id_groups	21
excluded_unresolved_sample_columns	44
fitted_resolved_samples	178
raw_gene_rows	2456
retained_positive_variance_genes	2456
removed_zero_variance_genes	0
transform	log10(x + 1)
pseudocount	1
centering	feature-centered
scaling	unscaled
requested_components	100
fitted_components	100
total_variance_denominator	sum of variances over all retained genes
pc1_explained_variance_ratio	0.55971150241111756
pc1_explained_variance_percent	55.971150241111758
