component	eigenvalue	explained_variance_ratio	explained_variance_percent	cumulative_explained_variance_percent
1	49.6065709302939	0.559711502411118	55.9711502411118	55.9711502411118
2	12.5225827852087	0.141292443588284	14.1292443588284	70.1003945999402
3	6.11261469368261	0.0689687009140161	6.89687009140161	76.9972646913418
4	2.5372915322033	0.0286282891341166	2.86282891341166	79.8600936047535
5	2.26699845344876	0.0255785692610455	2.55785692610455	82.417950530858
6	2.02028117129257	0.0227948553683744	2.27948553683744	84.6974360676954
7	1.49647744910875	0.0168847720303423	1.68847720303423	86.3859132707297
8	1.20052630810349	0.0135455519498996	1.35455519498996	87.7404684657196
9	1.09940542769897	0.0124046039094499	1.24046039094499	88.9809288566646
10	0.923120235695318	0.0104155760887637	1.04155760887637	90.022486465541
11	0.713126122010585	0.00804621012244584	0.804621012244584	90.8271074777856
12	0.599478708925937	0.00676392507169867	0.676392507169867	91.5034999849555
13	0.510356313561398	0.00575835607403387	0.575835607403387	92.0793355923588
14	0.392065287278167	0.00442367708290232	0.442367708290232	92.5217033006491
15	0.361204039923739	0.00407546927899463	0.407546927899463	92.9292502285485
16	0.354284414544153	0.00399739506735899	0.399739506735899	93.3289897352844
17	0.322703082126504	0.00364106253551627	0.364106253551627	93.693095988836
18	0.267826709833811	0.00302189180456664	0.302189180456664	93.9952851692927
19	0.247905046400894	0.00279711545011483	0.279711545011483	94.2749967143042
20	0.241214439376333	0.00272162525517631	0.272162525517631	94.5471592398218
21	0.20381435423252	0.00229963967033187	0.229963967033187	94.777123206855
22	0.197967658041991	0.0022336713309048	0.22336713309048	95.0004903399455
23	0.164565260574625	0.00185679170145282	0.185679170145282	95.1861695100908
24	0.157532313966743	0.00177743888511311	0.177743888511311	95.3639133986021
25	0.147349198496709	0.00166254267777461	0.166254267777461	95.5301676663796
26	0.135857693362029	0.00153288389501104	0.153288389501104	95.6834560558807
27	0.133484890006301	0.00150611152783761	0.150611152783761	95.8340672086644
28	0.12876616902216	0.00145287014545695	0.145287014545695	95.9793542232101
29	0.123638712099983	0.00139501699085184	0.139501699085184	96.1188559222953
30	0.118174013127119	0.00133335873036405	0.133335873036405	96.2521917953317
31	0.109670321566745	0.00123741148204516	0.123741148204516	96.3759329435362
32	0.103157420872614	0.0011639263496483	0.11639263496483	96.4923255785011
33	0.0983432026228474	0.00110960747053654	0.110960747053654	96.6032863255547
34	0.0936608706850076	0.00105677666617801	0.105677666617801	96.7089639921725
35	0.0861548873880364	0.000972086571510433	0.0972086571510433	96.8061726493235
36	0.0786512415598744	0.000887422850529938	0.0887422850529938	96.8949149343765
37	0.0755926007457333	0.000852912171534923	0.0852912171534923	96.98020615153
38	0.0742289720023648	0.000837526332958129	0.0837526332958129	97.0639587848258
39	0.071275341536297	0.000804200486911381	0.0804200486911381	97.144378833517
40	0.0672155765719357	0.000758394112775349	0.0758394112775349	97.2202182447945
41	0.0646532948301854	0.000729483858823491	0.0729483858823491	97.2931666306769
42	0.0638295832557542	0.000720189911787197	0.0720189911787198	97.3651856218556
43	0.0595809333124531	0.00067225234629158	0.067225234629158	97.4324108564847
44	0.055963823749159	0.000631440458066089	0.0631440458066089	97.4955549022913
45	0.0558298299568909	0.000629928604588261	0.062992860458826	97.5585477627502
46	0.0530406381353682	0.000598458121632868	0.0598458121632868	97.6183935749135
47	0.0492362530551456	0.000555533201625921	0.0555533201625921	97.6739468950761
48	0.0467629823324045	0.000527627260011048	0.0527627260011048	97.7267096210772
49	0.0463353518124147	0.000522802300004103	0.0522802300004103	97.7789898510776
50	0.0454398253553337	0.000512698064832395	0.0512698064832395	97.8302596575608
51	0.0449347285767561	0.000506999052151233	0.0506999052151233	97.8809595627759
52	0.0439393304232133	0.000495767963495669	0.0495767963495669	97.9305363591255
53	0.0429298931851588	0.000484378471690337	0.0484378471690337	97.9789742062945
54	0.0412346735778418	0.00046525128963493	0.046525128963493	98.025499335258
55	0.0405507520706773	0.000457534595513012	0.0457534595513012	98.0712527948093
56	0.038237429862042	0.000431433354796823	0.0431433354796823	98.114396130289
57	0.0373522302836553	0.000421445637914544	0.0421445637914544	98.1565406940805
58	0.0366341885175745	0.000413343964524304	0.0413343964524304	98.1978750905329
59	0.035376478196651	0.000399153204709212	0.0399153204709212	98.2377904110038
60	0.0350849056922786	0.000395863388835558	0.0395863388835558	98.2773767498874
61	0.0331900549544052	0.00037448376647	0.037448376647	98.3148251265344
62	0.0327856120850818	0.000369920432988503	0.0369920432988503	98.3518171698332
63	0.0321262821795199	0.000362481206186369	0.0362481206186369	98.3880652904519
64	0.0316510365914413	0.00035711900482616	0.035711900482616	98.4237771909345
65	0.0306126975535502	0.000345403413685486	0.0345403413685486	98.458317532303
66	0.0301505240268225	0.000340188704541755	0.0340188704541755	98.4923364027572
67	0.0297138775618624	0.000335262017525456	0.0335262017525456	98.5258626045098
68	0.0288616322861855	0.000325646124414397	0.0325646124414397	98.5584272169512
69	0.0280572273514352	0.000316570014412586	0.0316570014412585	98.5900842183924
70	0.0273903309939351	0.000309045415247418	0.0309045415247418	98.6209887599172
71	0.0260419798238784	0.00029383195370357	0.029383195370357	98.6503719552875
72	0.0256598638792568	0.000289520535166701	0.0289520535166701	98.6793240088042
73	0.0250961253546286	0.000283159866999775	0.0283159866999775	98.7076399955042
74	0.0245523310432554	0.000277024229617199	0.0277024229617199	98.7353424184659
75	0.0238501404644449	0.000269101405352703	0.0269101405352703	98.7622525590012
76	0.0232592577645736	0.000262434469148658	0.0262434469148658	98.788496005916
77	0.022673832718121	0.000255829111710033	0.0255829111710033	98.814078917087
78	0.0224961875661274	0.000253824739445357	0.0253824739445357	98.8394613910316
79	0.0217871558240369	0.000245824726257985	0.0245824726257985	98.8640438636574
80	0.0214925553024045	0.000242500745231244	0.0242500745231244	98.8882939381805
81	0.0213361578196375	0.000240736110659429	0.0240736110659429	98.9123675492465
82	0.0207508520804168	0.000234132099365654	0.0234132099365654	98.935780759183
83	0.0200566570590146	0.000226299489066077	0.0226299489066077	98.9584107080896
84	0.0199157387600652	0.00022470950630083	0.022470950630083	98.9808816587197
85	0.0194439451772873	0.000219386253955579	0.0219386253955579	99.0028202841153
86	0.018989778680476	0.000214261888221203	0.0214261888221203	99.0242464729374
