gene	log2_fold_change	p_value	fdr
CFLAR	-0.060713295616615766	0.5631998705858241	0.7821308212508674
ARF5	0.10931533098793225	0.4560312621596414	0.7075320620853954
SKAP2	-0.09378086573616154	0.5338449203729896	0.7605826432831527
POLR2J	-0.010079502642290466	0.9326082754251475	0.9713536629610319
KMT2E	0.05329607846307219	0.6059538727789193	0.8025098092688375
MYCBP2	0.07560184422486897	0.5870514029638718	0.7914117498446914
FBXL3	0.10639442307231219	0.5080674422922762	0.7407602725876776
ITGAL	0.20306406546681577	0.20269824947410908	0.4592404641198836
KDM7A	0.09152598302011122	0.6374109037705245	0.8255302604594726
IFRD1	0.046995951575312285	0.8498962432745419	0.9320803213316984
PAFAH1B1	-0.19615979227854285	0.1316616859914386	0.37113989967380384
PSMB1	-0.36215241086452293	0.001193926509465632	0.026248015108098276
JARID2	-0.05769745058546976	0.7459772196415253	0.8992334060640998
CDKL5	0.8780216103945286	2.4507194378225374e-06	0.0005587420837043911
SPAG9	0.3442733482879659	0.0037623568826057243	0.046348344700375695
ST3GAL1	-0.11296024438225184	0.5756399493476257	0.7906095695253627
SEC62	-0.0029272952256293883	0.9849773474307867	0.9926182154291919
RPS20	0.1142056390475345	0.2298546983989781	0.4902423343464771
CSDE1	0.07359636700010783	0.43119831451095314	0.6813183295149741
ZNF207	0.04788981849011034	0.5604937555409955	0.7814103187005683
IDS	0.3566399651609949	0.05254331642559438	0.21881934605685302
BTK	0.317516528445349	0.019752621410244826	0.12947933942770576
AKAP8L	0.03114149226996078	0.8296951979440554	0.9317644849406593
SLC25A39	-0.3031653451557351	0.12145940969772474	0.35639743276088554
CLK1	0.34824398627506303	0.017108876035892517	0.11868244589946798
RNF14	-0.18188152571071825	0.34847263673840523	0.614774565307631
CAPN1	-0.059269646192294	0.7410925502554833	0.897629353095957
WAS	-0.2464539780130706	0.06695794227704026	0.2493795811580103
RALBP1	-0.3244237408666007	0.062368309744337644	0.24087652601259052
CD74	0.20146931357653106	0.32346519537454876	0.5956956244780245
SERPINB1	-0.2982541995335681	0.019972806149860464	0.13008562525339165
RTF2	-0.15086398825536448	0.3889410587314759	0.6425396218812474
RNF10	0.19926013583531085	0.06077376697375992	0.2366368201784821
RB1CC1	0.20093801776518466	0.21992063582131194	0.4776087972471957
STRAP	-0.19788868900181714	0.3234848177711316	0.5956956244780245
UBR2	0.15396667756230165	0.35021578373504536	0.6148646063854453
PHF20	0.17348084854953855	0.1430929619034753	0.38388836777035773
TYMP	-0.26458140953198256	0.12997283655123448	0.36924688555012736
VIM	-0.347343782794738	0.036515050704994036	0.18055365902227155
RNASET2	-0.08601224043484028	0.4792041842500453	0.7198221320226121
PIAS1	0.04824987028028585	0.7353182775640887	0.8950339170690654
MAP2K3	0.0570177344206624	0.6851391218520626	0.8641339851073234
TMSB10	-0.35927142128178735	0.03537755799353175	0.17676409221243658
GABARAPL2	-0.041788970646276805	0.7183681367717962	0.886084806233668
CUL3	-0.13733384671661575	0.32787205144529363	0.5991421591210572
