metric	value
exo_only_to_endo_read_count	186
exo_only_to_endo_with_shared_substring_at_least_50	0
exo_only_to_endo_with_shared_substring_at_least_45	81
exo_only_to_endo_with_shared_substring_at_least_40	128
exo_only_to_endo_with_shared_substring_at_least_35	147
exo_only_to_endo_with_shared_substring_at_least_30	166
exo_only_to_endo_with_shared_substring_at_least_25	180
exo_only_to_endo_with_shared_substring_at_least_20	185
exo_only_to_endo_with_shared_substring_at_least_15	185
exo_only_to_endo_best_overlap_distribution	0:1,20:5,25:14,30:19,35:19,40:47,45:81
mix_neither_to_endo_read_count	90
mix_neither_to_endo_with_shared_substring_at_least_50	0
mix_neither_to_endo_with_shared_substring_at_least_45	38
mix_neither_to_endo_with_shared_substring_at_least_40	60
mix_neither_to_endo_with_shared_substring_at_least_35	73
mix_neither_to_endo_with_shared_substring_at_least_30	79
mix_neither_to_endo_with_shared_substring_at_least_25	87
mix_neither_to_endo_with_shared_substring_at_least_20	88
mix_neither_to_endo_with_shared_substring_at_least_15	90
mix_neither_to_endo_best_overlap_distribution	15:2,20:1,25:8,30:6,35:13,40:22,45:38
mix_neither_to_exo_read_count	90
mix_neither_to_exo_with_shared_substring_at_least_50	0
mix_neither_to_exo_with_shared_substring_at_least_45	48
mix_neither_to_exo_with_shared_substring_at_least_40	75
mix_neither_to_exo_with_shared_substring_at_least_35	84
mix_neither_to_exo_with_shared_substring_at_least_30	86
mix_neither_to_exo_with_shared_substring_at_least_25	89
mix_neither_to_exo_with_shared_substring_at_least_20	90
mix_neither_to_exo_with_shared_substring_at_least_15	90
mix_neither_to_exo_best_overlap_distribution	20:1,25:3,30:2,35:9,40:27,45:48
mix_category_both	412
mix_category_exo_only	189
mix_category_endo_only	0
mix_category_neither	90
