metric	value
holdout_exo_reads_fold2_alpha0_01	592
holdout_exo_correct_fold2_alpha0_01	6
holdout_endo_reads_fold2_alpha0_01	395
holdout_endo_correct_fold2_alpha0_01	389
holdout_balanced_accuracy_fold2_alpha0_01	0.497473
holdout_exo_only_membership_fold2_alpha0_01	6
holdout_endo_only_membership_fold2_alpha0_01	0
holdout_reads_in_both_training_sets_fold2_alpha0_01	22
holdout_exo_reads_fold2_alpha0_1	592
holdout_exo_correct_fold2_alpha0_1	6
holdout_endo_reads_fold2_alpha0_1	395
holdout_endo_correct_fold2_alpha0_1	389
holdout_balanced_accuracy_fold2_alpha0_1	0.497473
holdout_exo_only_membership_fold2_alpha0_1	6
holdout_endo_only_membership_fold2_alpha0_1	0
holdout_reads_in_both_training_sets_fold2_alpha0_1	22
holdout_exo_reads_fold2_alpha1_0	592
holdout_exo_correct_fold2_alpha1_0	6
holdout_endo_reads_fold2_alpha1_0	395
holdout_endo_correct_fold2_alpha1_0	389
holdout_balanced_accuracy_fold2_alpha1_0	0.497473
holdout_exo_only_membership_fold2_alpha1_0	6
holdout_endo_only_membership_fold2_alpha1_0	0
holdout_reads_in_both_training_sets_fold2_alpha1_0	22
holdout_exo_reads_fold3_alpha0_01	592
holdout_exo_correct_fold3_alpha0_01	8
holdout_endo_reads_fold3_alpha0_01	395
holdout_endo_correct_fold3_alpha0_01	387
holdout_balanced_accuracy_fold3_alpha0_01	0.496630
holdout_exo_only_membership_fold3_alpha0_01	8
holdout_endo_only_membership_fold3_alpha0_01	0
holdout_reads_in_both_training_sets_fold3_alpha0_01	24
holdout_exo_reads_fold3_alpha0_1	592
holdout_exo_correct_fold3_alpha0_1	8
holdout_endo_reads_fold3_alpha0_1	395
holdout_endo_correct_fold3_alpha0_1	387
holdout_balanced_accuracy_fold3_alpha0_1	0.496630
holdout_exo_only_membership_fold3_alpha0_1	8
holdout_endo_only_membership_fold3_alpha0_1	0
holdout_reads_in_both_training_sets_fold3_alpha0_1	24
holdout_exo_reads_fold3_alpha1_0	592
holdout_exo_correct_fold3_alpha1_0	8
holdout_endo_reads_fold3_alpha1_0	395
holdout_endo_correct_fold3_alpha1_0	387
holdout_balanced_accuracy_fold3_alpha1_0	0.496630
holdout_exo_only_membership_fold3_alpha1_0	8
holdout_endo_only_membership_fold3_alpha1_0	0
holdout_reads_in_both_training_sets_fold3_alpha1_0	24
holdout_exo_reads_fold5_alpha0_01	592
holdout_exo_correct_fold5_alpha0_01	9
holdout_endo_reads_fold5_alpha0_01	395
holdout_endo_correct_fold5_alpha0_01	386
holdout_balanced_accuracy_fold5_alpha0_01	0.496209
holdout_exo_only_membership_fold5_alpha0_01	9
holdout_endo_only_membership_fold5_alpha0_01	0
holdout_reads_in_both_training_sets_fold5_alpha0_01	41
holdout_exo_reads_fold5_alpha0_1	592
holdout_exo_correct_fold5_alpha0_1	9
holdout_endo_reads_fold5_alpha0_1	395
holdout_endo_correct_fold5_alpha0_1	386
holdout_balanced_accuracy_fold5_alpha0_1	0.496209
holdout_exo_only_membership_fold5_alpha0_1	9
holdout_endo_only_membership_fold5_alpha0_1	0
holdout_reads_in_both_training_sets_fold5_alpha0_1	41
holdout_exo_reads_fold5_alpha1_0	592
holdout_exo_correct_fold5_alpha1_0	9
holdout_endo_reads_fold5_alpha1_0	395
holdout_endo_correct_fold5_alpha1_0	386
holdout_balanced_accuracy_fold5_alpha1_0	0.496209
holdout_exo_only_membership_fold5_alpha1_0	9
holdout_endo_only_membership_fold5_alpha1_0	0
holdout_reads_in_both_training_sets_fold5_alpha1_0	41
holdout_exact_membership_ambiguous_fraction_fold2	0.022290
holdout_exact_membership_ambiguous_fraction_fold3	0.024316
holdout_exact_membership_ambiguous_fraction_fold5	0.041540
mix_read_count	691
