rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PA14_09540	5998.41548254406	-4.96422480729833	0.223444016357188	-22.216861691936	2.35996009783597e-109	1.3753847450188e-105
PA14_09520	11726.1761838189	-4.79498710315948	0.244118509655663	-19.6420464385227	6.76176965089028e-86	1.84929800226065e-82
PA14_09530	6277.43921500268	-4.96444852702057	0.252969788128257	-19.6246696641244	9.51937887230947e-86	1.84929800226065e-82
PA14_35160	1103.67478320677	-4.09911354408172	0.212097553371683	-19.326547991331	3.21203104929029e-83	4.67992923881595e-80
PA14_09500	9196.90033470593	-4.75073052141283	0.256956926242465	-18.4884314693663	2.55889877804748e-76	2.98265241569214e-73
PA14_39880	17090.6368382596	-6.07644831196239	0.530002791359393	-11.4649364324611	1.97904844886279e-30	1.64769919428176e-27
PA14_37745	11377.7498581939	-5.57550003840428	0.514568793684209	-10.8352859847657	2.34232374254858e-27	1.51678475239701e-24
PA14_39870	4383.67232300096	-4.65140317084302	0.431601710788735	-10.7770730619737	4.41717898180634e-27	2.57433191059674e-24
PA14_39890	14238.8427987169	-5.99006931849602	0.56449965913222	-10.611289522662	2.64078950835249e-26	1.39913829587985e-23
PA14_09420	14244.2739106896	-6.01054270596739	0.569049426984022	-10.5624264272147	4.45007579015335e-26	1.99500320807798e-23
PA14_32950	2602.75459592917	-2.41362972632979	0.231529174142306	-10.4247325861677	1.9119640653063e-25	7.95923326614652e-23
PA14_39780	3120.44454499187	-3.09043504512013	0.298924386824577	-10.3385176363471	4.71778549869569e-25	1.71845336789991e-22
PA14_09440	33177.1233700185	-5.78477654141055	0.576677191257263	-10.0312213299067	1.11133331304494e-23	3.23842527421295e-21
PA14_39910	22634.9813584366	-5.73940301637405	0.574678122704037	-9.98716114225543	1.73478851465707e-23	4.59561248337336e-21
PA14_19110	23966.4219951208	-3.67254417310673	0.381028930943771	-9.6384916599645	5.49900127218399e-22	1.33534080892868e-19
PA14_09450	13652.1572414669	-5.91448150689315	0.61761209484646	-9.5763693040427	1.00516392420907e-21	2.25311359626556e-19
PA14_39925	7349.86416132918	-5.92979051901548	0.619792382999905	-9.56738204866966	1.09646897275581e-21	2.3667485826744e-19
PA14_03490	1907.0560405104	-1.91246295184019	0.200416662697385	-9.5424348759258	1.39517461286407e-21	2.7103592145906e-19
PA14_34870	18513.2455923507	-5.16434460724841	0.540825392592838	-9.54900542389362	1.30947328236042e-21	2.7103592145906e-19
PA14_37760	2440.3642750255	-3.95300149807246	0.416896717066523	-9.48196840188043	2.49530832488238e-21	4.69117965077887e-19
PA14_03520	902.687985316226	-1.85893268912713	0.197805504514521	-9.39778037870867	5.57261978119745e-21	9.98849482132461e-19
PA14_39945	35238.449735835	-5.98704788913881	0.637176156185293	-9.39622085826727	5.65580523513576e-21	9.98849482132461e-19
PA14_10360	75992.9523435706	-4.93329671142447	0.527984154866289	-9.34364538396767	9.30731984416802e-21	1.59538411917092e-18
PA14_35150	608.969923638374	-1.5171701485366	0.163010226908914	-9.30720837156033	1.31236251811234e-20	2.12456909876632e-18
PA14_68940	4012.34495038964	-2.84762451687123	0.307883173521854	-9.24904236986208	2.26512906979441e-20	3.56788438344915e-18
PA14_68930	940.198486194616	-1.98442477219351	0.223198836985375	-8.89083831706315	6.06495751954011e-19	8.41585057711423e-17
PA14_56990	1125.72690087372	-2.00578033174773	0.225990025217264	-8.87552594332159	6.96037073636933e-19	9.43373038408382e-17
PA14_01500	6460.80747067527	-2.82474936798269	0.322751227114346	-8.75209489747942	2.09428173000225e-18	2.66918168682222e-16
PA14_39970	1851.03739355287	-5.47479998955828	0.625589596179322	-8.75142429317025	2.1067666025021e-18	2.66918168682222e-16
PA14_18800	447.902608400048	-3.70825198282214	0.426431689074698	-8.69600472438756	3.43774140576216e-18	4.08880753322079e-16
PA14_37770	1743.65635307231	-3.07061956576728	0.355795593643203	-8.63029115769924	6.11959933800701e-18	6.99314214547154e-16
