gene	healthy_donor_mean	covid_donor_mean	difference	covid_over_healthy	t_statistic	p_value
IFI6	0.424668	1.558073	1.133405	3.668922	6.780400	0.000197194
IFI27	0.225808	1.479411	1.253603	6.551633	8.492209	1.7079e-05
IFI35	0.259013	0.569377	0.310364	2.198254	4.308996	0.003357
IFI44	0.112257	0.425113	0.312856	3.786950	6.193762	0.000330546
IFI44L	0.106816	0.952332	0.845516	8.915601	4.274703	0.00358054
IFIT1	0.033225	0.326917	0.293691	9.839373	2.637771	0.0334942
IFIT2	0.070621	0.204642	0.134021	2.897756	2.542009	0.0375681
IFIT3	0.068900	0.536720	0.467820	7.789801	3.003972	0.019786
IFITM1	2.176774	2.912678	0.735904	1.338071	2.139503	0.0672275
IFITM3	1.312403	2.328364	1.015961	1.774123	3.917387	0.00309927
ISG15	0.339943	1.157630	0.817688	3.405371	4.256942	0.00353906
MX1	0.282286	1.014472	0.732186	3.593778	4.225318	0.00369417
OAS1	0.220674	0.699560	0.478886	3.170108	5.803446	0.000584511
OAS2	0.182353	0.465295	0.282941	2.551610	3.798960	0.00652308
OAS3	0.066337	0.293920	0.227583	4.430681	3.829537	0.00636425
OASL	0.098223	0.362881	0.264659	3.694483	4.715231	0.00192796
RSAD2	0.020557	0.253048	0.232492	12.309794	2.768312	0.0277399
USP18	0.026591	0.157072	0.130481	5.906986	2.971987	0.0206484
BST2	0.806859	1.337453	0.530594	1.657604	5.617339	0.000569417
XAF1	0.306463	0.993719	0.687255	3.242539	4.499278	0.00262872
RTP4	0.052586	0.086251	0.033665	1.640192	1.829345	0.104817
