donor_id	n_cells	mean_library_size	mean_detected_genes	isg_mean	isg_median	isg_q90	isg_positive_fraction	antiviral_mean	inflammatory_mean	combined_mean
donor1	11264	3388.060281	1172.621804	0.282473	0.265665	0.456648	0.064453	0.226530	1.285948	0.262893
donor10	14101	5288.561166	1469.148429	0.311370	0.289225	0.521539	0.117864	0.249411	1.323676	0.289684
donor11	5942	3604.033995	1251.300740	0.291825	0.277035	0.468109	0.071356	0.249700	1.169753	0.277081
donor12	8704	3526.203240	1187.165556	0.317613	0.299560	0.506797	0.105699	0.226259	1.250787	0.285639
donor13	5756	4436.467860	1347.875434	0.539875	0.501278	0.885586	0.502432	0.340860	1.715044	0.470220
donor14	15886	4564.619287	1474.662407	1.088300	1.024979	1.801395	0.883608	0.578426	1.560853	0.909844
donor15	5857	4466.915827	1285.685505	0.368062	0.309226	0.691254	0.205907	0.278822	1.351104	0.336828
donor16	6108	4884.970367	1415.812050	0.291866	0.269134	0.505713	0.105272	0.249729	1.494175	0.277118
donor17	8626	4147.650359	1368.260723	0.391149	0.357302	0.632793	0.223047	0.267621	1.300812	0.347914
donor18	7557	4494.780468	1471.446076	0.893747	0.778931	1.541673	0.817520	0.511553	1.487468	0.759979
donor19	7523	4482.194204	1339.208826	0.463987	0.404911	0.809097	0.347202	0.302530	1.355645	0.407477
donor2	10595	3732.168570	1161.604814	0.279328	0.253172	0.495133	0.096461	0.229537	1.546235	0.261901
donor20	5868	4711.841513	1398.277267	0.452751	0.423478	0.714315	0.352079	0.270723	1.625743	0.389041
donor21	9332	4180.398307	1353.982533	0.329953	0.318892	0.512696	0.112409	0.231316	1.289016	0.295430
donor22	5492	4613.636016	1413.433722	0.439674	0.414793	0.692258	0.319738	0.278125	1.337629	0.383132
donor23	5762	6722.432836	1669.564561	0.300336	0.294963	0.478994	0.079660	0.249192	1.378364	0.282436
donor24	7828	4285.456949	1433.083163	0.321514	0.302263	0.510942	0.112417	0.250721	1.402675	0.296737
donor25	6916	4217.982071	1376.992626	0.332953	0.320232	0.546590	0.145460	0.253591	1.565142	0.305176
donor26	10801	4040.877511	1337.710582	0.791721	0.689165	1.544582	0.627442	0.449205	1.499994	0.671841
donor27	8364	3997.356767	1344.067551	0.302104	0.286912	0.480078	0.081420	0.228757	1.481467	0.276433
donor28	6157	4483.104109	1385.649180	0.356085	0.315520	0.630045	0.192789	0.249509	1.742228	0.318783
donor29	10745	4432.688506	1420.987622	0.320258	0.301965	0.504228	0.103769	0.238383	1.279770	0.291602
donor3	11327	4440.907125	1415.554074	0.993234	1.011934	1.506447	0.868986	0.550619	1.789446	0.838319
donor30	5185	6190.769142	1755.698746	0.673612	0.661732	0.992289	0.751977	0.377863	2.123338	0.570100
donor31	5851	5505.115878	1578.328149	0.593680	0.549904	0.970867	0.567595	0.346282	1.670258	0.507091
donor32	7848	4164.261340	1306.391055	0.305366	0.277025	0.491025	0.094546	0.233781	1.358901	0.280311
donor33	5159	3997.532855	1402.098663	1.326756	1.273227	1.933206	0.992634	0.750168	1.500244	1.124950
donor4	17134	5980.150344	1559.781137	0.416096	0.377034	0.692206	0.267655	0.292531	1.579665	0.372848
donor5	11067	3579.532303	1202.576940	0.300185	0.279230	0.498087	0.098672	0.232669	1.280471	0.276554
donor6	6663	5183.155185	1357.503377	0.296066	0.278861	0.481656	0.088549	0.220777	1.284084	0.269715
donor7	8490	4637.311661	1332.094111	0.378853	0.352294	0.614187	0.216608	0.260587	1.573629	0.337460
donor8	7888	4591.425583	1319.335573	0.465867	0.420055	0.779748	0.352941	0.303628	1.400413	0.409083
donor9	7837	4210.766237	1304.828123	0.247786	0.231978	0.445841	0.066352	0.231158	1.460515	0.241966
