barcode,in_tissue,array_row,array_col,pxl_row_in_fullres,pxl_col_in_fullres
Spot_0-1,1,0,0,100,100
Spot_1-1,1,1,0,150,100
Spot_2-1,1,2,0,200,100
Spot_3-1,1,3,0,250,100
Spot_4-1,1,4,0,300,100
Spot_5-1,1,5,0,350,100
Spot_6-1,1,6,0,400,100
Spot_7-1,1,7,0,450,100
Spot_8-1,1,8,0,500,100
Spot_9-1,1,9,0,550,100
Spot_10-1,1,10,0,600,100
Spot_11-1,1,11,0,650,100
Spot_12-1,1,12,0,700,100
Spot_13-1,1,13,0,750,100
Spot_14-1,1,14,0,800,100
Spot_15-1,1,15,0,850,100
Spot_16-1,1,16,0,900,100
Spot_17-1,1,17,0,950,100
Spot_18-1,1,18,0,1000,100
Spot_19-1,1,19,0,1050,100
Spot_20-1,1,20,0,1100,100
Spot_21-1,1,21,0,1150,100
Spot_22-1,1,22,0,1200,100
Spot_23-1,1,23,0,1250,100
Spot_24-1,1,24,0,1300,100
Spot_25-1,1,25,0,1350,100
Spot_26-1,1,26,0,1400,100
Spot_27-1,1,27,0,1450,100
Spot_28-1,1,28,0,1500,100
Spot_29-1,1,29,0,1550,100
Spot_30-1,1,0,1,100,150
Spot_31-1,1,1,1,150,150
Spot_32-1,1,2,1,200,150
Spot_33-1,1,3,1,250,150
Spot_34-1,1,4,1,300,150
Spot_35-1,1,5,1,350,150
Spot_36-1,1,6,1,400,150
Spot_37-1,1,7,1,450,150
Spot_38-1,1,8,1,500,150
Spot_39-1,1,9,1,550,150
Spot_40-1,1,10,1,600,150
Spot_41-1,1,11,1,650,150
Spot_42-1,1,12,1,700,150
Spot_43-1,1,13,1,750,150
Spot_44-1,1,14,1,800,150
Spot_45-1,1,15,1,850,150
Spot_46-1,1,16,1,900,150
Spot_47-1,1,17,1,950,150
Spot_48-1,1,18,1,1000,150
Spot_49-1,1,19,1,1050,150
Spot_50-1,1,20,1,1100,150
Spot_51-1,1,21,1,1150,150
Spot_52-1,1,22,1,1200,150
Spot_53-1,1,23,1,1250,150
Spot_54-1,1,24,1,1300,150
Spot_55-1,1,25,1,1350,150
Spot_56-1,1,26,1,1400,150
Spot_57-1,1,27,1,1450,150
Spot_58-1,1,28,1,1500,150
Spot_59-1,1,29,1,1550,150
Spot_60-1,1,0,2,100,200
Spot_61-1,1,1,2,150,200
Spot_62-1,1,2,2,200,200
Spot_63-1,1,3,2,250,200
Spot_64-1,1,4,2,300,200
Spot_65-1,1,5,2,350,200
Spot_66-1,1,6,2,400,200
Spot_67-1,1,7,2,450,200
Spot_68-1,1,8,2,500,200
Spot_69-1,1,9,2,550,200
Spot_70-1,1,10,2,600,200
Spot_71-1,1,11,2,650,200
Spot_72-1,1,12,2,700,200
Spot_73-1,1,13,2,750,200
Spot_74-1,1,14,2,800,200
Spot_75-1,1,15,2,850,200
Spot_76-1,1,16,2,900,200
Spot_77-1,1,17,2,950,200
Spot_78-1,1,18,2,1000,200
Spot_79-1,1,19,2,1050,200
Spot_80-1,1,20,2,1100,200
Spot_81-1,1,21,2,1150,200
Spot_82-1,1,22,2,1200,200
Spot_83-1,1,23,2,1250,200
Spot_84-1,1,24,2,1300,200
Spot_85-1,1,25,2,1350,200
Spot_86-1,1,26,2,1400,200
Spot_87-1,1,27,2,1450,200
Spot_88-1,1,28,2,1500,200
Spot_89-1,1,29,2,1550,200
Spot_90-1,1,0,3,100,250
Spot_91-1,1,1,3,150,250
Spot_92-1,1,2,3,200,250
Spot_93-1,1,3,3,250,250
Spot_94-1,1,4,3,300,250
Spot_95-1,1,5,3,350,250
Spot_96-1,1,6,3,400,250
Spot_97-1,1,7,3,450,250
Spot_98-1,1,8,3,500,250
Spot_99-1,1,9,3,550,250
Spot_100-1,1,10,3,600,250
Spot_101-1,1,11,3,650,250
Spot_102-1,1,12,3,700,250
Spot_103-1,1,13,3,750,250
Spot_104-1,1,14,3,800,250
Spot_105-1,1,15,3,850,250
Spot_106-1,1,16,3,900,250
Spot_107-1,1,17,3,950,250
Spot_108-1,1,18,3,1000,250
Spot_109-1,1,19,3,1050,250
Spot_110-1,1,20,3,1100,250
Spot_111-1,1,21,3,1150,250
Spot_112-1,1,22,3,1200,250
Spot_113-1,1,23,3,1250,250
Spot_114-1,1,24,3,1300,250
Spot_115-1,1,25,3,1350,250
Spot_116-1,1,26,3,1400,250
Spot_117-1,1,27,3,1450,250
Spot_118-1,1,28,3,1500,250
Spot_119-1,1,29,3,1550,250
Spot_120-1,1,0,4,100,300
Spot_121-1,1,1,4,150,300
Spot_122-1,1,2,4,200,300
Spot_123-1,1,3,4,250,300
Spot_124-1,1,4,4,300,300
Spot_125-1,1,5,4,350,300
Spot_126-1,1,6,4,400,300
Spot_127-1,1,7,4,450,300
Spot_128-1,1,8,4,500,300
Spot_129-1,1,9,4,550,300
Spot_130-1,1,10,4,600,300
Spot_131-1,1,11,4,650,300
Spot_132-1,1,12,4,700,300
Spot_133-1,1,13,4,750,300
Spot_134-1,1,14,4,800,300
Spot_135-1,1,15,4,850,300
Spot_136-1,1,16,4,900,300
Spot_137-1,1,17,4,950,300
Spot_138-1,1,18,4,1000,300
Spot_139-1,1,19,4,1050,300
Spot_140-1,1,20,4,1100,300
Spot_141-1,1,21,4,1150,300
Spot_142-1,1,22,4,1200,300
Spot_143-1,1,23,4,1250,300
Spot_144-1,1,24,4,1300,300
Spot_145-1,1,25,4,1350,300
Spot_146-1,1,26,4,1400,300
Spot_147-1,1,27,4,1450,300
Spot_148-1,1,28,4,1500,300
Spot_149-1,1,29,4,1550,300
Spot_150-1,1,0,5,100,350
Spot_151-1,1,1,5,150,350
Spot_152-1,1,2,5,200,350
Spot_153-1,1,3,5,250,350
Spot_154-1,1,4,5,300,350
Spot_155-1,1,5,5,350,350
Spot_156-1,1,6,5,400,350
Spot_157-1,1,7,5,450,350
Spot_158-1,1,8,5,500,350
Spot_159-1,1,9,5,550,350
Spot_160-1,1,10,5,600,350
Spot_161-1,1,11,5,650,350
Spot_162-1,1,12,5,700,350
Spot_163-1,1,13,5,750,350
Spot_164-1,1,14,5,800,350
Spot_165-1,1,15,5,850,350
Spot_166-1,1,16,5,900,350
Spot_167-1,1,17,5,950,350
Spot_168-1,1,18,5,1000,350
Spot_169-1,1,19,5,1050,350
Spot_170-1,1,20,5,1100,350
Spot_171-1,1,21,5,1150,350
Spot_172-1,1,22,5,1200,350
Spot_173-1,1,23,5,1250,350
Spot_174-1,1,24,5,1300,350
Spot_175-1,1,25,5,1350,350
Spot_176-1,1,26,5,1400,350
Spot_177-1,1,27,5,1450,350
Spot_178-1,1,28,5,1500,350
Spot_179-1,1,29,5,1550,350
Spot_180-1,1,0,6,100,400
Spot_181-1,1,1,6,150,400
Spot_182-1,1,2,6,200,400
Spot_183-1,1,3,6,250,400
Spot_184-1,1,4,6,300,400
