rank	sample	log_likelihood	delta_from_best	compared_sites	concordant_confident	discordant_confident
1	HG03861	-2354.244669	0.000000	2309	2146	46
2	HG03752	-7864.711443	-5510.466774	2309	1492	700
3	HG03809	-8113.740355	-5759.495686	2309	1393	799
4	HG03851	-8172.099327	-5817.854658	2309	1450	742
5	HG03760	-8403.293193	-6049.048524	2309	1424	768
6	HG03732	-8421.349927	-6067.105258	2309	1558	634
7	HG02688	-8498.183843	-6143.939174	2309	1509	683
8	NA19775	-8555.466188	-6201.221520	2309	1427	765
9	NA20859	-8612.191708	-6257.947039	2309	1388	804
10	HG03963	-8623.689952	-6269.445283	2309	1465	727
11	HG03873	-8647.219529	-6292.974861	2309	1470	722
12	HG03727	-8678.048132	-6323.803463	2309	1571	621
13	HG02604	-8683.750732	-6329.506063	2309	1438	754
14	HG03019	-8698.738988	-6344.494319	2309	1555	637
15	HG03788	-8710.144663	-6355.899995	2309	1444	748
16	HG03585	-8726.889319	-6372.644650	2309	1460	732
17	NA19734	-8777.027867	-6422.783198	2309	1481	711
18	NA19751	-8780.807923	-6426.563254	2309	1430	762
19	HG01464	-8825.217762	-6470.973093	2309	1451	741
20	HG01531	-8837.754654	-6483.509986	2309	1428	764
21	HG03008	-8846.256101	-6492.011432	2309	1449	743
22	HG02725	-8878.301365	-6524.056697	2309	1414	778
23	NA21095	-8881.470004	-6527.225335	2309	1428	764
24	HG03721	-8884.386102	-6530.141433	2309	1443	749
25	HG04171	-8941.545501	-6587.300832	2309	1562	630
