cluster	n_total	sample1_n	sample2_n	sample1_fraction	sample2_fraction	sample2_to_sample1_ratio	top40_markers
0	862	14	848	0.0022239873	0.16946443	76.198132	SAG,PDC,GNAT1,GNGT1,PPEF2,AC044810.2,MPP4,RHO,NRL,TTC39C,CNKSR2,PDE6G,HMGN1,PDE6A,THSD7B,HCN1,NRG1,PRPH2,RP1,RCVRN,EPB41L2,GNB1,TMEM108,SGIP1,NTM,ROM1,RDH12,AIPL1,NR2E3,CNGA1,KCTD8,USH2A,SLC4A7,PCDH15,AL050403.2,RGS9,GPC6,IMPG1,ABCA4,CADM2
1	859	842	17	0.13375695	0.0033972822	0.025398994	COL25A1,EYS,CNGB1,PDE6A,ANO2,PLOD2,SORBS2,PDE6B,PPP2R2B,ABCA7,DMD,DSCAML1,LDLRAD4,PCDH15,SYNE2,SND1,CADM2,EXOC4,ABCA4,RIMS2,MARCH1,ARMC9,PFKP,THSD7B,ARHGAP10,DISC1,ABLIM1,NFASC,IMPG2,GLB1L2,KIFC3,BBS9,LINC02733,NTM,LIMCH1,AKAP9,ADCY1,AL161757.4,GPI,NXN
2	836	826	10	0.13121525	0.0019984013	0.015230022	EYS,PLOD2,CNGB1,PPP2R2B,ANO2,ABCA7,PDE6A,SORBS2,DMD,LDLRAD4,SYNE2,PCDH15,DSCAML1,CADM2,SND1,ABCA4,PDE6B,RIMS2,PFKP,GLB1L2,ARMC9,EXOC4,THSD7B,NTM,NFASC,MAP1B,IMPG2,DISC1,ADCY1,MARCH1,PROM1,ABLIM1,LIMCH1,NXN,ARHGAP10,AL161757.4,CASZ1,PRELID2,USH2A,AC107021.1
3	784	29	755	0.0046068308	0.1508793	32.751144	SAG,RHO,GNAT1,GNGT1,PDE6G,NRL,ROM1,PPEF2,PDC,HMGN1,RCVRN,AC044810.2,PDE6A,RP1,AIPL1,TTC39C,MPP4,GNB1,NTM,EPB41L2,THSD7B,UNC119,HCN1,PRPH2,CNGA1,RDH12,TMEM108,CNKSR2,NR2E3,USH2A,PCDH15,RGS9,ABCA4,GPC6,ANO2,KCNV2,SLC4A7,IMPG1,RTBDN,MIR124-2HG
4	783	19	764	0.0030182685	0.15267786	50.584421	AL513166.1,SAG,GNAT1,RHO,GNGT1,NRL,PDE6G,ROM1,PPEF2,HMGN1,PDC,AC044810.2,RCVRN,TTC39C,MPP4,RP1,PDE6A,AIPL1,CNGA1,GNB1,NTM,PRPH2,HCN1,THSD7B,CNKSR2,EPB41L2,TMEM108,UNC119,RDH12,PCDH15,NR2E3,SLC4A7,SGIP1,USH2A,KCNV2,ANO2,MIR124-2HG,ABCA4,GPC6,MAP2
5	738	8	730	0.0012708499	0.14588329	114.79102	RHO,SAG,AL513166.1,GNAT1,GNGT1,PPEF2,NRL,PDE6G,AC044810.2,FHIT,HMGN1,ROM1,PDC,RP1,MPP4,RCVRN,CNKSR2,TTC39C,PDE6A,PRPH2,GNB1,RDH12,CNGA1,THSD7B,NR2E3,EPB41L2,AIPL1,NTM,HCN1,UNC119,USH2A,TMEM108,RGS9,GPC6,SGIP1,MIR124-2HG,RTBDN,PCDH15,ATP8A2,SLC4A7
6	704	692	12	0.10992851	0.0023980815	0.021815007	PLOD2,EYS,LIMCH1,MARCH1,ANO2,SYNE2,IMPG2,PPP2R2B,SND1,ADCY1,ARMC9,CNGB1,LINC02733,PDE6B,ARHGAP10,PDE6A,ABCA7,LDLRAD4,DISC1,PCDH15,ABCA4,DSCAML1,AC107021.1,EXOC4,MAP1B,PRELID2,USH2A,DMD,NFASC,KLHL29,BBS9,PFKP,GLB1L2,AC079362.1,PROM1,AC092100.1,MAK,AL161757.4,SORBS2,CACNA2D4
7	619	608	11	0.096584591	0.0021982414	0.022759854	GABRG3,NAV2,AKAP12,NEAT1,CTNNA2,TF,PDE8B,KAZN,STAC2,PRKG1,GABRG3-AS1,FOXP2,RASGRP1,TRPM3,GLUL,LRRC4C,MYO3A,WIF1,SPOCK1,PIP5K1B,ZHX2,LSAMP,APP,MAPK4,ESYT2,CDH23,PMEPA1,CP,RTN4,PDE10A,MIR100HG,COL23A1,DLG5,DIP2C,TANC1,PLCE1,VEGFA,HKDC1,JUNB,CDH11
8	553	548	5	0.087053217	0.00099920064	0.011478157	COL25A1,NRG1,EYS,ANO2,PDE6A,SYNE2,CNGB1,ABCA4,LDLRAD4,PCDH15,DMD,EXOC4,MARCH1,CADM2,ARMC9,RIMS2,PPP2R2B,PTPN13,DSCAML1,PLOD2,ABCA7,PDE6B,NTM,DISC1,THSD7B,AL161757.4,PFKP,BBS9,GLB1L2,AC092100.1,HCN1,SORBS2,OXR1,USH2A,PROM1,CADM1,NEGR1,ADCY1,MAP1B,UNC5C
9	513	319	194	0.050675139	0.038768985	0.76504945	KCNB2,AC023905.1,PEX5L,AC112206.2,SLC24A2,CNGB3,NEDD4L,SEMA6D,GALNT13,XYLT1,ARR3,GRK7,LINC02343,LRFN2,MSR1,AC011586.2,LINC00457,PRR16,AC019197.1,MAML2,BACH2,PPP4R4,COL4A3,DZIP3,GUCA1C,MPPED2,PDE6H,EMB,RHOBTB1,ARL15,WWC1,MIR3976HG,MSRA,AC106798.1,AL161716.1,DST,TAFA4,EPB41L3,TDRG1,CC2D2A
