section	sample	cell_type	gene	value
genes	all	NA	rows	36601
genes	all	NA	header	gene_ids|gene_symbols
matrix	1	NA	matrix_rows	36601
matrix	1	NA	matrix_cells	6295
matrix	1	NA	declared_nnz	9246637
matrix	1	NA	observed_nnz	9246637
matrix	1	NA	median_umis	1999
matrix	1	NA	median_detected_genes	1166
matrix	1	NA	zero_library_cells	0
matrix	2	NA	matrix_rows	36601
matrix	2	NA	matrix_cells	5004
matrix	2	NA	declared_nnz	9953348
matrix	2	NA	observed_nnz	9953348
matrix	2	NA	median_umis	3197.0
matrix	2	NA	median_detected_genes	1671.5
matrix	2	NA	zero_library_cells	0
marker_presence	all	astrocyte	GFAP	1
marker_positive_fraction	1	astrocyte	GFAP	0.033200953
marker_umis_per_cell	1	astrocyte	GFAP	0.06878475
marker_positive_fraction	2	astrocyte	GFAP	0.023181455
marker_umis_per_cell	2	astrocyte	GFAP	0.035371703
marker_presence	all	astrocyte	AQP4	1
marker_positive_fraction	1	astrocyte	AQP4	0.028911835
marker_umis_per_cell	1	astrocyte	AQP4	0.04305004
marker_positive_fraction	2	astrocyte	AQP4	0.060551559
marker_umis_per_cell	2	astrocyte	AQP4	0.13529177
marker_presence	all	astrocyte	ALDH1L1	1
marker_positive_fraction	1	astrocyte	ALDH1L1	0.013026211
marker_umis_per_cell	1	astrocyte	ALDH1L1	0.015726767
marker_positive_fraction	2	astrocyte	ALDH1L1	0.01538769
marker_umis_per_cell	2	astrocyte	ALDH1L1	0.018185452
marker_presence	all	astrocyte	SLC1A3	1
marker_positive_fraction	1	astrocyte	SLC1A3	0.088641779
marker_umis_per_cell	1	astrocyte	SLC1A3	0.51135822
marker_positive_fraction	2	astrocyte	SLC1A3	0.095523581
marker_umis_per_cell	2	astrocyte	SLC1A3	0.51159073
marker_presence	all	astrocyte	SLC1A2	1
marker_positive_fraction	1	astrocyte	SLC1A2	0.44273233
marker_umis_per_cell	1	astrocyte	SLC1A2	0.92676728
marker_positive_fraction	2	astrocyte	SLC1A2	0.68285372
