species	tissue	marker_sum_umi	markers_detected
human	liver	1	1
human	heart	0	0
human	testis	0.5	1
human	kidney	0	0
human	bone_marrow	107671	15
human	spleen	107072	4
human	cortex	0	0
human	retina	0	0
human	lung	0	0
human	skin	6	1
mouse	liver	205.719	3
mouse	heart	81	7
mouse	testis	7	2
mouse	kidney	9	1
mouse	bone_marrow	21	2
mouse	spleen	0	0
mouse	cortex	87.2	8
mouse	retina	2	2
mouse	lung	20347	10
mouse	skin	201	4
pig	liver	315	2
pig	heart	11	3
pig	testis	1081.2	13
pig	kidney	1	1
pig	bone_marrow	5.5	5
pig	spleen	23.5	6
pig	cortex	26	6
pig	retina	0	0
pig	lung	4	2
pig	skin	13	1
