species	tissue	gene_symbol	gene_id	sum_umi
human	liver	SERPINA1	ENSG00000197249	1
human	testis	SYCP3	ENSG00000139351	0.5
human	bone_marrow	HBB	ENSG00000244734	52417
human	bone_marrow	HBA1	ENSG00000206172	18979.4
human	bone_marrow	HBA2	ENSG00000188536	35672.6
human	bone_marrow	HBD	ENSG00000223609	245
human	bone_marrow	HBM	ENSG00000206177	53
human	bone_marrow	ALAS2	ENSG00000158578	69
human	bone_marrow	AHSP	ENSG00000169877	87
human	bone_marrow	GYPA	ENSG00000170180	3
human	bone_marrow	GYPB	ENSG00000250361	1
human	bone_marrow	KLF1	ENSG00000105610	5
human	bone_marrow	SLC4A1	ENSG00000004939	3
human	bone_marrow	EPB42	ENSG00000166947	9
human	bone_marrow	CA1	ENSG00000133742	66
human	bone_marrow	BLVRB	ENSG00000090013	31
human	bone_marrow	BPGM	ENSG00000172331	30
human	spleen	HBB	ENSG00000244734	52417
human	spleen	HBA1	ENSG00000206172	18979.4
human	spleen	HBA2	ENSG00000188536	35672.6
human	spleen	PTPRC	ENSG00000081237	3
human	skin	KRT1	ENSG00000167768	6
mouse	liver	TTR	ENSMUSG00000061808	21
mouse	liver	HP	ENSMUSG00000031722	184
mouse	liver	CYP2E1	ENSMUSG00000025479	0.71948
mouse	heart	TNNT2	ENSMUSG00000026414	18
mouse	heart	TNNI3	ENSMUSG00000035458	25
mouse	heart	MYH6	ENSMUSG00000040752	3
mouse	heart	ACTC1	ENSMUSG00000068614	16
mouse	heart	PLN	ENSMUSG00000038583	3
mouse	heart	DES	ENSMUSG00000026208	8
mouse	heart	CSRP3	ENSMUSG00000030470	8
mouse	testis	PRM1	ENSMUSG00000022501	3
mouse	testis	SPATA6	ENSMUSG00000034401	4
mouse	kidney	PODXL	ENSMUSG00000025608	9
mouse	bone_marrow	BLVRB	ENSMUSG00000040466	8
mouse	bone_marrow	BPGM	ENSMUSG00000038871	13
mouse	cortex	SNAP25	ENSMUSG00000027273	32
mouse	cortex	GRIN1	ENSMUSG00000026959	2
mouse	cortex	CAMK2A	ENSMUSG00000024617	1
mouse	cortex	SYT1	ENSMUSG00000035864	15
mouse	cortex	GAD1	ENSMUSG00000070880	11
mouse	cortex	DLG4	ENSMUSG00000020886	8.2
mouse	cortex	NEFH	ENSMUSG00000020396	1
mouse	cortex	MBP	ENSMUSG00000041607	17
mouse	retina	RHO	ENSMUSG00000030324	1
mouse	retina	ROM1	ENSMUSG00000071648	1
mouse	lung	SFTPC	ENSMUSG00000022097	1171
mouse	lung	SFTPB	ENSMUSG00000056370	83
mouse	lung	SFTPA1	ENSMUSG00000021789	306
mouse	lung	AGER	ENSMUSG00000015452	68
mouse	lung	SCGB1A1	ENSMUSG00000024653	18594
mouse	lung	NAPSA	ENSMUSG00000002204	16
mouse	lung	SFTPD	ENSMUSG00000021795	58
mouse	lung	HOPX	ENSMUSG00000059325	35
mouse	lung	SOX2	ENSMUSG00000074637	9
mouse	lung	FOXJ1	ENSMUSG00000034227	7
mouse	skin	KRT5	ENSMUSG00000061527	2
mouse	skin	KRT14	ENSMUSG00000045545	3
mouse	skin	KRT10	ENSMUSG00000019761	9
mouse	skin	KRTDAP	ENSMUSG00000074199	187
pig	liver	APOA1	ENSSSCG00000030921	313
pig	liver	CYP2E1	ENSSSCG00000010780	2
pig	heart	TNNT2	ENSSSCG00000023031	2
pig	heart	TNNI3	ENSSSCG00000043687	6
pig	heart	DES	ENSSSCG00000020785	3
pig	testis	PRM1	ENSSSCG00000021337	572
pig	testis	PRM2	ENSSSCG00000024307	130
pig	testis	TNP1	ENSSSCG00000016179	230
pig	testis	SYCP3	ENSSSCG00000000863	10.5
pig	testis	PIWIL1	ENSSSCG00000009749	7
pig	testis	DDX4	ENSSSCG00000016913	27
pig	testis	TEX101	ENSSSCG00000003052	9
pig	testis	LELP1	ENSSSCG00000054182	23
pig	testis	ODF1	ENSSSCG00000006056	7
pig	testis	ACR	ENSSSCG00000021265	12
pig	testis	CALR3	ENSSSCG00000013858	32.6996
pig	testis	SPATA6	ENSSSCG00000003881	13
pig	testis	SPATA16	ENSSSCG00000038177	8
pig	kidney	SLC5A2	ENSSSCG00000024058	1
pig	bone_marrow	HBM	ENSSSCG00000007977	1
pig	bone_marrow	SLC4A1	ENSSSCG00000017358	0.5
pig	bone_marrow	EPB42	ENSSSCG00000004714	1
pig	bone_marrow	BLVRB	ENSSSCG00000021067	2
pig	bone_marrow	BPGM	ENSSSCG00000039425	1
pig	spleen	CD79A	ENSSSCG00000033684	1
pig	spleen	CD3D	ENSSSCG00000015093	1
pig	spleen	CD3E	ENSSSCG00000040140	5.5
pig	spleen	CD8A	ENSSSCG00000008217	2
pig	spleen	NKG7	ENSSSCG00000003231	6
pig	spleen	PTPRC	ENSSSCG00000010908	8
pig	cortex	GRIN1	ENSSSCG00000039834	1
pig	cortex	DLG4	ENSSSCG00000024285	2
pig	cortex	NEFL	ENSSSCG00000009649	3
pig	cortex	MBP	ENSSSCG00000038767	4
pig	cortex	MOG	ENSSSCG00000001248	1
pig	cortex	PLP1	ENSSSCG00000012536	15
pig	lung	SFTPC	ENSSSCG00000009619	2
pig	lung	FOXJ1	ENSSSCG00000017187	2
pig	skin	KRT10	ENSSSCG00000028522	13
