rowname	cell_type	sampleID
Cell_0	Tumor_Core	sample1
Cell_1	Tumor_Core	sample1
Cell_2	Tumor_Core	sample1
Cell_3	Tumor_Core	sample1
Cell_4	Tumor_Core	sample1
Cell_5	Tumor_Core	sample1
Cell_6	Tumor_Core	sample1
Cell_7	Tumor_Core	sample1
Cell_8	Tumor_Core	sample1
Cell_9	Tumor_Core	sample1
Cell_10	Tumor_Core	sample1
Cell_11	Tumor_Core	sample1
Cell_12	Tumor_Core	sample1
Cell_13	Tumor_Core	sample1
Cell_14	Tumor_Core	sample1
Cell_15	Tumor_Core	sample1
Cell_16	Tumor_Core	sample1
Cell_17	Tumor_Core	sample1
Cell_18	Tumor_Core	sample1
Cell_19	Tumor_Core	sample1
Cell_20	Tumor_Core	sample1
Cell_21	Tumor_Core	sample1
Cell_22	Tumor_Core	sample1
Cell_23	Tumor_Core	sample1
Cell_24	Tumor_Core	sample1
Cell_25	Tumor_Core	sample1
Cell_26	Tumor_Core	sample1
Cell_27	Tumor_Core	sample1
Cell_28	Tumor_Core	sample1
Cell_29	Tumor_Core	sample1
Cell_30	Tumor_Core	sample1
Cell_31	Tumor_Core	sample1
Cell_32	Tumor_Core	sample1
Cell_33	Tumor_Core	sample1
Cell_34	Tumor_Core	sample1
Cell_35	Tumor_Core	sample1
Cell_36	Tumor_Core	sample1
Cell_37	Tumor_Core	sample1
Cell_38	Tumor_Core	sample1
Cell_39	Tumor_Core	sample1
Cell_40	Tumor_Core	sample1
Cell_41	Tumor_Core	sample1
Cell_42	Tumor_Core	sample1
Cell_43	Tumor_Core	sample1
Cell_44	Tumor_Core	sample1
Cell_45	Tumor_Core	sample1
Cell_46	Tumor_Core	sample1
Cell_47	Tumor_Core	sample1
Cell_48	Tumor_Core	sample1
Cell_49	Tumor_Core	sample1
Cell_50	Tumor_Core	sample1
Cell_51	Tumor_Core	sample1
Cell_52	Tumor_Core	sample1
Cell_53	Tumor_Core	sample1
Cell_54	Tumor_Core	sample1
Cell_55	Tumor_Core	sample1
Cell_56	Tumor_Core	sample1
Cell_57	Tumor_Core	sample1
Cell_58	Tumor_Core	sample1
Cell_59	Tumor_Core	sample1
Cell_60	Tumor_Core	sample1
Cell_61	Tumor_Core	sample1
Cell_62	Tumor_Core	sample1
Cell_63	Tumor_Core	sample1
Cell_64	Tumor_Core	sample1
Cell_65	Tumor_Core	sample1
Cell_66	Tumor_Core	sample1
Cell_67	Tumor_Core	sample1
Cell_68	Tumor_Core	sample1
Cell_69	Tumor_Core	sample1
Cell_70	Tumor_Core	sample1
Cell_71	Tumor_Core	sample1
Cell_72	Tumor_Core	sample1
Cell_73	Tumor_Core	sample1
Cell_74	Tumor_Core	sample1
Cell_75	Tumor_Core	sample1
Cell_76	Tumor_Core	sample1
Cell_77	Tumor_Core	sample1
Cell_78	Tumor_Core	sample1
Cell_79	Tumor_Core	sample1
Cell_80	Tumor_Core	sample1
Cell_81	Tumor_Core	sample1
Cell_82	Tumor_Core	sample1
Cell_83	Tumor_Core	sample1
Cell_84	Tumor_Core	sample1
Cell_85	Tumor_Core	sample1
Cell_86	Tumor_Core	sample1
Cell_87	Tumor_Core	sample1
Cell_88	Tumor_Core	sample1
Cell_89	Tumor_Core	sample1
Cell_90	Tumor_Core	sample1
Cell_91	Tumor_Core	sample1
Cell_92	Tumor_Core	sample1
Cell_93	Tumor_Core	sample1
Cell_94	Tumor_Core	sample1
Cell_95	Tumor_Core	sample1
Cell_96	Tumor_Core	sample1
Cell_97	Tumor_Core	sample1
Cell_98	Tumor_Core	sample1
Cell_99	Tumor_Core	sample1
Cell_100	Tumor_Core	sample1
Cell_101	Tumor_Core	sample1
Cell_102	Tumor_Core	sample1
Cell_103	Tumor_Core	sample1
Cell_104	Tumor_Core	sample1
Cell_105	Tumor_Core	sample1
Cell_106	Tumor_Core	sample1
Cell_107	Tumor_Core	sample1
Cell_108	Tumor_Core	sample1
Cell_109	Tumor_Core	sample1
Cell_110	Tumor_Core	sample1
Cell_111	Tumor_Core	sample1
Cell_112	Tumor_Core	sample1
Cell_113	Tumor_Core	sample1
Cell_114	Tumor_Core	sample1
Cell_115	Tumor_Core	sample1
Cell_116	Tumor_Core	sample1
Cell_117	Tumor_Core	sample1
Cell_118	Tumor_Core	sample1
Cell_119	Tumor_Core	sample1
Cell_120	Tumor_Core	sample1
Cell_121	Tumor_Core	sample1
Cell_122	Tumor_Core	sample1
Cell_123	Tumor_Core	sample1
Cell_124	Tumor_Core	sample1
Cell_125	Tumor_Core	sample1
Cell_126	Tumor_Core	sample1
Cell_127	Tumor_Core	sample1
Cell_128	Tumor_Core	sample1
Cell_129	Tumor_Core	sample1
Cell_130	Tumor_Core	sample1
Cell_131	Tumor_Core	sample1
Cell_132	Tumor_Core	sample1
Cell_133	Tumor_Core	sample1
Cell_134	Tumor_Core	sample1
Cell_135	Tumor_Core	sample1
Cell_136	Tumor_Core	sample1
Cell_137	Tumor_Core	sample1
Cell_138	Tumor_Core	sample1
Cell_139	Tumor_Core	sample1
Cell_140	Tumor_Core	sample1
Cell_141	Tumor_Core	sample1
Cell_142	Tumor_Core	sample1
Cell_143	Tumor_Core	sample1
Cell_144	Tumor_Core	sample1
Cell_145	Tumor_Core	sample1
Cell_146	Tumor_Core	sample1
Cell_147	Tumor_Core	sample1
Cell_148	Tumor_Core	sample1
Cell_149	Tumor_Core	sample1
Cell_150	Tumor_Core	sample1
Cell_151	Tumor_Core	sample1
Cell_152	Tumor_Core	sample1
Cell_153	Tumor_Core	sample1
Cell_154	Tumor_Core	sample1
Cell_155	Tumor_Core	sample1
Cell_156	Tumor_Core	sample1
Cell_157	Tumor_Core	sample1
Cell_158	Tumor_Core	sample1
Cell_159	Tumor_Core	sample1
Cell_160	Tumor_Core	sample1
Cell_161	Tumor_Core	sample1
Cell_162	Tumor_Core	sample1
Cell_163	Tumor_Core	sample1
Cell_164	Tumor_Core	sample1
Cell_165	Tumor_Core	sample1
Cell_166	Tumor_Core	sample1
Cell_167	Tumor_Core	sample1
Cell_168	Tumor_Core	sample1
Cell_169	Tumor_Core	sample1
Cell_170	Tumor_Core	sample1
Cell_171	Tumor_Core	sample1
Cell_172	Tumor_Core	sample1
Cell_173	Tumor_Core	sample1
Cell_174	Tumor_Core	sample1
Cell_175	Tumor_Core	sample1
Cell_176	Tumor_Core	sample1
Cell_177	Tumor_Core	sample1
Cell_178	Tumor_Core	sample1
Cell_179	Tumor_Core	sample1
Cell_180	Tumor_Core	sample1
Cell_181	Tumor_Core	sample1
Cell_182	Tumor_Core	sample1
Cell_183	Tumor_Core	sample1
Cell_184	Tumor_Core	sample1
Cell_185	Tumor_Core	sample1
Cell_186	Tumor_Core	sample1
Cell_187	Tumor_Core	sample1
Cell_188	Tumor_Core	sample1
Cell_189	Tumor_Core	sample1
Cell_190	Tumor_Core	sample1
Cell_191	Tumor_Core	sample1
Cell_192	Tumor_Core	sample1
Cell_193	Tumor_Core	sample1
Cell_194	Tumor_Core	sample1
Cell_195	Tumor_Core	sample1
Cell_196	Tumor_Core	sample1
Cell_197	Tumor_Core	sample1
Cell_198	Tumor_Core	sample1
Cell_199	Tumor_Core	sample1
Cell_200	Fibroblast_Stroma	sample1
Cell_201	Fibroblast_Stroma	sample1
Cell_202	Fibroblast_Stroma	sample1
Cell_203	Fibroblast_Stroma	sample1
Cell_204	Fibroblast_Stroma	sample1
Cell_205	Fibroblast_Stroma	sample1
Cell_206	Fibroblast_Stroma	sample1
Cell_207	Fibroblast_Stroma	sample1
Cell_208	Fibroblast_Stroma	sample1
Cell_209	Fibroblast_Stroma	sample1
Cell_210	Fibroblast_Stroma	sample1
Cell_211	Fibroblast_Stroma	sample1
Cell_212	Fibroblast_Stroma	sample1
Cell_213	Fibroblast_Stroma	sample1
Cell_214	Fibroblast_Stroma	sample1
Cell_215	Fibroblast_Stroma	sample1
Cell_216	Fibroblast_Stroma	sample1
Cell_217	Fibroblast_Stroma	sample1
Cell_218	Fibroblast_Stroma	sample1
Cell_219	Fibroblast_Stroma	sample1
Cell_220	Fibroblast_Stroma	sample1
Cell_221	Fibroblast_Stroma	sample1
Cell_222	Fibroblast_Stroma	sample1
Cell_223	Fibroblast_Stroma	sample1
Cell_224	Fibroblast_Stroma	sample1
Cell_225	Fibroblast_Stroma	sample1
Cell_226	Fibroblast_Stroma	sample1
Cell_227	Fibroblast_Stroma	sample1
Cell_228	Fibroblast_Stroma	sample1
Cell_229	Fibroblast_Stroma	sample1
Cell_230	Fibroblast_Stroma	sample1
Cell_231	Fibroblast_Stroma	sample1
Cell_232	Fibroblast_Stroma	sample1
Cell_233	Fibroblast_Stroma	sample1
Cell_234	Fibroblast_Stroma	sample1
Cell_235	Fibroblast_Stroma	sample1
Cell_236	Fibroblast_Stroma	sample1
Cell_237	Fibroblast_Stroma	sample1
Cell_238	Fibroblast_Stroma	sample1
Cell_239	Fibroblast_Stroma	sample1
Cell_240	Fibroblast_Stroma	sample1
Cell_241	Fibroblast_Stroma	sample1
Cell_242	Fibroblast_Stroma	sample1
Cell_243	Fibroblast_Stroma	sample1
Cell_244	Fibroblast_Stroma	sample1
Cell_245	Fibroblast_Stroma	sample1
Cell_246	Fibroblast_Stroma	sample1
Cell_247	Fibroblast_Stroma	sample1
Cell_248	Fibroblast_Stroma	sample1
Cell_249	Fibroblast_Stroma	sample1
Cell_250	Fibroblast_Stroma	sample1
Cell_251	Fibroblast_Stroma	sample1
Cell_252	Fibroblast_Stroma	sample1
Cell_253	Fibroblast_Stroma	sample1
Cell_254	Fibroblast_Stroma	sample1
Cell_255	Fibroblast_Stroma	sample1
Cell_256	Fibroblast_Stroma	sample1
Cell_257	Fibroblast_Stroma	sample1
Cell_258	Fibroblast_Stroma	sample1
Cell_259	Fibroblast_Stroma	sample1
Cell_260	Fibroblast_Stroma	sample1
Cell_261	Fibroblast_Stroma	sample1
Cell_262	Fibroblast_Stroma	sample1
Cell_263	Fibroblast_Stroma	sample1
Cell_264	Fibroblast_Stroma	sample1
Cell_265	Fibroblast_Stroma	sample1
Cell_266	Fibroblast_Stroma	sample1
Cell_267	Fibroblast_Stroma	sample1
Cell_268	Fibroblast_Stroma	sample1
Cell_269	Fibroblast_Stroma	sample1
Cell_270	Fibroblast_Stroma	sample1
Cell_271	Fibroblast_Stroma	sample1
Cell_272	Fibroblast_Stroma	sample1
Cell_273	Fibroblast_Stroma	sample1
Cell_274	Fibroblast_Stroma	sample1
Cell_275	Fibroblast_Stroma	sample1
Cell_276	Fibroblast_Stroma	sample1
Cell_277	Fibroblast_Stroma	sample1
Cell_278	Fibroblast_Stroma	sample1
Cell_279	Fibroblast_Stroma	sample1
Cell_280	Fibroblast_Stroma	sample1
Cell_281	Fibroblast_Stroma	sample1
Cell_282	Fibroblast_Stroma	sample1
Cell_283	Fibroblast_Stroma	sample1
Cell_284	Fibroblast_Stroma	sample1
Cell_285	Fibroblast_Stroma	sample1
Cell_286	Fibroblast_Stroma	sample1
Cell_287	Fibroblast_Stroma	sample1
Cell_288	Fibroblast_Stroma	sample1
Cell_289	Fibroblast_Stroma	sample1
Cell_290	Fibroblast_Stroma	sample1
