rowname	cell_type	sampleID
Cell_0	Tumor_Core	Cell_0
Cell_1	Tumor_Core	Cell_1
Cell_2	Tumor_Core	Cell_2
Cell_3	Tumor_Core	Cell_3
Cell_4	Tumor_Core	Cell_4
Cell_5	Tumor_Core	Cell_5
Cell_6	Tumor_Core	Cell_6
Cell_7	Tumor_Core	Cell_7
Cell_8	Tumor_Core	Cell_8
Cell_9	Tumor_Core	Cell_9
Cell_10	Tumor_Core	Cell_10
Cell_11	Tumor_Core	Cell_11
Cell_12	Tumor_Core	Cell_12
Cell_13	Tumor_Core	Cell_13
Cell_14	Tumor_Core	Cell_14
Cell_15	Tumor_Core	Cell_15
Cell_16	Tumor_Core	Cell_16
Cell_17	Tumor_Core	Cell_17
Cell_18	Tumor_Core	Cell_18
Cell_19	Tumor_Core	Cell_19
Cell_20	Tumor_Core	Cell_20
Cell_21	Tumor_Core	Cell_21
Cell_22	Tumor_Core	Cell_22
Cell_23	Tumor_Core	Cell_23
Cell_24	Tumor_Core	Cell_24
Cell_25	Tumor_Core	Cell_25
Cell_26	Tumor_Core	Cell_26
Cell_27	Tumor_Core	Cell_27
Cell_28	Tumor_Core	Cell_28
Cell_29	Tumor_Core	Cell_29
Cell_30	Tumor_Core	Cell_30
Cell_31	Tumor_Core	Cell_31
Cell_32	Tumor_Core	Cell_32
Cell_33	Tumor_Core	Cell_33
Cell_34	Tumor_Core	Cell_34
Cell_35	Tumor_Core	Cell_35
Cell_36	Tumor_Core	Cell_36
Cell_37	Tumor_Core	Cell_37
Cell_38	Tumor_Core	Cell_38
Cell_39	Tumor_Core	Cell_39
Cell_40	Tumor_Core	Cell_40
Cell_41	Tumor_Core	Cell_41
Cell_42	Tumor_Core	Cell_42
Cell_43	Tumor_Core	Cell_43
Cell_44	Tumor_Core	Cell_44
Cell_45	Tumor_Core	Cell_45
Cell_46	Tumor_Core	Cell_46
Cell_47	Tumor_Core	Cell_47
Cell_48	Tumor_Core	Cell_48
Cell_49	Tumor_Core	Cell_49
Cell_50	Tumor_Core	Cell_50
Cell_51	Tumor_Core	Cell_51
Cell_52	Tumor_Core	Cell_52
Cell_53	Tumor_Core	Cell_53
Cell_54	Tumor_Core	Cell_54
Cell_55	Tumor_Core	Cell_55
Cell_56	Tumor_Core	Cell_56
Cell_57	Tumor_Core	Cell_57
Cell_58	Tumor_Core	Cell_58
Cell_59	Tumor_Core	Cell_59
Cell_60	Tumor_Core	Cell_60
Cell_61	Tumor_Core	Cell_61
Cell_62	Tumor_Core	Cell_62
Cell_63	Tumor_Core	Cell_63
Cell_64	Tumor_Core	Cell_64
Cell_65	Tumor_Core	Cell_65
Cell_66	Tumor_Core	Cell_66
Cell_67	Tumor_Core	Cell_67
Cell_68	Tumor_Core	Cell_68
Cell_69	Tumor_Core	Cell_69
Cell_70	Tumor_Core	Cell_70
Cell_71	Tumor_Core	Cell_71
Cell_72	Tumor_Core	Cell_72
Cell_73	Tumor_Core	Cell_73
Cell_74	Tumor_Core	Cell_74
Cell_75	Tumor_Core	Cell_75
Cell_76	Tumor_Core	Cell_76
Cell_77	Tumor_Core	Cell_77
Cell_78	Tumor_Core	Cell_78
Cell_79	Tumor_Core	Cell_79
Cell_80	Tumor_Core	Cell_80
Cell_81	Tumor_Core	Cell_81
Cell_82	Tumor_Core	Cell_82
Cell_83	Tumor_Core	Cell_83
Cell_84	Tumor_Core	Cell_84
Cell_85	Tumor_Core	Cell_85
Cell_86	Tumor_Core	Cell_86
Cell_87	Tumor_Core	Cell_87
Cell_88	Tumor_Core	Cell_88
Cell_89	Tumor_Core	Cell_89
Cell_90	Tumor_Core	Cell_90
Cell_91	Tumor_Core	Cell_91
Cell_92	Tumor_Core	Cell_92
Cell_93	Tumor_Core	Cell_93
Cell_94	Tumor_Core	Cell_94
Cell_95	Tumor_Core	Cell_95
Cell_96	Tumor_Core	Cell_96
Cell_97	Tumor_Core	Cell_97
Cell_98	Tumor_Core	Cell_98
Cell_99	Tumor_Core	Cell_99
Cell_100	Tumor_Core	Cell_100
Cell_101	Tumor_Core	Cell_101
Cell_102	Tumor_Core	Cell_102
Cell_103	Tumor_Core	Cell_103
Cell_104	Tumor_Core	Cell_104
Cell_105	Tumor_Core	Cell_105
Cell_106	Tumor_Core	Cell_106
Cell_107	Tumor_Core	Cell_107
Cell_108	Tumor_Core	Cell_108
Cell_109	Tumor_Core	Cell_109
Cell_110	Tumor_Core	Cell_110
Cell_111	Tumor_Core	Cell_111
Cell_112	Tumor_Core	Cell_112
Cell_113	Tumor_Core	Cell_113
Cell_114	Tumor_Core	Cell_114
Cell_115	Tumor_Core	Cell_115
Cell_116	Tumor_Core	Cell_116
Cell_117	Tumor_Core	Cell_117
Cell_118	Tumor_Core	Cell_118
Cell_119	Tumor_Core	Cell_119
Cell_120	Tumor_Core	Cell_120
Cell_121	Tumor_Core	Cell_121
Cell_122	Tumor_Core	Cell_122
Cell_123	Tumor_Core	Cell_123
Cell_124	Tumor_Core	Cell_124
Cell_125	Tumor_Core	Cell_125
Cell_126	Tumor_Core	Cell_126
Cell_127	Tumor_Core	Cell_127
Cell_128	Tumor_Core	Cell_128
Cell_129	Tumor_Core	Cell_129
Cell_130	Tumor_Core	Cell_130
Cell_131	Tumor_Core	Cell_131
Cell_132	Tumor_Core	Cell_132
Cell_133	Tumor_Core	Cell_133
Cell_134	Tumor_Core	Cell_134
Cell_135	Tumor_Core	Cell_135
Cell_136	Tumor_Core	Cell_136
Cell_137	Tumor_Core	Cell_137
Cell_138	Tumor_Core	Cell_138
Cell_139	Tumor_Core	Cell_139
Cell_140	Tumor_Core	Cell_140
Cell_141	Tumor_Core	Cell_141
Cell_142	Tumor_Core	Cell_142
Cell_143	Tumor_Core	Cell_143
Cell_144	Tumor_Core	Cell_144
Cell_145	Tumor_Core	Cell_145
Cell_146	Tumor_Core	Cell_146
Cell_147	Tumor_Core	Cell_147
Cell_148	Tumor_Core	Cell_148
Cell_149	Tumor_Core	Cell_149
Cell_150	Tumor_Core	Cell_150
Cell_151	Tumor_Core	Cell_151
Cell_152	Tumor_Core	Cell_152
Cell_153	Tumor_Core	Cell_153
Cell_154	Tumor_Core	Cell_154
Cell_155	Tumor_Core	Cell_155
Cell_156	Tumor_Core	Cell_156
Cell_157	Tumor_Core	Cell_157
Cell_158	Tumor_Core	Cell_158
Cell_159	Tumor_Core	Cell_159
Cell_160	Tumor_Core	Cell_160
Cell_161	Tumor_Core	Cell_161
Cell_162	Tumor_Core	Cell_162
Cell_163	Tumor_Core	Cell_163
Cell_164	Tumor_Core	Cell_164
Cell_165	Tumor_Core	Cell_165
Cell_166	Tumor_Core	Cell_166
Cell_167	Tumor_Core	Cell_167
Cell_168	Tumor_Core	Cell_168
Cell_169	Tumor_Core	Cell_169
Cell_170	Tumor_Core	Cell_170
Cell_171	Tumor_Core	Cell_171
Cell_172	Tumor_Core	Cell_172
Cell_173	Tumor_Core	Cell_173
Cell_174	Tumor_Core	Cell_174
Cell_175	Tumor_Core	Cell_175
Cell_176	Tumor_Core	Cell_176
