metric	value
mix_reads	691
exo_control_reads	592
endo_control_reads	395
mix_unique_sequences	661
exo_unique_sequences	571
endo_unique_sequences	385
mix_exo_only_exact_reads	189
mix_endo_only_exact_reads	0
exo_control_exo_only_exact_reads	186
endo_control_endo_only_exact_reads	0
marker_calibrated_fraction	0.870548
marker_calibrated_percent	87.055

alpha	union_sequences	mle_fraction	mle_percent	log_likelihood
0.001	661	0.865	86.5	-5000.677491
0.01	661	0.864	86.4	-4795.212646
0.1	661	0.858	85.8	-4604.400049
1.0	661	0.841	84.1	-4494.844804
10.0	661	1.000	100.0	-4485.518609
