metric	value
mix_reads	691
exo_control_reads	592
endo_control_reads	395
exo_reference_contigs	4
endo_reference_contigs	9
exo_mapped_at_least_40_of_read_bases	592
endo_mapped_at_least_40_of_read_bases	395
mix_mapped_at_least_40_of_read_bases	688
exo_unique_best_placements	592
endo_unique_best_placements	395
mix_unique_best_placements	688
strict_informative_positions	0
relaxed_informative_positions	0
classification_site_criterion	strict_80pct_cov5
mix_exo_classified_reads	0
mix_endo_classified_reads	0
mix_ambiguous_reads	0
mix_uninformative_reads	688
mix_unmapped_reads	3
mix_informative_classified_reads	0
raw_exo_fraction	NA
raw_exo_percent	NA
rounded_exo_percent	NA
informative_exo_base_observations	0
informative_endo_base_observations	0
informative_other_base_observations	0

criterion	positions
score45_cov5_freq0.80	0
score40_cov3_freq0.70	0
score48_cov5_freq0.80	0

ref_index	position_0based	exo_base	endo_base	exo_cov	endo_cov	exo_major_freq	endo_major_freq
