metric	value
observed_exo_reads	592
observed_endo_reads	395
observed_mix_reads	691
observed_exo_only_reads_in_exo_vs_endo	186
observed_endo_only_reads_in_endo_vs_exo	0
observed_mix_reads_not_in_endo_set	279
observed_exo_only_fraction	0.314189
observed_mix_not_in_endo_fraction	0.403763

null_comparison	mean	q05	median	q95
exo_size_vs_endo_size_only_reads	292.683	269.950	293.000	316.000
exo_size_vs_endo_size_only_fraction	0.494398	0.455997	0.494932	0.533784
mix_size_vs_endo_size_only_reads	217.219	197.000	217.000	237.000
mix_size_vs_endo_size_only_fraction	0.314354	0.285094	0.314038	0.342981
